MEDIA 4001 | meaning: a fast military plane that fights enemy aircraft
E 39197 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
es|Si el animalito no se hubiera caído, él no ... en la cabeza del gigante.|habría aterrizado|aterrizará|aterrizó
fr|Si le petit animal n'était pas tombé, il ... sur la tête du géant.|n'aurait pas atterri|n'atterrira pas|n'a pas atterri
tr|Küçük hayvan düşmeseydi, o devin başına ...|konmazdı|konmayacak|konmadı
hu|Ha a kis állat nem esik le, ő nem ... az óriás fejére.|landolt volna|fog landolni|landolt
MEDIA 4150 | meaning: to move fast
E 43359 | B1 type 35 Past Perfect Simple | style nerd | options 3 | SEL
en|The vehicle ... along the country road before it was parked by the dunes, as observed.|had sped|has sped|speeds
de|Das Fahrzeug ... über die Landstraße, bevor es bei den Dünen geparkt wurde, wie beobachtet.|war gerast|ist gerast|rast
ua|Автомобіль ... сільською дорогою, перш ніж його припаркували біля дюн, як було зафіксовано.|мчав|мчав|мчить
es|El vehículo ... por la carretera rural antes de ser aparcado junto a las dunas, según lo observado.|había circulado a toda velocidad|ha circulado a toda velocidad|circula a toda velocidad
fr|Le véhicule ... sur la route de campagne avant d'être garé près des dunes, comme observé.|avait filé|a filé|file
tr|Araç, gözlemlendiği üzere, kumulların yanına park edilmeden önce köy yolunda ...|hızla ilerlemişti|hızla ilerledi|hızla ilerler
hu|A jármű ... a vidéki úton, mielőtt leparkolták a dűnéknél, ahogy megfigyelték.|száguldott|száguldott|száguld
E 43363 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The man, ... car was speeding along the road earlier, walks up to it.|whose|who|which
de|Der Mann, ... Auto vorhin über die Straße gerast ist, geht darauf zu.|dessen|der|das
ua|Чоловік, ... авто раніше мчало дорогою, підходить до нього.|чиє|який|яке
es|El hombre, ... coche iba a toda velocidad por la carretera antes, se acerca a él.|cuyo|que|el cual
fr|L'homme, ... la voiture filait sur la route tout à l'heure, s'en approche.|dont|qui|laquelle
tr|Adam, ... arabası daha önce yolda hızla gidiyordu, ona doğru yürüyor.|ki|kim|hangi
hu|A férfi, ... autója korábban száguldott az úton, odasétál hozzá.|akinek az|aki|amely
MEDIA 4152 | meaning: something that transports people or objects
E 44500 | B1 type 41 Passive | style dramatic | options 3 | SEL
en|The vehicle ... inside a dark trailer the whole time. Absolutely unbelievable!|was hidden|hid|is hiding
de|Das Fahrzeug ... die ganze Zeit in einem dunklen Anhänger. Absolut unglaublich!|war versteckt|versteckte sich|versteckt sich
ua|Автомобіль ... весь час у темному причепі. Просто неймовірно!|був схований|ховався|ховається
es|El vehículo ... dentro de un remolque oscuro todo el tiempo. ¡Absolutamente increíble!|estaba escondido|se escondió|se está escondiendo
fr|Le véhicule ... dans une remorque sombre depuis le début. Absolument incroyable !|était caché|se cachait|se cache
tr|Araç bütün bu süre boyunca karanlık bir römorkun içinde ..., inanılmaz!|saklanmıştı|saklandı|saklanıyor
hu|A jármű végig ... egy sötét utánfutóban. Egyszerűen hihetetlen!|el volt rejtve|elrejtőzött|rejtőzik
E 44507 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|The trailer opens, and ... inside it is a sports car.|the vehicle|a vehicle|vehicle
de|Der Anhänger öffnet sich, und ... darin ist ein Sportwagen.|das Fahrzeug|ein Fahrzeug|Fahrzeug
ua|Причіп відчиняється, і ... в ньому — спортивне авто.|автомобіль|автомобіль|автомобіль
es|El remolque se abre, y ... que hay dentro es un deportivo.|el vehículo|un vehículo|vehículo
fr|La remorque s'ouvre, et ... à l'intérieur est une voiture de sport.|le véhicule|un véhicule|véhicule
tr|Römork açılıyor ve içindeki ... bir spor araba.|araç|bir araç|araç
hu|Az utánfutó kinyílik, és ... benne egy sportautó.|a jármű|egy jármű|jármű
MEDIA 4156 | meaning: to move towards something
E 36773 | B1 type 46 Used to, Would | style gossip | options 3 | SEL
en|Okay so, apparently he ... be scared of robots, and now he lets one approach him.|used to|would|is used to
de|Okay, also angeblich ... er früher Angst vor Robotern, und jetzt lässt er einen an sich heran.|hatte|hätte|ist gewohnt zu haben
ua|Коротше, кажуть, він ... боявся роботів, а тепер дозволяє одному до нього підійти.|колись|би|звично
es|Vale, pues al parecer él ... tenerles miedo a los robots, y ahora deja que uno se le acerque.|solía|solía|está acostumbrado a
fr|Bon alors, apparemment il ... peur des robots, et maintenant il laisse l'un d'eux s'approcher de lui.|avait|aurait|est habitué à avoir
tr|Tamam yani, duyduğuma göre o eskiden robotlardan ... ve şimdi birinin kendisine yaklaşmasına izin veriyor.|korkardı|korkardı|korkmaya alışkın
hu|Oké, szóval állítólag ő régen ... a robotoktól, most meg hagyja, hogy az egyik odamenjen hozzá.|félt|félt volna|hozzá van szokva, hogy féljen
MEDIA 4157 | meaning: to move fast in a race
E 42001 | B2 type 54 Mixed Conditional | style ironic | options 3 | SEL
en|If she had signed up, she ... past the camera now. A loss for the race, clearly.|would be racing|would have raced|will race
de|Wenn sie sich angemeldet hätte, ... sie jetzt an der Kamera vorbei. Ein klarer Verlust für das Rennen.|liefe|wäre gelaufen|wird laufen
ua|Якби вона зареєструвалася, то зараз ... повз камеру. Явна втрата для забігу.|бігла б|бігла б|бігтиме
es|Si ella se hubiera apuntado, ahora ... por delante de la cámara. Una pérdida para la carrera, claramente.|estaría corriendo|habría corrido|correrá
fr|Si elle s'était inscrite, elle ... devant la caméra en ce moment. Une perte pour la course, clairement.|courrait|aurait couru|courra
tr|O kayıt olsaydı, şu an kameranın önünden koşarak ..., yarış için büyük kayıp tabii.|geçiyor olurdu|geçmiş olurdu|geçecek
hu|Ha ő benevezett volna, most ... a kamera előtt. Nyilván nagy veszteség a versenynek.|futna el|futott volna el|fog elfutni
MEDIA 4158 | meaning: of great size, huge and bulky
E 39794 | B1 type 42 Passive or Active | style gossip | options 3 | SEL
en|Ok so apparently a giant fish ... that poor otter all afternoon.|watched|was watched|watching
de|Okay, also angeblich ... ein Riesenfisch den ganzen Nachmittag diesen armen Otter.|beobachtete|wurde beobachtet|beobachtend
ua|Коротше, кажуть, величезна риба ... за тією бідною видрою цілий день.|стежила|була під наглядом|стежачи
es|Vale, pues al parecer un pez gigante ... a esa pobre nutria toda la tarde.|observó|fue observado|observando
fr|Bon alors, apparemment un poisson géant ... cette pauvre loutre tout l'après-midi.|a observé|a été observé|observant
tr|Tamam yani, duyduğuma göre dev bir balık bütün öğleden sonra o zavallı su samurunu ...|izledi|izlendi|izleyerek
hu|Oké, szóval állítólag egy óriási hal egész délután ... azt a szegény vidrát.|figyelte|meg lett figyelve|figyelve
E 39795 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Listen, I heard the otter ... the pole for hours before the giant fish showed up.|had been hugging|has been hugging|hugs
de|Hör mal, ich hab gehört, der Otter ... die Stange stundenlang umklammert, bevor der Riesenfisch auftauchte.|hatte|hat|umarmt
ua|Слухай, я чула, що видра ... жердину годинами, поки не з'явилася величезна риба.|обіймала|обіймає|обіймає
es|Oye, yo oí que la nutria ... abrazada al palo durante horas antes de que apareciera el pez gigante.|había estado|ha estado|está
fr|Écoute, j'ai entendu dire que la loutre ... le poteau depuis des heures quand le poisson géant est arrivé.|serrait|serre|serre
tr|Dinle, ben duydum ki dev balık ortaya çıkmadan önce su samuru saatlerce direğe ...|sarılıyormuş|sarılıyor|sarılır
hu|Figyelj, én úgy hallottam, a vidra órák óta ... a rudat, mielőtt megjelent az óriáshal.|ölelte|öleli|öleli
MEDIA 4162 | meaning: a public square in a town
E 41674 | B1 type 44 Relative clauses | style clueless | options 3 | SEL
en|A plaza is a place ... there is a lot of space, so this plaza is spacious.|where|which|who
de|Ein Platz ist ein Ort, ... es viel Raum gibt, also ist dieser Platz geräumig.|wo|der|wer
ua|Площа — це місце, ... багато простору, тож ця площа простора.|де|яке|хто
es|Una plaza es un lugar ... hay mucho espacio, así que esta plaza es espaciosa.|donde|que|quien
fr|Une place, c'est un endroit ... il y a beaucoup d'espace, donc cette place est spacieuse.|où|que|qui
tr|Meydan, bol alan ... bir yerdir, yani bu meydan geniştir.|olan|hangi|kim
hu|A tér olyan hely, ... sok hely van, szóval ez a tér tágas.|ahol|amely|aki
E 41680 | B2 type 66 All Past Tenses | style business | options 3 | SEL
en|The car ... in the plaza for 3 hours before the meeting started.|had been parked|has been parked|is parked
de|Das Auto ... bereits 3 Stunden auf dem Platz geparkt, bevor das Meeting begann.|war|ist|ist
ua|Авто ... на площі 3 години, перш ніж почалася нарада.|стояло|стоїть|стоїть
es|El coche ... aparcado en la plaza 3 horas antes de que empezara la reunión.|llevaba|lleva|está
fr|La voiture ... garée sur la place depuis 3 heures quand la réunion a commencé.|était|est|est
tr|Toplantı başlamadan önce araba 3 saattir meydanda park halinde ...|duruyordu|duruyor|duruyor
hu|Az autó már 3 órája ... a téren, amikor elkezdődött a meeting.|parkolt|parkol|parkol
MEDIA 4167 | meaning: an opening you can escape through
E 39048 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time they reached the exit, the rider's eyes ... to the dark.|had adjusted|have adjusted|adjust
de|Als sie den Ausgang erreichten, hatten sich die Augen des Reiters schon an die Dunkelheit ...|gewöhnt|gewöhnt|gewöhnen
ua|Коли вони дісталися виходу, очі вершника вже ... до темряви.|звикли|звикли|звикають
es|Cuando llegaron a la salida, los ojos del jinete ya se ... a la oscuridad.|habían adaptado|han adaptado|adaptan
fr|Quand ils ont atteint la sortie, les yeux du cavalier ... à l'obscurité.|s'étaient habitués|se sont habitués|s'habituent
tr|Çıkışa vardıklarında binicinin gözleri karanlığa ...|alışmıştı|alıştı|alışır
hu|Mire elérték a kijáratot, a lovas szeme már ... a sötéthez.|hozzászokott|hozzászokott|hozzászokik
E 39053 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|The exit ... closer and closer, and the nightmare is over!|is getting|gets|has got
de|Der Ausgang ... immer näher, und der Albtraum ist vorbei!|kommt|kommt|ist gekommen
ua|Вихід ... все ближче й ближче, і жахіттю кінець!|наближається|наближається|наблизився
es|¡La salida ... cada vez más cerca, y la pesadilla se acaba!|se ve|se ve|se ha visto
fr|La sortie ... de plus en plus proche, et le cauchemar est fini !|devient|devient|est devenue
tr|Çıkış gitgide ... ve kâbus bitti!|yaklaşıyor|yaklaşır|yaklaştı
hu|A kijárat egyre közelebb ..., és vége a rémálomnak!|kerül|kerül|került
MEDIA 4171 | meaning: to move slowly and low to the ground
E 38257 | B1 type 47 Gerund vs Infinitive | style gossip | options 3 | SEL
en|Girl, apparently the wolf kept ... closer, and the hen didn't even notice.|creeping|to creep|creep
de|Mädel, angeblich hat der Wolf nicht aufgehört, sich näher ..., und die Henne hat's nicht mal gemerkt.|heranzuschleichen|heranzuschleichen|heranschleichen
ua|Подруго, кажуть, вовк усе ... ближче, а курка навіть не помітила.|підкрадався|підкрадатися|підкрадатися
es|Amiga, al parecer el lobo siguió ... más cerca, y la gallina ni se dio cuenta.|acercándose sigilosamente|acercarse sigilosamente|se acerca sigilosamente
fr|Meuf, apparemment le loup a continué à ... de plus en plus près, et la poule n'a même rien remarqué.|s'approcher en rampant|s'approcher en rampant|s'approche en rampant
tr|Kızım, duyduğuma göre kurt sinsice ... devam etti ve tavuk fark etmedi bile.|yaklaşmaya|yaklaşmak|yaklaş
hu|Csajszi, állítólag a farkas egyre közelebb ..., és a tyúk észre se vette.|lopakodott|lopakodni|lopakodik
MEDIA 4173 | meaning: the act of pursuing someone to capture them
E 37736 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|The bridge broke during the chase, so the planks ... very old.|must have been|should have been|can't have been
de|Die Brücke ist bei der Verfolgungsjagd gebrochen, also ... die Bretter sehr alt gewesen sein.|müssen|sollten|können nicht
ua|Міст зламався під час погоні, тож дошки ... дуже старими.|мабуть, були|мали бути|не могли бути
es|El puente se rompió durante la persecución, así que las tablas ... muy viejas.|debían de ser|deberían haber sido|no podían ser
fr|Le pont s'est cassé pendant la course-poursuite, donc les planches ... très vieilles.|devaient être|auraient dû être|ne pouvaient pas être
tr|Kovalamaca sırasında köprü kırıldı, yani tahtalar çok eski ...|olmalı|olmalıydı|olamaz
hu|A híd leszakadt az üldözés közben, szóval a deszkák nagyon régiek ...|lehettek|kellett volna, hogy legyenek|nem lehettek
MEDIA 4174 | meaning: to act against an attack
E 38440 | B1 type 32 Present Perfect Continuous | style clueless | options 3 | SEL
en|The hen ... her chicks all night, so she has been awake all night.|has been defending|is defending|defends
de|Die Henne hat ihre Küken die ganze Nacht ..., also war sie die ganze Nacht wach.|verteidigt|verteidigt|verteidigt
ua|Курка ... своїх курчат усю ніч, тож вона не спала всю ніч.|захищала|захищає|захищає
es|La gallina ... a sus pollitos toda la noche, así que ha estado despierta toda la noche.|ha estado defendiendo|está defendiendo|defiende
fr|La poule ... ses poussins toute la nuit, donc elle est restée éveillée toute la nuit.|a défendu|défend|défend
tr|Tavuk bütün gece civcivlerini ..., yani bütün gece uyanık kaldı.|korudu|koruyor|korur
hu|A tyúk egész éjjel ... a csibéit, szóval egész éjjel ébren volt.|védte|védi|védi
E 38444 | B2 type 61 Relative clauses | style ironic | options 3 | SEL
en|The hen, ... chicks were in danger twice, defended them like a real professional.|whose|who|which
de|Die Henne, ... Küken zweimal in Gefahr waren, verteidigte sie wie ein echter Profi.|deren|die|welche
ua|Курка, ... курчата двічі були в небезпеці, захистила їх як справжній профі.|чиї|яка|котра
es|La gallina, ... pollitos estuvieron en peligro dos veces, los defendió como una auténtica profesional.|cuyos|que|la cual
fr|La poule, ... les poussins ont été en danger deux fois, les a défendus comme une vraie pro.|dont|qui|laquelle
tr|Tavuk, ... civcivleri iki kez tehlikeye girdi, onları gerçek bir profesyonel gibi korudu.|ki|kim|hangi
hu|A tyúk, ... csibéi kétszer is veszélybe kerültek, igazi profiként védte meg őket.|akinek a|aki|amely
MEDIA 4175 | meaning: to go quietly so nobody notices
E 43213 | B1 type 36 Future Continuous | style slang | options 3 | SEL
en|Bro, this time tomorrow that hen ... past the wolves again, no cap.|will be sneaking|will sneak|sneaks
de|Bro, morgen um diese Zeit ... sich diese Henne wieder an den Wölfen vorbei, kein Witz.|schleicht|schleicht|schleicht
ua|Бро, завтра в цей час та курка знову ... повз вовків, без жартів.|прокрадатиметься|прокрадеться|прокрадається
es|Bro, mañana a esta hora esa gallina ... otra vez a escondidas junto a los lobos, en serio.|estará pasando|pasará|pasa
fr|Frérot, demain à cette heure-ci, cette poule ... encore devant les loups, sans mentir.|sera en train de se faufiler|se faufilera|se faufile
tr|Kanka, yarın bu saatte o tavuk yine kurtların yanından sinsice ..., yemin ederim.|geçiyor olacak|geçecek|geçer
hu|Tesó, holnap ilyenkor az a tyúk megint ... a farkasok mellett, komolyan.|fog elosonni|elosonik|elosonik
MEDIA 4176 | meaning: to shine with a soft light
E 39812 | B1 type 48 Question tags | style ironic | options 3 | SEL
en|One tiny firefly obviously glows as brightly as a lamp, ...?|doesn't it?|isn't it?|won't it?
de|Ein winziges Glühwürmchen leuchtet natürlich so hell wie eine Lampe, ...?|oder|nicht wahr|oder
ua|Один крихітний світлячок, звісно, світить яскраво, як лампа, ...?|так|так|так
es|Una luciérnaga diminuta obviamente brilla tanto como una lámpara, ¿...?|verdad|verdad|verdad
fr|Une minuscule luciole brille évidemment aussi fort qu'une lampe, ... ?|non|non|non
tr|Minicik bir ateş böceği tabii ki bir lamba kadar parlak ışıldar, ...?|değil mi|değil mi|değil mi
hu|Egy apró szentjánosbogár nyilván olyan fényesen világít, mint egy lámpa, ...?|ugye|ugye|ugye
E 39820 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The firefly, ... glow lights up the chick's face, sits inside a glass jar.|whose|which|who
de|Das Glühwürmchen, ... Leuchten das Gesicht des Kükens erhellt, sitzt in einem Glas.|dessen|das|der
ua|Світлячок, ... сяйво освітлює мордочку курчати, сидить у скляній банці.|чиє|який|хто
es|La luciérnaga, ... brillo ilumina la cara del pollito, está dentro de un tarro de cristal.|cuyo|que|quien
fr|La luciole, ... la lueur éclaire le visage du poussin, est dans un bocal en verre.|dont|que|qui
tr|Ateş böceği, ... ışığı civcivin yüzünü aydınlatıyor, cam bir kavanozun içinde duruyor.|ki|hangi|kim
hu|A szentjánosbogár, ... fénye megvilágítja a csibe arcát, egy üvegben ül.|amelynek a|amely|aki
MEDIA 4178 | meaning: willing to give and share with others
E 39777 | B1 type 41 Passive | style ironic | options 3 | SEL
en|The corn ... into the hole by one generous hen. The mice clearly did all the work.|was pushed|pushed|is pushed
de|Der Mais ... von einer großzügigen Henne ins Loch geschoben. Die Mäuse haben natürlich die ganze Arbeit gemacht.|wurde|schob|wird
ua|Кукурудза ... в нору однією щедрою куркою. Миші, звісно, зробили всю роботу.|була заштовхана|заштовхала|заштовхується
es|El maíz ... al agujero por una gallina generosa. Claramente los ratones hicieron todo el trabajo.|fue empujado|empujó|es empujado
fr|Le maïs ... dans le trou par une poule généreuse. Les souris ont clairement fait tout le travail.|a été poussé|a poussé|est poussé
tr|Mısır, cömert bir tavuk tarafından deliğe ..., belli ki bütün işi fareler yaptı.|itildi|itti|itiliyor
hu|A kukorica egy nagylelkű tyúk által ... a lyukba. Nyilván az egerek végezték az összes munkát.|lett betolva|betolt|be van tolva
MEDIA 4180 | meaning: to identify something incorrectly
E 41020 | B1 type 46 Used to, Would | style nerd | options 3 | SEL
en|Initially, the individual ... walk the puppy daily, before mistaking the alligator for it.|would|used|was used to
de|Anfangs ... das Individuum den Welpen täglich aus, bevor es den Alligator für ihn hielt.|führte|führte|war gewohnt zu führen
ua|Спочатку особина ... вигулювала цуценя щодня, перш ніж сплутала з ним алігатора.|зазвичай|зазвичай|звикла
es|Inicialmente, el individuo ... pasear al cachorro a diario, antes de confundir al caimán con él.|solía|solía|estaba acostumbrado a
fr|Au départ, l'individu ... le chiot tous les jours, avant de le confondre avec l'alligator.|promenait|promenait|avait l'habitude de promener
tr|Başlangıçta birey, timsahı onunla karıştırmadan önce köpek yavrusunu her gün ...|gezdirirdi|gezdirirdi|gezdirmeye alışkındı
hu|Kezdetben az egyed naponta ... a kiskutyát, mielőtt összetévesztette vele az aligátort.|sétáltatta|sétáltatta|hozzá volt szokva sétáltatni
E 41023 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|By the time he stopped her, she ... that alligator for her dog. An absolute nightmare!|had already mistaken|has already mistaken|already mistakes
de|Als er sie aufhielt, ... sie den Alligator schon für ihren Hund gehalten. Ein absoluter Albtraum!|hatte|hat|hält
ua|Коли він її зупинив, вона вже ... того алігатора зі своїм собакою. Абсолютний жах!|сплутала|сплутала|плутає
es|Cuando él la detuvo, ella ya ... a ese caimán con su perro. ¡Una pesadilla absoluta!|había confundido|ha confundido|confunde
fr|Quand il l'a arrêtée, elle ... déjà cet alligator pour son chien. Un vrai cauchemar !|avait pris|a pris|prend
tr|O onu durdurduğunda, o çoktan o timsahı köpeğiyle ..., tam bir kâbus!|karıştırmıştı|karıştırdı|karıştırıyor
hu|Mire megállította, ő már ... azt az aligátort a kutyájával. Abszolút rémálom!|összetévesztette|összetévesztette|összetéveszti
MEDIA 4185 | meaning: to push with force
E 41843 | B1 type 38 0 Conditional | style business | options 3 | SEL
en|If a mug weighs over 300 grams, it ... a crocheted mouse flat, per the report.|presses|pressed|will press
de|Wenn ein Becher über 300 Gramm wiegt, ... er laut Bericht eine gehäkelte Maus platt.|drückt|drückte|wird drücken
ua|Якщо кухоль важить понад 300 грамів, він ... в'язану гачком мишку, згідно зі звітом.|розплющує|розплющив|розплющить
es|Si una taza pesa más de 300 gramos, esa taza ... un ratón de ganchillo, según el informe.|aplasta|aplastó|aplastará
fr|Si un mug pèse plus de 300 grammes, il ... une souris au crochet, selon le rapport.|aplatit|aplatissait|aplatira
tr|Rapora göre bir kupa 300 gramın üzerindeyse, o, tığ işi bir fareyi ...|yassılaştırır|yassılaştırdı|yassılaştıracak
hu|Ha egy bögre 300 grammnál nehezebb, az a bögre ... a horgolt egeret, a jelentés szerint.|laposra nyomja|laposra nyomta|laposra fogja nyomni
MEDIA 4188 | meaning: an elevated slope of ground, a hillside
E 43136 | B1 type 48 Question tags | style chill | options 3 | SEL
en|This slope is very steep, ...?|isn't it?|doesn't it?|wasn't it?
de|Dieser Hang ist echt steil, ...?|oder|oder|oder
ua|Цей схил дуже крутий, ...?|так|так|так
es|Esta pendiente es muy empinada, ¿...?|verdad|verdad|verdad
fr|Cette pente est très raide, ... ?|non|non|non
tr|Bu yamaç çok dik, ...?|değil mi|değil mi|değil mi
hu|Ez a lejtő nagyon meredek, ...?|ugye|ugye|ugye
E 43139 | B2 type 51 Future Perfect Simple | style ironic | options 3 | SEL
en|By sunset, he ... the whole slope. Obviously just a small morning walk.|will have skied|will ski|will be skiing
de|Bis zum Sonnenuntergang ... er den ganzen Hang runter. Offensichtlich nur ein kleiner Morgenspaziergang.|fährt|fährt|fährt gerade
ua|До заходу сонця він ... весь схил. Очевидно, просто невеличка ранкова прогулянка.|з'їде|з'їде|з'їжджатиме
es|Para el atardecer, él ... toda la pendiente. Obviamente, solo un paseíto matutino.|habrá esquiado|esquiará|estará esquiando
fr|D'ici le coucher du soleil, il ... toute la pente. Évidemment, juste une petite balade matinale.|aura descendu|descendra|sera en train de descendre
tr|Gün batımına kadar o bütün yamacı kayarak ..., belli ki küçük bir sabah yürüyüşü.|inmiş olacak|inecek|iniyor olacak
hu|Naplementéig ő ... az egész lejtőt. Nyilván csak egy kis reggeli séta.|lesíeli|le fogja síelni|síelni fog
MEDIA 4192 | meaning: to catch or try to catch fish
E 39285 | B1 type 44 Relative clauses | style ironic | options 3 | SEL
en|The eagle ... fished right in front of the camera clearly wanted to be famous.|that|what|whose
de|Der Adler, ... direkt vor der Kamera gefischt hat, wollte eindeutig berühmt werden.|der|was|dessen
ua|Орел, ... рибалив просто перед камерою, явно хотів прославитися.|який|що|чий
es|El águila ... pescó justo delante de la cámara claramente quería ser famosa.|que|lo que|cuya
fr|L'aigle ... a pêché juste devant la caméra voulait clairement devenir célèbre.|qui|ce qui|dont
tr|Kameranın tam önünde balık ... kartal belli ki ünlü olmak istiyordu.|tutan|ne|kimin
hu|A sas, ... közvetlenül a kamera előtt halászott, egyértelműen híres akart lenni.|amely|ami|amelynek
E 39290 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The eagle ... in this bay for years before anyone filmed it.|had been fishing|has been fishing|has fished
de|Der Adler ... jahrelang in dieser Bucht gefischt, bevor ihn jemand gefilmt hat.|hatte|hat|hat
ua|Орел ... в цій затоці роками, перш ніж хтось його зняв.|рибалив|рибалив|рибалив
es|El águila ... en esta bahía durante años antes de que alguien la grabara.|había estado pescando|ha estado pescando|ha pescado
fr|L'aigle ... dans cette baie depuis des années quand quelqu'un l'a filmé.|pêchait|pêche|a pêché
tr|Biri onu çekmeden önce kartal yıllarca bu koyda balık ...|avlıyordu|avlıyor|avladı
hu|A sas évek óta ... ebben az öbölben, mielőtt bárki lefilmezte volna.|halászott|halászik|halászott
MEDIA 4193 | meaning: under the level of the ground
E 44395 | B2 type 60 Wish clauses | style slang | options 3 | SEL
en|Bro, I wish I ... an underground garage like this, fr.|had|have|would have
de|Bro, ich wünschte, ich ... so eine Tiefgarage, echt jetzt.|hätte|habe|würde haben
ua|Бро, от би я ... такий підземний гараж, чесно.|мав|маю|мав би
es|Bro, ojalá yo ... un garaje subterráneo así, en serio.|tuviera|tengo|tendría
fr|Frérot, si seulement j'... un garage souterrain comme ça, sérieux.|avais|ai|aurais
tr|Kanka, keşke ben de böyle bir yeraltı garajına ..., cidden.|sahip olsam|sahibim|sahip olurdum
hu|Tesó, bárcsak nekem is ... egy ilyen mélygarázsom, komolyan.|lenne|van|lenne
MEDIA 4199 | meaning: to pull something along with effort
E 38800 | B1 type 38 0 Conditional | style dramatic | options 3 | SEL
en|If a paraglider drags his feet too deep, the lake ... him in completely!|pulls|pulled|would pull
de|Wenn ein Paraglider seine Füße zu tief durchzieht, ... der See ihn komplett rein!|zieht|zog|würde ziehen
ua|Якщо парапланерист занурює ноги надто глибоко, озеро ... його повністю!|затягує|затягнуло|затягнуло б
es|¡Si un parapentista arrastra los pies demasiado hondo, el lago lo ... por completo!|traga|tragó|tragaría
fr|Si un parapentiste traîne les pieds trop profond, le lac ... complètement !|l'aspire|l'a aspiré|l'aspirerait
tr|Bir yamaç paraşütçüsü ayaklarını çok derine sürterse, göl onu tamamen içine ...!|çeker|çekti|çekerdi
hu|Ha egy siklóernyős túl mélyen húzza a lábát, a tó teljesen ... őt!|beszippantja|beszippantotta|beszippantaná
E 38808 | B2 type 60 Wish clauses | style ironic | options 3 | SEL
en|He probably wishes he ... his boots through the lake. Wet socks, flawless.|hadn't dragged|didn't drag|wouldn't drag
de|Er wünscht sich wahrscheinlich, er ... seine Schuhe durch den See gezogen. Nasse Socken, makellos.|hätte nicht|zog nicht|würde nicht
ua|Він, мабуть, хотів би, щоб ... черевики по озеру. Мокрі шкарпетки, бездоганно.|не тягнув|не тягнув|не тягнув
es|Seguramente él desearía no ... las botas por el lago. Calcetines mojados, impecable.|haber arrastrado|arrastrar|arrastrar
fr|Il aimerait sûrement ne pas ... ses bottes dans le lac. Chaussettes mouillées, parfait.|avoir traîné|traîner|traîner
tr|O muhtemelen botlarını gölde ... diliyordur. Islak çoraplar, kusursuz.|sürüklememiş olmayı|sürüklememeyi|sürüklemeyecek olmayı
hu|Ő valószínűleg azt kívánja, bárcsak ne ... végig a bakancsát a tavon. Vizes zokni, hibátlan.|húzta volna|húzná|húzná
MEDIA 4200 | meaning: a deep yellow color
E 39826 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
en|Not gonna lie, you can't stop watching the gold sunset over the bay, and ...|neither can the swimmer.|so can the swimmer.|neither does the swimmer.
de|Ehrlich gesagt, du kannst nicht aufhören, den goldenen Sonnenuntergang über der Bucht anzuschauen, und ...|der Schwimmer auch nicht|der Schwimmer auch|der Schwimmer auch nicht
ua|Чесно, ти не можеш відірватися від золотого заходу сонця над затокою, і ...|плавець теж не може|плавець теж може|плавець теж ні
es|No te voy a mentir, tú no puedes dejar de mirar la puesta de sol dorada sobre la bahía, y ...|el nadador tampoco|el nadador también|el nadador tampoco
fr|Sans mentir, tu n'arrives pas à arrêter de regarder le coucher de soleil doré sur la baie, et ...|le nageur non plus|le nageur aussi|le nageur non plus
tr|Yalan yok, sen körfezin üzerindeki altın rengi gün batımını izlemeyi bırakamıyorsun, ve ...|yüzücü de bırakamıyor|yüzücü de bırakabiliyor|yüzücü de bırakmıyor
hu|Nem kamu, te nem tudod abbahagyni az öböl feletti arany naplemente nézését, és ...|az úszó sem|az úszó is|az úszó sem
E 39827 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|The drone ... over the cliffs for minutes before the sea turned gold.|had been flying|has been flying|was flying
de|Die Drohne ... schon minutenlang über den Klippen, bevor das Meer golden wurde.|flog|fliegt|flog
ua|Дрон ... над скелями кілька хвилин, перш ніж море стало золотим.|літав|літає|летів
es|El dron ... sobre los acantilados durante minutos antes de que el mar se volviera dorado.|había estado volando|ha estado volando|estaba volando
fr|Le drone ... au-dessus des falaises depuis des minutes quand la mer est devenue dorée.|volait|vole|volait
tr|Deniz altın rengine dönmeden önce drone dakikalarca uçurumların üzerinde ...|uçuyordu|uçuyor|uçuyordu
hu|A drón percek óta ... a sziklák fölött, mielőtt a tenger arany színűvé vált.|repült|repül|repült
MEDIA 4201 | meaning: in a vertical position, standing up
E 44433 | B1 type 39 1. Conditional | style dramatic | options 3 | SEL
en|If they keep the bikes upright any longer, it ... in total disaster!|will end|would end|ended
de|Wenn sie die Bikes noch länger aufrecht halten, ... das in einer totalen Katastrophe!|endet|würde enden|endete
