MEDIA 4222 | meaning: to signal with your hand
E 44658 | B1 type 31 Past Continuous | style slang | options 3 | SEL
hu|Mire a férfi hátranézett, a kenguruk már ... mellette.|elugráltak|elugráltak|ugrálnak el
MEDIA 4347 | meaning: to transport people from one place to another
E 39171 | B1 type 32 Present Perfect Continuous | style business | options 3 | SEL
en|This boat ... 300 tourists a day across the harbour for years, at full capacity.|has been ferrying|is ferrying|ferries
de|Dieses Boot ... seit Jahren 300 Touristen am Tag über den Hafen, bei voller Auslastung.|befördert|befördert gerade|befördert
ua|Цей човен ... 300 туристів на день через гавань уже роками, на повну потужність.|перевозить|перевозить|перевозить
es|Este barco ... 300 turistas al día por el puerto desde hace años, a plena capacidad.|ha estado transportando|está transportando|transporta
fr|Ce bateau ... 300 touristes par jour à travers le port depuis des années, à pleine capacité.|transporte|est en train de transporter|transporte
tr|Bu tekne yıllardır limanın bir yakasından diğerine günde 300 turist ..., tam kapasiteyle.|taşıyor|taşıyor|taşır
hu|Ez a hajó évek óta napi 300 turistát ... át a kikötőn, teljes kapacitással.|visz|visz|visz
E 39179 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Every summer, the little boats ... tourists across the harbour.|ferry|are ferrying|have ferried
de|Jeden Sommer ... die kleinen Boote Touristen über den Hafen.|befördern|befördern gerade|haben befördert
ua|Щоліта маленькі човни ... туристів через гавань.|перевозять|перевозять|перевезли
es|Cada verano, las barquitas ... turistas por el puerto.|transportan|están transportando|han transportado
fr|Chaque été, les petits bateaux ... des touristes à travers le port.|transportent|sont en train de transporter|ont transporté
tr|Her yaz küçük tekneler turistleri limanın karşısına ...|taşır|taşıyor|taşıdı
hu|Minden nyáron a kis hajók ... át a turistákat a kikötőn.|viszik|viszik|vitték
MEDIA 4348 | meaning: relating to athletes or sport
E 36881 | B1 type 37 Future Simple or Continuos | style chill | options 3 | SEL
en|Her coach thinks she ... the athletic surf contest next month.|will win|will be winning|is winning
de|Ihr Trainer glaubt, dass sie nächsten Monat den sportlichen Surfwettbewerb ...|gewinnt|gewinnen wird|gerade gewinnt
ua|Її тренер думає, що вона ... спортивні змагання з серфінгу наступного місяця.|виграє|виграватиме|виграє
es|Su entrenador cree que ella ... el concurso atlético de surf el mes que viene.|ganará|estará ganando|está ganando
fr|Son coach pense qu'elle ... la compétition sportive de surf le mois prochain.|gagnera|sera en train de gagner|est en train de gagner
tr|Koçu, onun gelecek ay atletik sörf yarışmasını ... düşünüyor.|kazanacağını|kazanıyor olacağını|kazandığını
hu|Az edzője szerint ő ... a sportos szörfversenyt jövő hónapban.|megnyeri|nyerni fogja|épp nyeri
MEDIA 4351 | meaning: a hard rock that takes a high polish
E 40855 | B1 type 31 Past Continuous | style gossip | options 3 | SEL
en|Girl, apparently she ... on the marble railing when the quartet started playing.|was leaning|leaned|has leaned
de|Mädel, angeblich ... sie sich gerade aufs Marmorgeländer, als das Quartett zu spielen anfing.|lehnte|lehnte|hat gelehnt
ua|Подруго, кажуть, вона ... на мармурові поруччя, коли квартет почав грати.|спиралася|сперлася|сперлася
es|Tía, al parecer ella ... en la barandilla de mármol cuando el cuarteto empezó a tocar.|estaba apoyada|se apoyó|se ha apoyado
fr|Meuf, apparemment elle ... sur la rambarde en marbre quand le quatuor a commencé à jouer.|s'appuyait|s'est appuyée|s'est appuyée
tr|Kızım, duyduğuma göre dörtlü çalmaya başladığında o mermer korkuluğa ...|yaslanıyormuş|yaslandı|yaslandı
hu|Csajszi, állítólag ő épp ... a márványkorlátnak, amikor a vonósnégyes játszani kezdett.|támaszkodott|nekitámaszkodott|nekitámaszkodott
E 40859 | B2 type 57 Modals in past | style ironic | options 3 | SEL
en|She ... touched the marble; the sign said no touching. Flawless manners, clearly.|shouldn't have|mustn't have|couldn't
de|Sie ... den Marmor nicht anfassen sollen; auf dem Schild stand: Berühren verboten. Makellose Manieren, eindeutig.|hätte|durfte|konnte
ua|Вона ... торкатися мармуру; на табличці було написано «не торкатися». Бездоганні манери, явно.|не мала б|не мусила|не могла
es|Ella ... tocado el mármol; el cartel decía que no se tocara. Modales impecables, claramente.|no debería haber|no tenía que haber|no podía haber
fr|Elle ... toucher le marbre ; le panneau disait de ne pas toucher. Des manières impeccables, clairement.|n'aurait pas dû|ne devait pas|ne pouvait pas
tr|O mermere ...; tabelada dokunmak yasak yazıyordu. Kusursuz görgü, belli ki.|dokunmamalıydı|dokunmamış olmalı|dokunamadı
hu|Ő ... hozzáérnie a márványhoz; a táblán az állt, hogy tilos megérinteni. Hibátlan modor, egyértelműen.|nem kellett volna|nem kellett|nem tudott
MEDIA 4355 | meaning: lovable in a sweet, childlike way
E 36589 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|When a baby ... like this, everyone thinks it is adorable.|smiles|smiled|will smile
de|Wenn ein Baby so ..., findet jeder es entzückend.|lächelt|lächelte|lächeln wird
ua|Коли немовля ... ось так, усі вважають, що воно чарівне.|усміхається|усміхнулося|усміхнеться
es|Cuando un bebé ... así, todo el mundo piensa que es adorable.|sonríe|sonrió|sonreirá
fr|Quand un bébé ... comme ça, tout le monde le trouve adorable.|sourit|a souri|sourira
tr|Bir bebek böyle ..., herkes onun çok tatlı olduğunu düşünür.|gülümsediğinde|gülümsediğinde|gülümseyeceği zaman
hu|Amikor egy baba így ..., mindenki imádnivalónak tartja.|mosolyog|mosolygott|mosolyogni fog
MEDIA 4356 | meaning: painful, hurting
E 43253 | B1 type 41 Passive | style chill | options 3 | SEL
en|His sore back ... by carrying a heavy rucksack up the hill.|was caused|caused|is causing
de|Sein schmerzender Rücken ... durch das Tragen eines schweren Rucksacks den Berg hinauf verursacht.|wurde|verursachte|verursacht gerade
ua|Його хвора спина ... носінням важкого рюкзака на пагорб.|була спричинена|спричинила|спричиняє
es|Su espalda dolorida ... por cargar una mochila pesada colina arriba.|fue causada|causó|está causando
fr|Son mal de dos ... par le port d'un sac à dos lourd en haut de la colline.|a été causé|a causé|est en train de causer
tr|Onun ağrıyan sırtı, ağır bir sırt çantasını tepeye taşımaktan ...|kaynaklandı|neden oldu|neden oluyor
hu|A fájó hátát ... a nehéz hátizsák felcipelése a dombra.|okozta|okozta|okozza
E 43259 | B2 type 65 All Present Tenses | style slang | options 3 | SEL
en|Nah, his back ... sore since the hike started, dude's kinda cooked.|has been|is|is being
de|Nee, sein Rücken ... weh, seit die Wanderung angefangen hat, der Typ ist echt durch.|tut|tut|tut gerade
ua|Не, його спина ... з початку походу, чувак геть виснажений.|болить|болить|болить
es|Qué va, la espalda le ... desde que empezó la ruta, el tío está hecho polvo.|duele|duele|está doliendo
fr|Nan, son dos lui ... mal depuis le début de la rando, le mec est complètement cuit.|fait|fait|est en train de faire
tr|Yok ya, yürüyüş başladığından beri sırtı ..., adam resmen bitmiş.|ağrıyor|ağrıyor|ağrıyor
hu|Nem, a háta a túra kezdete óta ..., a srác eléggé ki van készülve.|fáj|fáj|fáj
MEDIA 4357 | meaning: a heavy woven fabric used for sails or tents
E 37574 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If the rain starts, her canvas rucksack ... her things dry.|will keep|would keep|kept
de|Wenn es anfängt zu regnen, ... ihr Rucksack aus Segeltuch ihre Sachen trocken.|hält|würde halten|hielt
ua|Якщо почнеться дощ, її брезентовий рюкзак ... її речі сухими.|збереже|зберіг би|зберіг
es|Si empieza a llover, su mochila de lona ... sus cosas secas.|mantendrá|mantendría|mantuvo
fr|S'il commence à pleuvoir, son sac à dos en toile ... ses affaires au sec.|gardera|garderait|a gardé
tr|Yağmur başlarsa, onun kanvas sırt çantası eşyalarını kuru ...|tutacak|tutardı|tuttu
hu|Ha elered az eső, a vászon hátizsákja szárazon ... a holmiját.|tartja|tartaná|tartotta
MEDIA 4360 | meaning: a container for carrying money and small items
E 41969 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|She ... carry a plain tote, but now she has a leather purse.|used to|would|is used to
de|Sie ... eine schlichte Stofftasche, aber jetzt hat sie eine Lederhandtasche.|trug früher|würde tragen|ist es gewohnt, zu tragen
ua|Вона ... носити просту тканинну сумку, але тепер у неї шкіряна сумочка.|мала звичку|б|звикла
es|Ella ... llevar un tote sencillo, pero ahora tiene un bolso de cuero.|solía|querría|está acostumbrada a
fr|Elle ... porter un simple tote bag, mais maintenant elle a un sac à main en cuir.|avait l'habitude de|voudrait|est habituée à
tr|O eskiden sade bir bez çanta ..., ama şimdi deri bir çantası var.|taşırdı|taşırdı|taşımaya alışkın
hu|Ő régen egy egyszerű vászontáskát ..., de most bőr kézitáskája van.|hordott|hordana|szokott hordani
E 41971 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|At the moment, she ... a brown leather purse up on the escalator.|is holding|holds|has held
de|Im Moment ... sie auf der Rolltreppe eine braune Lederhandtasche hoch.|hält|hält|hat gehalten
ua|Зараз вона ... на ескалаторі коричневу шкіряну сумочку вгору.|тримає|тримає|тримала
es|En este momento, ella ... un bolso de cuero marrón en alto en la escalera mecánica.|está sosteniendo|sostiene|ha sostenido
fr|En ce moment, elle ... un sac à main en cuir marron en l'air sur l'escalator.|tient|tient|a tenu
tr|Şu anda o yürüyen merdivende kahverengi deri bir çantayı yukarıda ...|tutuyor|tutar|tuttu
hu|Épp most ő a mozgólépcsőn egy barna bőr kézitáskát ... a magasba.|tart|tart|tartott
MEDIA 4361 | meaning: to do your shopping
E 42936 | B1 type 48 Question tags | style chill | options 3 | SEL
en|She shopped all day, ...?|didn't she?|wasn't she?|doesn't she?
de|Sie hat den ganzen Tag eingekauft, ...?|oder|oder|oder
ua|Вона цілий день ходила по магазинах, ...?|правда|правда|правда
es|Ella estuvo de compras todo el día, ¿...?|verdad|verdad|verdad
fr|Elle a fait du shopping toute la journée, ... ?|non|non|non
tr|O bütün gün alışveriş yaptı, ...?|değil mi|değil mi|değil mi
hu|Ő egész nap vásárolt, ...?|nem|nem|nem
E 42939 | B2 type 65 All Present Tenses | style slang | options 3 | SEL
en|Bro, she ... since ten this morning and she ain't done yet.|has been shopping|is shopping|shops
de|Bro, sie ... seit zehn Uhr morgens und ist immer noch nicht fertig.|shoppt|shoppt gerade|shoppt
ua|Бро, вона ... з десятої ранку і досі не закінчила.|ходить по магазинах|ходить по магазинах|ходить по магазинах
es|Bro, ella ... desde las diez de la mañana y todavía no ha acabado.|lleva comprando|está comprando|compra
fr|Frérot, elle ... depuis dix heures ce matin et elle a toujours pas fini.|fait du shopping|est en train de faire du shopping|fait du shopping
tr|Kanka, o sabah ondan beri ... ve hâlâ bitirmedi.|alışveriş yapıyor|alışveriş yapıyor|alışveriş yapar
hu|Tesó, ő reggel tíz óta ..., és még mindig nem végzett.|vásárol|vásárol|vásárol
MEDIA 4363 | meaning: to come into sight
E 36733 | B1 type 48 Question tags | style chill | options 3 | SEL
en|His red backpack has finally appeared, ...?|hasn't it?|isn't it?|didn't it?
de|Sein roter Rucksack ist endlich aufgetaucht, ...?|oder|oder|oder
ua|Його червоний рюкзак нарешті з'явився, ...?|правда|правда|правда
es|Su mochila roja por fin ha aparecido, ¿...?|verdad|verdad|verdad
fr|Son sac à dos rouge est enfin apparu, ... ?|non|non|non
tr|Onun kırmızı sırt çantası sonunda göründü, ...?|değil mi|değil mi|değil mi
hu|Végre megjelent a piros hátizsákja, ...?|nem|nem|nem
MEDIA 4364 | meaning: a flour mixture you can knead or roll
E 38761 | B2 type 53 3. Conditional | style flirt | options 3 | SEL
en|Honestly, if you hadn't shaped the dough so neatly, these croissants ... this good.|wouldn't have turned out|won't turn out|didn't turn out
de|Ehrlich, wenn du den Teig nicht so ordentlich geformt hättest, ... diese Croissants nicht so gut geworden.|wären|werden|wurden
ua|Чесно, якби ти не сформувала тісто так акуратно, ці круасани ... такими смачними.|не вийшли б|не вийдуть|не вийшли
es|Sinceramente, si tú no hubieras formado la masa con tanto cuidado, estos cruasanes no ... tan buenos.|habrían salido|saldrán|salieron
fr|Franchement, si tu n'avais pas façonné la pâte aussi soigneusement, ces croissants ... aussi bons.|n'auraient pas été|ne seront pas|n'étaient pas
tr|Açıkçası, sen hamuru bu kadar düzgün şekillendirmeseydin, bu kruvasanlar bu kadar güzel ...|olmazdı|olmayacak|olmadı
hu|Őszintén, ha te nem formáztad volna ilyen szépen a tésztát, ezek a croissant-ok nem ... ilyen jók.|lettek volna|lesznek|lettek
MEDIA 4368 | meaning: to make something lighter or brighter
E 40633 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If she ... the string lights, the terrace glows warm.|lights|lit|will light
de|Wenn sie die Lichterkette ..., leuchtet die Terrasse warm.|anmacht|anmachte|anmachen wird
ua|Якщо вона ... гірлянду, тераса тепло світиться.|вмикає|увімкнула|увімкне
es|Si ella ... las guirnaldas de luces, la terraza brilla con calidez.|enciende|encendió|encenderá
fr|Si elle ... la guirlande lumineuse, la terrasse brille d'une lumière chaude.|allume|a allumé|allumera
tr|O ışık zincirini ..., teras sıcacık parlar.|yakarsa|yaktı|yakacak
hu|Ha ő ... a fényfüzért, a terasz melegen ragyog.|felkapcsolja|felkapcsolta|fel fogja kapcsolni
MEDIA 4370 | meaning: a strongbox where valuables are kept
E 42574 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|At noon tomorrow, the clerk ... the notes into the safe, so the counter will be closed.|will be putting|will put|puts
de|Morgen Mittag ... der Bankangestellte gerade die Scheine in den Tresor, also ist der Schalter geschlossen.|legt|legt|legt
ua|Завтра опівдні касир ... банкноти в сейф, тож віконце буде зачинене.|складатиме|складе|складає
es|Mañana al mediodía, el empleado ... los billetes en la caja fuerte, así que la ventanilla estará cerrada.|estará metiendo|meterá|mete
fr|Demain à midi, le guichetier ... les billets dans le coffre, donc le guichet sera fermé.|sera en train de ranger|rangera|range
tr|Yarın öğlen memur banknotları kasaya ..., bu yüzden gişe kapalı olacak.|koyuyor olacak|koyacak|koyar
hu|Holnap délben a pénztáros ... a bankjegyeket a széfbe, így a pult zárva lesz.|épp berakja|be fogja rakni|berakja
MEDIA 4371 | meaning: a large entrance or reception area
E 40675 | B1 type 46 Used to, Would | style slang | options 3 | SEL
en|Bro, she ... dream about a bank lobby like this as a kid, no cap.|used to|was used to|uses to
de|Bro, sie ... als Kind von so einer Bankhalle, ohne Witz.|träumte früher|war es gewohnt, zu träumen|träumt
ua|Бро, у дитинстві вона ... про такий банківський хол, без жартів.|часто мріяла|звикла мріяти|часто мріє
es|Bro, de niña ella ... soñar con un vestíbulo de banco así, en serio.|solía|estaba acostumbrada a|suele
fr|Frérot, petite, elle ... rêver d'un hall de banque comme ça, sans mentir.|avait l'habitude de|était habituée à|a l'habitude de
tr|Kanka, o çocukken böyle bir banka lobisinin hayalini ..., yalan yok.|kurardı|kurmaya alışkındı|kurar
hu|Tesó, ő gyerekként egy ilyen bankcsarnokról ..., komolyan.|álmodozott|hozzá volt szokva, hogy álmodozzon|szokott álmodozni
E 40679 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|The clerk ... notes for an hour before she walked into the lobby.|had been counting|has been counting|was counting
de|Der Bankangestellte ... eine Stunde lang Scheine gezählt, bevor sie in die Halle kam.|hatte|hat|war
ua|Касир ... банкноти годину, перш ніж вона зайшла в хол.|рахував|рахує|рахував
es|El empleado ... billetes durante una hora antes de que ella entrara en el vestíbulo.|había estado contando|ha estado contando|estaba contando
fr|Le guichetier ... des billets pendant une heure avant qu'elle entre dans le hall.|avait compté|a compté|comptait
tr|Memur, o lobiye girmeden önce bir saat boyunca banknot ...|saymıştı|sayıyor|sayıyordu
hu|A pénztáros egy órán át ... a bankjegyeket, mielőtt ő belépett a csarnokba.|számolta|számolja|számolta
MEDIA 4375 | meaning: having an irregular, uneven surface
E 42471 | B1 type 37 Future Simple or Continuos | style chill | options 3 | SEL
en|I am sure the bark ... rough even after this strip comes off.|will stay|will be staying|is staying
de|Ich bin sicher, dass die Rinde rau ..., auch wenn dieser Streifen abgeht.|bleibt|bleiben wird|gerade bleibt
ua|Я впевнений, що кора ... шорсткою, навіть коли ця смуга відпаде.|залишиться|залишатиметься|залишається
es|Yo estoy seguro de que la corteza ... áspera incluso después de que se caiga esta tira.|seguirá|estará siguiendo|está siguiendo
fr|Je suis sûr que l'écorce ... rugueuse même après que cette bande se sera détachée.|restera|sera en train de rester|reste
tr|Ben, bu şerit düştükten sonra bile ağaç kabuğunun pürüzlü ... eminim.|kalacağından|kalıyor olacağından|kaldığından
hu|Én biztos vagyok benne, hogy a kéreg ... érdes, még azután is, hogy ez a csík leválik.|marad|maradni fog|marad éppen
MEDIA 4377 | meaning: the lowest part of a building, below the ground
E 37130 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|He ... his basement into a home cinema, and now it is finished.|has turned|has been turning|is turning
de|Er hat seinen Keller in ein Heimkino ..., und jetzt ist es fertig.|verwandelt|verwandelt|verwandelt gerade
ua|Він ... свій підвал на домашній кінотеатр, і тепер він готовий.|перетворив|перетворював|перетворює
es|Él ... su sótano en un cine en casa, y ahora está terminado.|ha convertido|ha estado convirtiendo|está convirtiendo
fr|Il ... son sous-sol en home cinéma, et maintenant c'est fini.|a transformé|transforme depuis|est en train de transformer
tr|O bodrumunu ev sinemasına ... ve artık bitti.|dönüştürdü|dönüştürüyor|dönüştürüyor
hu|Ő ... a pincéjét házimozivá, és most már kész.|átalakította|alakítgatta|alakítja át
E 37136 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|They ... through the terrifying basement for ages before the cinema door opened!|had been walking|have been walking|walk
de|Sie ... ewig durch den gruseligen Keller gelaufen, bevor die Kinotür aufging!|waren|sind|laufen
ua|Вони ... жахливим підвалом цілу вічність, перш ніж відчинилися двері кінотеатру!|ішли|ідуть|ідуть
es|¡Ellos ... por el sótano aterrador durante siglos antes de que se abriera la puerta del cine!|habían estado caminando|han estado caminando|caminan
fr|Ils ... dans le sous-sol terrifiant pendant une éternité avant que la porte du cinéma s'ouvre !|avaient marché|ont marché|marchent
tr|Onlar sinemanın kapısı açılmadan önce korkunç bodrumda bir ömür boyu ...!|yürümüşlerdi|yürüyorlar|yürürler
hu|Ők egy örökkévalóságig ... a félelmetes pincében, mielőtt kinyílt a mozi ajtaja!|mentek|mennek|mennek
MEDIA 4379 | meaning: a large open container you fill with water to wash
E 44334 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If someone ... too much soap into a tub, the suds spill over the rim.|pours|poured|will pour
de|Wenn jemand zu viel Seife in eine Wanne ..., läuft der Schaum über den Rand.|gießt|goss|gießen wird
ua|Якщо хтось ... у ванну забагато мила, піна переливається через край.|наливає|налив|наллє
es|Si alguien ... demasiado jabón en una bañera, la espuma se desborda.|echa|echó|echará
fr|Si quelqu'un ... trop de savon dans une baignoire, la mousse déborde.|verse|a versé|versera
tr|Biri küvete fazla sabun ..., köpükler kenardan taşar.|dökerse|döktü|dökecek
hu|Ha valaki túl sok szappant ... egy kádba, a hab kifolyik a peremén.|önt|öntött|önteni fog
MEDIA 4384 | meaning: to spring back after hitting something
E 37315 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the mattress were harder, she ... so high.|wouldn't bounce|won't bounce|doesn't bounce
de|Wenn die Matratze härter wäre, ... sie nicht so hoch.|hüpfte|wird hüpfen|hüpft
ua|Якби матрац був твердіший, вона ... так високо.|не підстрибувала б|не підстрибне|не підстрибує
es|Si el colchón fuera más duro, ella ... tan alto.|no rebotaría|no rebotará|no rebota
fr|Si le matelas était plus dur, elle ... aussi haut.|ne rebondirait pas|ne rebondira pas|ne rebondit pas
tr|Yatak daha sert olsaydı, o bu kadar yükseğe ...|zıplamazdı|zıplamayacak|zıplamıyor
hu|Ha keményebb lenne a matrac, ő nem ... ilyen magasra.|pattanna|fog pattanni|pattan
MEDIA 4388 | meaning: a plant with flower heads of white ray petals
E 38398 | B1 type 41 Passive | style chill | options 3 | SEL
en|The daisies ... by the bee one by one.|are visited|visit|are visiting
de|Die Gänseblümchen ... von der Biene eins nach dem anderen besucht.|werden|besuchen|werden gerade
ua|Ромашки ... бджолою одна за одною.|відвідуються|відвідують|відвідують
es|Las margaritas ... por la abeja una a una.|son visitadas|visitan|están visitando
fr|Les pâquerettes ... par l'abeille une par une.|sont visitées|visitent|visitent
tr|Papatyalar arı tarafından tek tek ...|ziyaret ediliyor|ziyaret ediyor|ziyaret ediyor
hu|A százszorszépeket egyenként ... a méh.|látogatja meg|meglátogatják|látogatják
MEDIA 4390 | meaning: the feeling of lively, cheerful joy
E 39010 | B1 type 45 Reported speech | style clueless | options 3 | SEL
en|She said she ... excited because of all the excitement.|was|were|be
de|Sie sagte, sie ... aufgeregt wegen der ganzen Aufregung.|sei|seien|sein
ua|Вона сказала, що ... схвильована через усе це хвилювання.|була|були|бути
es|Ella dijo que ... emocionada por toda la emoción.|estaba|estaban|estar
fr|Elle a dit qu'elle ... excitée à cause de toute cette excitation.|était|étaient|être
tr|O, bütün o heyecan yüzünden heyecanlı ... söyledi.|olduğunu|olduklarını|olmak
hu|Ő azt mondta, hogy izgatott ... a sok izgalom miatt.|||lenni
E 39015 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|Before they reached the arena, her excitement ... all afternoon.|had been growing|has been growing|grows
de|Bevor sie die Arena erreichten, ... ihre Aufregung schon den ganzen Nachmittag gewachsen.|war|ist|wächst
ua|Поки вони дісталися арени, її хвилювання ... все пообіддя.|зростало|зростає|зростає
es|Antes de que llegaran al estadio, su emoción ... toda la tarde.|había estado creciendo|ha estado creciendo|crece
fr|Avant qu'elles arrivent à l'arène, son excitation ... tout l'après-midi.|avait grandi|a grandi|grandit
tr|Onlar arenaya varmadan önce, onun heyecanı bütün öğleden sonra ...|artmıştı|artıyor|artar
hu|Mielőtt odaértek az arénához, az izgalma egész délután ...|nőtt|nő|nő
MEDIA 4392 | meaning: a sudden drop from standing up
E 39112 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The man's fall ... his lunch bag into the air.|sent|was sent|sending
de|Der Sturz des Mannes ... seine Brotzeittüte in die Luft.|schleuderte|wurde geschleudert|schleudernd
ua|Падіння чоловіка ... його пакет з обідом у повітря.|підкинуло|було підкинуте|підкидаючи
es|La caída del hombre ... su bolsa del almuerzo por los aires.|mandó|fue mandada|mandando
fr|La chute de l'homme ... son sac-repas en l'air.|a envoyé|a été envoyée|envoyant
tr|Adamın düşüşü öğle yemeği poşetini havaya ...|fırlattı|fırlatıldı|fırlatarak
hu|A férfi esése a levegőbe ... az ebédes zacskóját.|repítette|repítették|repítve
MEDIA 4395 | meaning: a contestant you are matched against
E 41290 | B2 type 55 Advanced Passive Voice | style chill | options 3 | SEL
en|His opponent is thought ... this move for the whole game.|to have been planning|to plan|planning
de|Man glaubt, dass seine Gegnerin diesen Zug das ganze Spiel über ...|geplant hat|plant|planend
ua|Вважають, що його суперниця ... цей хід усю гру.|планувала|планує|планування
es|Se cree que su rival ... esta jugada durante toda la partida.|ha estado planeando|planea|planeando
fr|On pense que son adversaire ... ce coup pendant toute la partie.|a préparé|prépare|préparant
tr|Rakibinin bu hamleyi bütün oyun boyunca ... düşünülüyor.|planlamış olduğu|planladığı|planlayarak
hu|Úgy tartják, hogy az ellenfele egész játék alatt ... ezt a lépést.|tervezte|tervezi|tervezve
MEDIA 4396 | meaning: to surprise someone greatly
E 42906 | B1 type 33 Past Simple or Continuos | style flirt | options 3 | SEL
en|While he ... , you shocked him with one smooth move, honestly.|was talking|talked|has talked
de|Während er ..., hast du ihn mit einem eleganten Zug geschockt, ehrlich.|redete|redete|geredet hat
ua|Поки він ..., ти шокувала його одним елегантним ходом, чесно.|говорив|поговорив|поговорив
es|Mientras él ..., tú lo dejaste en shock con un movimiento elegante, sinceramente.|hablaba|habló|ha hablado
fr|Pendant qu'il ..., tu l'as choqué avec un coup élégant, franchement.|parlait|a parlé|a parlé
tr|O ..., sen onu tek bir şık hamleyle şoke ettin, açıkçası.|konuşurken|konuştuğunda|konuşmuşken
hu|Miközben ő ..., te egyetlen elegáns lépéssel sokkoltad, őszintén.|beszélt|beszélt|beszélt
E 42914 | B2 type 67 All Future Tenses | style gossip | options 3 | SEL
en|Wait, word is by the next round she ... him again with another sneaky move.|will have shocked|will shock|shocks
de|Warte, angeblich ... sie ihn bis zur nächsten Runde wieder mit einem hinterhältigen Zug geschockt.|hat|wird|schockt
ua|Стривай, кажуть, до наступного раунду вона знову ... його ще одним підступним ходом.|шокує|шокує|шокує
es|Espera, dicen que para la siguiente ronda ella lo ... otra vez con otro movimiento astuto.|habrá sorprendido|sorprenderá|sorprende
fr|Attends, il paraît que d'ici la prochaine manche, elle ... encore avec un autre coup sournois.|l'aura choqué|le choquera|le choque
tr|Dur, duyduğuma göre bir sonraki tura kadar o, başka sinsi bir hamleyle onu yine ...|şoke etmiş olacak|şoke edecek|şoke ediyor
hu|Várj, azt beszélik, a következő körre ő megint ... egy újabb alattomos lépéssel.|lesokkolja|sokkolni fogja|sokkolja
MEDIA 4400 | meaning: to catch sight of something
E 43439 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If she ... a rare bird, she would take a photo of it.|spotted|spots|would spot
de|Wenn sie einen seltenen Vogel ..., würde sie ihn fotografieren.|entdeckte|entdeckt|entdecken würde
ua|Якби ... рідкісного птаха, вона б його сфотографувала.|помітила|помічає|помітила б
es|Si ... un pájaro raro, ella le haría una foto.|divisara|divisa|divisaría
fr|Si elle ... un oiseau rare, elle le prendrait en photo.|repérait|repère|repérerait
tr|Nadir bir kuş ..., o onun fotoğrafını çekerdi.|görse|görüyor|görürdü
hu|Ha ... egy ritka madarat, ő lefotózná.|kiszúrna|kiszúr|kiszúrna
MEDIA 4401 | meaning: at a great distance
E 39131 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|She ... the far shore through binoculars when something moved.|was scanning|scanned|has scanned
de|Sie ... gerade das ferne Ufer mit dem Fernglas ab, als sich etwas bewegte.|suchte|suchte|hat abgesucht
ua|Вона ... далекий берег у бінокль, коли щось ворухнулося.|оглядала|оглянула|оглянула
es|Ella ... la orilla lejana con los prismáticos cuando algo se movió.|estaba escudriñando|escudriñó|ha escudriñado
fr|Elle ... la rive lointaine aux jumelles quand quelque chose a bougé.|scrutait|a scruté|a scruté
tr|Bir şey kıpırdadığında o dürbünle uzak kıyıyı ...|tarıyordu|taradı|taradı
hu|Ő épp ... a távoli partot a távcsővel, amikor valami megmozdult.|pásztázta|végigpásztázta|végigpásztázta
E 39137 | B2 type 59 Causative HAVE/GET | style slang | options 3 | SEL
en|Dude, she's gonna get her binoculars ... 'cause the far shore looks kinda blurry.|fixed|fix|to fix
de|Alter, sie lässt ihr Fernglas ..., weil das ferne Ufer irgendwie verschwommen aussieht.|reparieren|reparieren|zu reparieren
ua|Чувак, вона віддасть свій бінокль ..., бо далекий берег виглядає якось розмито.|полагодити|лагодити|щоб полагодити
es|Tío, ella va a mandar ... los prismáticos porque la orilla lejana se ve medio borrosa.|a arreglar|arreglar|para arreglar
fr|Mec, elle va faire ... ses jumelles parce que la rive au loin a l'air un peu floue.|réparer|réparer|de réparer
tr|Kanka, o dürbününü ..., çünkü uzak kıyı biraz bulanık görünüyor.|tamir ettirecek|tamir edecek|tamir etmeye götürecek
hu|Tesó, ő ... a távcsövét, mert a távoli part kicsit homályos.|megjavíttatja|megjavítja|megjavítani
MEDIA 4402 | meaning: a feeling of craving food or something else
E 36739 | B1 type 33 Past Simple or Continuos | style flirt | options 3 | SEL
en|You ... the apple when that giant burger arrived, and honestly, your appetite is iconic.|were finishing|have finished|finish
de|Du ... gerade deinen Apfel auf, als dieser Riesenburger kam, und ehrlich, dein Appetit ist ikonisch.|aßt|aßt|isst
ua|Ти ... яблуко, коли принесли той гігантський бургер, і чесно, твій апетит культовий.|доїдав|доїв|доїдаєш
