MEDIA 5209 | meaning: to sit or lie back comfortably doing nothing
E 40734 | B1 type 37 Future Simple or Continuos | style ironic | options 3 | SEL
tr|Onlar tek bir grup gibi tezahürat yapıyor, yani birlikleri çok güçlü ...|olmalı|olamaz|olmalı
hu|Ők egyetlen csoportként ujjonganak, szóval az egységüknek ... nagyon erősnek.|kell lennie|nem lehet|kellene lennie
MEDIA 5333 | meaning: a set of stairs inside a building
E 43494 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|He wants to have his photo ... on the marble staircase.|taken|take|taking
de|Er will auf der Marmortreppe ein Foto von sich ... lassen.|machen|machen|machend
ua|Він хоче, щоб його ... на мармурових сходах.|сфотографували|сфотографувати|фотографуючи
es|Él quiere que le ... una foto en la escalera de mármol.|hagan|hacer|haciendo
fr|Il veut se faire ... en photo sur l'escalier en marbre.|prendre|prendre|prenant
tr|O mermer merdivende fotoğrafını ... istiyor.|çektirmek|çekmek|çekerek
hu|Ő le akarja ... magát a márványlépcsőn.|fotóztatni|fotózni|fotózva
MEDIA 5334 | meaning: to show respect towards someone
E 42258 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|These fans ... this tradition for over fifty years now.|have been respecting|are respecting|respect
de|Diese Fans ... diese Tradition schon seit über fünfzig Jahren.|respektieren|respektieren gerade|respektieren
ua|Ці фанати ... цю традицію вже понад п'ятдесят років.|шанують|шанують|шанують
es|Estos aficionados ... esta tradición desde hace más de cincuenta años.|vienen respetando|están respetando|respetan
fr|Ces supporters ... cette tradition depuis plus de cinquante ans.|respectent|sont en train de respecter|respectent
tr|Bu taraftarlar elli yılı aşkın süredir bu geleneğe ...|saygı gösteriyor|saygı gösteriyor|saygı gösterir
hu|Ezek a szurkolók már több mint ötven éve ... ezt a hagyományt.|tisztelik|tisztelik|tisztelik
E 42266 | B2 type 66 All Past Tenses | style nerd | options 3 | SEL
en|Remarkably, the spectators ... the tradition long before this match began.|had respected|have respected|were respecting
de|Bemerkenswerterweise ... die Zuschauer die Tradition schon lange vor Beginn dieses Spiels respektiert.|hatten|haben|waren
ua|Примітно, що глядачі ... традицію задовго до початку цього матчу.|шанували|шанують|шанували
es|Sorprendentemente, los espectadores ... la tradición mucho antes de que empezara este partido.|habían respetado|han respetado|estaban respetando
fr|Fait remarquable, les spectateurs ... la tradition bien avant le début de ce match.|avaient respecté|ont respecté|respectaient
tr|Dikkat çekici biçimde, seyirciler bu maç başlamadan çok önce geleneğe ...|saygı göstermişti|saygı gösterdi|saygı gösteriyordu
hu|Figyelemre méltó módon a nézők már jóval a meccs kezdete előtt ... a hagyományt.|tisztelték|tisztelik|tisztelték
MEDIA 5335 | meaning: showing great excitement and interest
E 38954 | B1 type 47 Gerund vs Infinitive | style slang | options 3 | SEL
en|Ngl, she can't help ... like the most enthusiastic fan ever.|cheering|to cheer|cheer
de|Ohne Witz, sie kann nicht anders, als ... wie der begeistertste Fan überhaupt.|zu jubeln|zu jubeln|jubeln
ua|Чесно, вона не може не ... як найзапекліша фанатка.|вболівати|вболівати|вболіває
es|No voy a mentir, ella no puede parar de ... como la fan más entusiasta del mundo.|animar|animar|anima
fr|Sans mentir, elle ne peut pas s'empêcher ... comme la fan la plus enthousiaste de tous les temps.|d'acclamer|d'acclamer|acclame
tr|Yalan yok, o dünyanın en coşkulu taraftarı gibi ... kendini alamıyor.|tezahürat yapmaktan|tezahürat yapmaktan|tezahürat yapıyor
hu|Nem kamu, ő nem tudja megállni, hogy ne ... úgy, mint minden idők leglelkesebb szurkolója.|szurkoljon|szurkoljon|szurkol
E 38957 | B2 type 51 Future Perfect Simple | style nerd | options 3 | SEL
en|By the final whistle, the subject ... enthusiastically for approximately 90 minutes.|will have cheered|will cheer|will be cheering
de|Bis zum Schlusspfiff wird das Subjekt etwa 90 Minuten lang begeistert ...|gejubelt haben|jubeln|am Jubeln sein
ua|До фінального свистка суб'єкт ... із захватом приблизно 90 хвилин.|вболіватиме|вболіватиме|вболіватиме
es|Para el pitido final, el sujeto ... con entusiasmo durante aproximadamente 90 minutos.|habrá animado|animará|estará animando
fr|D'ici le coup de sifflet final, le sujet ... avec enthousiasme pendant environ 90 minutes.|aura acclamé|acclamera|sera en train d'acclamer
tr|Son düdüğe kadar denek yaklaşık 90 dakika boyunca coşkuyla ...|tezahürat yapmış olacak|tezahürat yapacak|tezahürat yapıyor olacak
hu|A lefújásig az alany körülbelül 90 percen át lelkesen ...|szurkolt majd|szurkolni fog|szurkolni fog
MEDIA 5336 | meaning: the quality of being loyal
E 40750 | B1 type 45 Reported speech | style nerd | options 3 | SEL
en|The supporter stated that his loyalty ... approximately forty years earlier.|had begun|has begun|begins
de|Der Fan gab an, dass seine Treue etwa vierzig Jahre zuvor ...|begonnen hatte|begonnen hat|beginnt
ua|Уболівальник заявив, що його вірність ... приблизно сорока роками раніше.|почалася|почалася|починається
es|El aficionado afirmó que su lealtad ... aproximadamente cuarenta años antes.|había empezado|ha empezado|empieza
fr|Le supporter a déclaré que sa loyauté ... environ quarante ans plus tôt.|avait commencé|a commencé|commence
tr|Taraftar, sadakatinin yaklaşık kırk yıl önce ... belirtti.|başlamış olduğunu|başladığını|başladığını
hu|A szurkoló kijelentette, hogy a hűsége körülbelül negyven évvel korábban ...|kezdődött|kezdődött|kezdődik
E 40754 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Girl, apparently he ... to this stadium every week since the eighties, total loyalty.|has been coming|is coming|comes
de|Süße, anscheinend ... er seit den Achtzigern jede Woche in dieses Stadion, totale Treue.|kommt|kommt gerade|kommt
ua|Подруго, кажуть, він ... на цей стадіон щотижня з вісімдесятих, повна вірність.|ходить|ходить|ходить
es|Tía, al parecer él ... a este estadio cada semana desde los ochenta, lealtad total.|lleva viniendo|está viniendo|viene
fr|Meuf, apparemment il ... dans ce stade chaque semaine depuis les années 80, loyauté totale.|vient|est en train de venir|vient
tr|Kızım, duyduğuma göre o seksenlerden beri her hafta bu stadyuma ..., tam sadakat.|geliyormuş|geliyor|gelir
hu|Csajszi, állítólag ő ... ebbe a stadionba minden héten a nyolcvanas évek óta, teljes hűség.|jár|jön|jár
MEDIA 5337 | meaning: the railway, the train system
E 42027 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|This time tomorrow, he ... across the country by rail.|will be travelling|will travel|travels
de|Morgen um diese Zeit wird er mit der Bahn quer durchs Land ...|reisen|reisen|reist
ua|Завтра в цей час він ... країною залізницею.|подорожуватиме|подорожуватиме|подорожує
es|Mañana a esta hora, él ... por el país en tren.|estará viajando|viajará|viaja
fr|Demain à la même heure, il ... à travers le pays en train.|sera en train de voyager|voyagera|voyage
tr|Yarın bu saatte o trenle ülkeyi boydan boya ...|geziyor olacak|gezecek|geziyor
hu|Holnap ilyenkor ő vonattal ... keresztül az országon.|fog utazni|utazik majd|utazik
MEDIA 5339 | meaning: to handle a machine and make it function
E 38042 | B1 type 34 Present Perfect Simple or Continuos | style ironic | options 3 | SEL
en|She ... two vehicles today without moving an inch. Truly legendary driving.|has controlled|has been controlling|is controlling
de|Sie hat heute zwei Fahrzeuge ..., ohne sich einen Zentimeter zu bewegen. Wirklich legendäres Fahren.|gesteuert|gesteuert|am Steuern
ua|Вона сьогодні ... двома транспортними засобами, не зрушивши ні на сантиметр. Справді легендарне водіння.|керувала|керувала|керує
es|Ella ... dos vehículos hoy sin moverse ni un centímetro. Conducción realmente legendaria.|ha manejado|ha estado manejando|está manejando
fr|Elle ... deux véhicules aujourd'hui sans bouger d'un centimètre. Une conduite vraiment légendaire.|a piloté|a piloté|pilote
tr|O bugün ... iki aracı, bir santim bile kıpırdamadan. Gerçekten efsanevi sürüş.|kontrol etti|kontrol edip durdu|kontrol ediyor
hu|Ő ma két járművet ..., anélkül hogy egy centit is mozdult volna. Igazán legendás vezetés.|irányított|irányítgatott|irányít
E 38043 | B2 type 56 Reported speech | style ironic | options 3 | SEL
en|She insisted on ... the bus herself. The depot was obviously thrilled.|controlling|to control|control
de|Sie bestand darauf, den Bus selbst ..., und das Depot war natürlich begeistert.|zu steuern|zu steuern|steuern
ua|Вона наполягла на тому, щоб ... автобусом самій. Депо, звісно, було в захваті.|керувати|керувати|керує
es|Ella insistió en ... el autobús ella misma. Obviamente, en la cochera estaban encantados.|conducir|conducir|conduce
fr|Elle a tenu à ... le bus elle-même. Le dépôt était évidemment ravi.|conduire|conduire|conduit
tr|O otobüsü bizzat ... ısrar etti. Depo tabii ki çok mutluydu.|kullanmakta|kullanmakta|kullanıyor
hu|Ő ragaszkodott hozzá, hogy maga ... a buszt. A telep nyilván el volt ragadtatva.|vezesse|vezesse|vezeti
MEDIA 5342 | meaning: the soft muscular part inside your mouth
E 44150 | B1 type 45 Reported speech | style nerd | options 3 | SEL
en|The girl indicated that she ... frosting on her tongue before.|had never had|has never had|never has
de|Das Mädchen gab an, dass es zuvor noch nie Zuckerguss auf der Zunge ...|gehabt hatte|gehabt hat|hat
ua|Дівчинка вказала, що раніше вона ... глазур на язиці.|ніколи не куштувала|ніколи не куштувала|ніколи не куштує
es|La niña indicó que ella ... glaseado en la lengua antes.|nunca había tenido|nunca ha tenido|nunca tiene
fr|La fillette a indiqué qu'elle ... de glaçage sur la langue auparavant.|n'avait jamais eu|n'a jamais eu|n'a jamais
tr|Kız, daha önce dilinde hiç krema ... belirtti.|olmamış olduğunu|olmadığını|olmadığını
hu|A kislány jelezte, hogy ő korábban még soha ... cukormázat a nyelvén.|nem érzett|nem érzett|nem érez
MEDIA 5343 | meaning: being two identical ones that match
E 44367 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|One twin bed has a white headboard, and ...|so does the other.|so is the other.|neither does the other.
de|Das eine der zwei gleichen Betten hat ein weißes Kopfteil, und ...|das andere auch|das andere auch|das andere auch nicht
ua|Одне з двох однакових ліжок має біле узголів'я, і ...|інше теж|інше теж|інше теж ні
es|Una de las camas gemelas tiene un cabecero blanco, y ...|la otra también|la otra también|la otra tampoco
fr|L'un des lits jumeaux a une tête de lit blanche, et ...|l'autre aussi|l'autre aussi|l'autre non plus
tr|İkiz yataklardan birinin beyaz bir başlığı var ve ...|diğerinin de|diğerinin de|diğerinin de yok
hu|Az egyik ikerágynak fehér az ágytámlája, és ...|a másiknak is|a másiknak is|a másiknak sem
E 44373 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Listen, I heard they ... on their twin beds for an hour before they started dancing.|had been sitting|have been sitting|are sitting
de|Hör zu, ich habe gehört, dass sie eine Stunde auf ihren gleichen Betten ..., bevor sie zu tanzen anfingen.|gesessen hatten|gesessen haben|sitzen
ua|Слухай, я чула, що вони ... годину на своїх однакових ліжках, перш ніж почали танцювати.|сиділи|сидять|сидять
es|Escucha, yo oí que ellas ... en sus camas gemelas durante una hora antes de empezar a bailar.|habían estado sentadas|han estado sentadas|están sentadas
fr|Écoute, j'ai entendu dire qu'elles ... sur leurs lits jumeaux pendant une heure avant de se mettre à danser.|étaient restées assises|sont restées assises|sont assises
tr|Dinle, ben onların dans etmeye başlamadan önce bir saat ikiz yataklarında ... duydum.|oturmuş olduklarını|oturduklarını|oturduklarını
hu|Figyelj, én úgy hallottam, hogy egy órát ... az ikerágyukon, mielőtt táncolni kezdtek.|ültek|ülnek|ülnek
MEDIA 5344 | meaning: a warm cover sewn from many pieces of fabric
E 41989 | B1 type 48 Question tags | style slang | options 3 | SEL
en|Yo, that patchwork quilt is kinda iconic, ...?|isn't it?|doesn't it?|is it?
de|Yo, diese Patchworkdecke ist irgendwie ikonisch, ...?|oder nicht|oder|ja
ua|Йо, ця печворкова ковдра якась легендарна, ...?|чи не так|хіба ні|так
es|Oye, esa colcha de patchwork es bastante icónica, ¿...?|verdad|no|sí
fr|Yo, cette courtepointe en patchwork est grave iconique, ... ?|non|pas vrai|hein
tr|Kanka, o yama yorgan resmen ikonik, ...?|değil mi|değil mi|öyle mi
hu|Tesó, az a patchwork takaró elég ikonikus, ...?|nem|ugye|igaz
E 41997 | B2 type 56 Reported speech | style ironic | options 3 | SEL
en|They admitted ... the quilt in one night, which is clearly very believable.|making|to make|made
de|Sie gaben zu, die Decke in einer Nacht ..., was natürlich total glaubwürdig ist.|genäht zu haben|zu nähen|nähten
ua|Вони зізналися, що ... ковдру за одну ніч, що, звісно, дуже правдоподібно.|пошили|пошити|пошили
es|Ellas admitieron ... la colcha en una noche, lo cual es claramente muy creíble.|haber hecho|hacer|que hicieron
fr|Elles ont avoué ... la courtepointe en une nuit, ce qui est clairement très crédible.|avoir fait|faire|qu'elles ont fait
tr|Onlar yorganı bir gecede ... itiraf etti, ki bu kesinlikle çok inandırıcı.|diktiklerini|dikmeyi|diktiklerini
hu|Ők bevallották, hogy egy éjszaka alatt ... a takarót, ami egyértelműen nagyon hihető.|megvarrták|megvarrni|megvarrták
MEDIA 5345 | meaning: to bend your body away from upright
E 40548 | B1 type 31 Past Continuous | style business | options 3 | SEL
en|While she ... on the bridge railing, her partner logged 5 km against the weekly target.|was leaning|leaned|has leaned
de|Während sie sich an das Brückengeländer ..., verbuchte ihr Partner 5 km auf das Wochenziel.|lehnte|lehnte|gelehnt hat
ua|Поки вона ... на поруччя мосту, її партнер зарахував 5 км у тижневу ціль.|спиралася|сперлася|сперлася
es|Mientras ella ... en la barandilla del puente, su compañero registró 5 km para el objetivo semanal.|estaba apoyada|se apoyó|se ha apoyado
fr|Pendant qu'elle ... sur la rambarde du pont, son partenaire a enregistré 5 km sur l'objectif hebdomadaire.|s'appuyait|s'est appuyée|s'est appuyée
tr|O köprü korkuluğuna ..., partneri haftalık hedefe karşı 5 km kaydetti.|yaslanırken|yaslandı|yaslanmışken
hu|Miközben ő ... a híd korlátjának, a partnere 5 km-t könyvelt el a heti célra.|dőlt|nekidőlt|nekidőlt
E 40551 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|Her partner had her ... on the railing until the pain in her side passed.|lean|to lean|leans
de|Ihr Partner ließ sie sich ans Geländer ..., bis der Seitenstich vorbei war.|lehnen|zu lehnen|lehnt
ua|Партнер змусив її ... на поруччя, поки біль у боці не минув.|спертися|спертися|спирається
es|Su compañero hizo que ella se ... en la barandilla hasta que se le pasó el dolor del costado.|apoyara|apoyara|apoya
fr|Son partenaire l'a laissée ... sur la rambarde jusqu'à ce que la douleur au côté passe.|s'appuyer|de s'appuyer|s'appuie
tr|Partneri, yan ağrısı geçene kadar onu korkuluğa ...|yaslandırdı|yaslanmaya|yaslanıyor
hu|A partnere hagyta, hogy ő ... a korlátnak, amíg el nem múlt az oldalszúrása.|nekidőljön|nekidőlni|nekidől
MEDIA 5349 | meaning: to give something as an honor or reward
E 36943 | B1 type 45 Reported speech | style dramatic | options 3 | SEL
en|He screamed that they ... him one medal too many!|had awarded|have awarded|award
de|Er schrie, dass sie ihm eine Medaille zu viel ...!|verliehen hatten|verliehen haben|verleihen
ua|Він кричав, що вони ... йому на одну медаль забагато!|вручили|вручили|вручають
es|¡Él gritó que le ... una medalla de más!|habían dado|han dado|dan
fr|Il a hurlé qu'ils lui ... une médaille de trop !|avaient décerné|ont décerné|décernent
tr|O, ona bir madalya fazla ... bağırdı!|vermiş olduklarını|verdiklerini|veriyor olduklarını
hu|Ő azt üvöltötte, hogy eggyel több érmet ... neki!|ítéltek oda|ítéltek oda|ítélnek oda
E 36946 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Right now the officer ... him yet another medal.|is awarding|awards|has awarded
de|Gerade ... ihm die Offizierin noch eine Medaille.|verleiht|verleiht|hat verliehen
ua|Прямо зараз офіцерка ... йому ще одну медаль.|вручає|вручає|вручила
es|Ahora mismo la oficial le ... otra medalla más.|está dando|da|ha dado
fr|En ce moment, l'officière lui ... encore une médaille.|remet|remet|a remis
tr|Şu anda subay ona bir madalya daha ...|veriyor|verir|verdi
hu|Épp most a tiszt ... neki még egy érmet.|adja át|átadja|átadta
MEDIA 5350 | meaning: a small natural stream of water
E 38246 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If the girl slips on that mossy rock, she ... into the creek.|will fall|would fall|fell
de|Wenn das Mädchen auf diesem moosigen Stein ausrutscht, ... es in den Bach.|fällt|würde fallen|fiel
ua|Якщо дівчина посковзнеться на тому мохатому камені, вона ... в струмок.|впаде|впала б|впала
es|Si la niña resbala en esa roca con musgo, ella ... al arroyo.|se caerá|se caería|se cayó
fr|Si la fille glisse sur ce rocher moussu, elle ... dans le ruisseau.|tombera|tomberait|est tombée
tr|Kız o yosunlu kayada kayarsa, o dereye ...|düşecek|düşerdi|düştü
hu|Ha a lány megcsúszik azon a mohás sziklán, ő ... a patakba.|bele fog esni|beleesne|beleesett
MEDIA 5351 | meaning: a tall lamp that lights a street at night
E 43641 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
en|This streetlight ... since approximately 5 p.m.|has been burning|is burning|burns
de|Diese Straßenlaterne ... seit etwa 17 Uhr.|brennt|brennt gerade|brennt
ua|Цей ліхтар ... приблизно з 17:00.|горить|горить|горить
es|Esta farola ... desde aproximadamente las 17:00.|lleva encendida|está encendida|se enciende
fr|Ce lampadaire ... depuis environ 17 h.|brille|est en train de briller|brille
tr|Bu sokak lambası yaklaşık 17.00'den beri ...|yanıyor|yanıyor|yanar
hu|Ez az utcai lámpa körülbelül 17 óra óta ...|világít|világít|világít
E 43649 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|... the streetlights, the road stayed bright long after sunset.|Thanks to|Despite|In case of
de|... der Straßenlaternen blieb die Straße lange nach Sonnenuntergang hell.|Dank|Trotz|Im Falle
ua|... вуличним ліхтарям дорога залишалася світлою ще довго після заходу сонця.|Завдяки|Попри|У разі
es|... las farolas, la calle siguió iluminada mucho después de la puesta de sol.|Gracias a|A pesar de|En caso de
fr|... lampadaires, la route est restée éclairée longtemps après le coucher du soleil.|Grâce aux|Malgré les|En cas de
tr|Sokak lambaları ..., yol gün batımından çok sonra da aydınlık kaldı.|sayesinde|rağmen|durumunda
hu|Az utcai lámpáknak ... az út még sokáig világos maradt naplemente után.|köszönhetően|ellenére|esetén
MEDIA 5352 | meaning: the feeling of being blocked from your goals
E 39643 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|She is screaming at her laptop, so her frustration ... be huge right now.|must|might|can't
de|Sie schreit ihren Laptop an, also ... ihre Frustration gerade riesig sein.|muss|könnte|kann nicht
ua|Вона кричить на ноутбук, тож її фрустрація ... бути величезною зараз.|має|може|не може
es|Ella le está gritando al portátil, así que su frustración ... ser enorme ahora mismo.|debe de|podría|no puede
fr|Elle hurle sur son ordinateur portable, donc sa frustration ... être énorme en ce moment.|doit|pourrait|ne peut pas
tr|O dizüstü bilgisayarına bağırıyor, yani hayal kırıklığı şu anda çok büyük ...|olmalı|olabilir|olamaz
hu|Ő a laptopjára kiabál, szóval a frusztrációja most ... hatalmas.|biztosan|talán|nem lehet
E 39647 | B2 type 62 Articles advanced | style nerd | options 3 | SEL
en|... observed in the subject occurs immediately after she reads the sheet.|The frustration|Frustration|A frustration
de|..., die beim Subjekt beobachtet wird, tritt unmittelbar auf, nachdem sie das Blatt liest.|Die Frustration|Frustration|Eine Frustration
ua|..., яку спостерігають у суб'єкта, виникає одразу після того, як вона читає аркуш.|Фрустрація|Фрустрація|Фрустрація
es|... observada en el sujeto aparece justo después de que ella lee la hoja.|La frustración|Frustración|Una frustración
fr|... observée chez le sujet survient immédiatement après qu'elle a lu la feuille.|La frustration|Frustration|Une frustration
tr|Denekte gözlemlenen ..., o kâğıdı okuduktan hemen sonra ortaya çıkıyor.|hayal kırıklığı|hayal kırıklığı|bir hayal kırıklığı
hu|..., amelyet az alanynál megfigyeltek, közvetlenül azután jelentkezik, hogy ő elolvassa a lapot.|A frusztráció|Frusztráció|Egy frusztráció
MEDIA 5353 | meaning: work that means handling forms and papers
E 41403 | B1 type 38 0 Conditional | style ironic | options 3 | SEL
en|Clearly a relaxing job: if she ... the phone, more paperwork lands on her desk.|answers|will answer|answered
de|Eindeutig ein entspannter Job: Wenn sie ans Telefon ..., landet noch mehr Papierkram auf ihrem Schreibtisch.|geht|gehen wird|ging
ua|Явно розслаблена робота: якщо вона ... телефон, на її стіл падає ще більше паперів.|бере|візьме|взяла
es|Claramente un trabajo relajante: si ella ... el teléfono, le cae más papeleo en la mesa.|contesta|contestará|contestó
fr|Clairement un boulot relaxant : si elle ... au téléphone, encore plus de paperasse atterrit sur son bureau.|répond|répondra|répondait
tr|Açıkça rahatlatıcı bir iş: o telefonu ..., masasına daha fazla evrak düşüyor.|açarsa|açacaksa|açtıysa
hu|Egyértelműen pihentető munka: ha ő ... a telefont, még több papírmunka landol az asztalán.|felveszi|fel fogja venni|felvette
E 41408 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If the paperwork had stopped earlier, she ... onto her desk.|wouldn't have slumped|won't slump|didn't slump
de|Wenn der Papierkram früher aufgehört hätte, ... sie nicht auf ihren Schreibtisch gesunken.|wäre|wird|ist
ua|Якби паперова робота закінчилася раніше, вона ... на стіл.|не впала б|не впаде|не впала
es|Si el papeleo hubiera parado antes, ella ... sobre la mesa.|no se habría desplomado|no se desplomará|no se desplomó
fr|Si la paperasse s'était arrêtée plus tôt, elle ... sur son bureau.|ne se serait pas effondrée|ne s'effondrera pas|ne s'est pas effondrée
tr|Evrak işi daha erken bitseydi, o masasına ...|yığılmazdı|yığılmayacak|yığılmadı
hu|Ha a papírmunka korábban abbamaradt volna, ő ... az asztalára.|nem roskadt volna rá|nem fog ráborulni|nem roskadt rá
MEDIA 5355 | meaning: someone who trains other people or animals
E 44229 | B1 type 41 Passive | style chill | options 3 | SEL
en|The group ... through every stretch by the trainer.|was led|is led|led
de|Die Gruppe wurde von der Trainerin durch jede Dehnung ...|geführt|geführt|führte
ua|Група ... через кожну розтяжку тренеркою.|була проведена|проводиться|провела
es|El grupo ... por cada estiramiento por la entrenadora.|fue guiado|es guiado|guio
fr|Le groupe ... à travers chaque étirement par l'entraîneuse.|a été guidé|est guidé|a guidé
tr|Grup her esneme hareketinde eğitmen tarafından ...|yönlendirildi|yönlendirilir|yönlendirdi
hu|A csoportot minden nyújtáson az edző ... végig.|vezette|vezeti|vezették
E 44237 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Girl, she told me the trainer ... the class for ten minutes when the cat joined in.|had been leading|has been leading|is leading
de|Süße, sie hat mir erzählt, die Trainerin ... die Stunde schon zehn Minuten, als die Katze mitmachte.|leitete|leitet|leitet gerade
ua|Подруго, вона сказала мені, що тренерка ... заняття десять хвилин, коли приєднався кіт.|вела|веде|веде
es|Tía, ella me dijo que la entrenadora ... la clase durante diez minutos cuando se unió el gato.|había estado dirigiendo|ha estado dirigiendo|está dirigiendo
fr|Meuf, elle m'a dit que l'entraîneuse ... le cours depuis dix minutes quand le chat s'est joint à eux.|animait|anime|est en train d'animer
tr|Kızım, o bana kedi katıldığında eğitmenin on dakikadır dersi ... söyledi.|yönetiyor olduğunu|yönettiğini|yönetmekte olduğunu
hu|Csajszi, ő azt mondta nekem, hogy az edző már tíz perce ... az órát, amikor a macska beszállt.|vezette|vezeti|vezeti
MEDIA 5356 | meaning: the Hindu discipline of calm mind training
E 44906 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|She ... five yoga poses since the sun started to set.|has done|has been doing|does
de|Seit die Sonne unterzugehen begann, hat sie fünf Yoga-Posen ...|gemacht|gemacht|macht
ua|Відколи сонце почало сідати, вона ... п'ять поз йоги.|зробила|робить|робить
es|Ella ... cinco posturas de yoga desde que el sol empezó a ponerse.|ha hecho|ha estado haciendo|hace
fr|Elle ... cinq postures de yoga depuis que le soleil a commencé à se coucher.|a fait|fait|fait
tr|Güneş batmaya başladığından beri o beş yoga pozu ...|yaptı|yapıyor|yapar
hu|Amióta a nap elkezdett lemenni, ő öt jógapózt ...|csinált meg|csinál|csinál
MEDIA 5358 | meaning: to take a quick secret look from behind something
E 41516 | B1 type 33 Past Simple or Continuos | style ironic | options 3 | SEL
en|She obviously ... at her textbook once, then built a wall of books.|peeked|was peeking|has peeked
de|Sie ... natürlich einmal in ihr Lehrbuch und baute dann eine Mauer aus Büchern.|linste|linste gerade|hat gelinst
ua|Вона, звісно, ... в підручник один раз, а потім збудувала стіну з книжок.|зазирнула|зазирала|зазирнула
es|Ella obviamente ... su libro de texto una vez y luego construyó un muro de libros.|echó un vistazo a|estaba echando un vistazo a|ha echado un vistazo a
fr|Elle ... évidemment une fois dans son manuel, puis a construit un mur de livres.|a jeté un œil|jetait un œil|a jeté un œil
tr|O tabii ki ders kitabına bir kez ..., sonra kitaplardan bir duvar ördü.|göz attı|göz atıyordu|göz atmış
hu|Ő persze egyszer ... a tankönyvébe, aztán könyvfalat épített.|belekukkantott|kukucskált|belekukkantott
E 41522 | B2 type 61 Relative clauses | style gossip | options 3 | SEL
en|Listen, apparently the girl, ... eyes kept peeking over the books, was hiding from her ex.|whose|who|which
de|Hör zu, anscheinend hat sich das Mädchen, ... Augen immer wieder über die Bücher lugten, vor ihrem Ex versteckt.|dessen|das|welches
ua|Слухай, кажуть, дівчина, ... очі постійно визирали з-за книжок, ховалася від свого колишнього.|чиї|яка|котра
es|Escucha, al parecer la chica, ... ojos no dejaban de asomarse por encima de los libros, se escondía de su ex.|cuyos|que|la cual
fr|Écoute, apparemment la fille, ... les yeux dépassaient sans cesse des livres, se cachait de son ex.|dont|qui|laquelle
tr|Dinle, duyduğuma göre ... gözleri sürekli kitapların üstünden bakan kız, eski sevgilisinden saklanıyormuş.|||
hu|Figyelj, állítólag a lány, ... a szeme folyton kikandikált a könyvek mögül, az exe elől bujkált.|akinek|aki|amely
MEDIA 5360 | meaning: an electric railway that runs below the ground
E 40976 | B1 type 44 Relative clauses | style slang | options 3 | SEL
en|Bro, the guy ... filmed the metro corridor looked kinda shocked, fr.|who|which|whose
de|Bro, der Typ, ... den Metro-Gang gefilmt hat, sah ziemlich geschockt aus, echt.|der|welcher|dessen
ua|Бро, хлопець, ... знімав коридор метро, виглядав якось шокованим, чесно.|який|що|чий
es|Bro, el tío ... grabó el pasillo del metro parecía bastante flipado, en serio.|que|el cual|cuyo
fr|Frérot, le mec ... a filmé le couloir du métro avait l'air grave choqué, sérieux.|qui|lequel|dont
tr|Kanka, metro koridorunu ... çeken adam epey şokta görünüyordu, cidden.|||
hu|Tesó, a srác, ... a metrófolyosót filmezte, elég sokkosnak tűnt, komolyan.|aki|amely|akinek
MEDIA 5363 | meaning: to give help to someone
E 36610 | B1 type 33 Past Simple or Continuos | style clueless | options 3 | SEL
en|When she crossed the line, two friends ... her, so she was not crossing it alone.|were aiding|aided|have aided
de|Als sie die Linie überquerte, ... ihr zwei Freunde, also überquerte sie sie nicht allein.|halfen|halfen|haben geholfen
ua|Коли вона перетинала лінію, двоє друзів ... їй, тож вона перетинала її не сама.|допомагали|допомогли|допомогли
es|Cuando ella cruzó la línea, dos amigos la ..., así que no la estaba cruzando sola.|estaban ayudando|ayudaron|han ayudado
fr|Quand elle a franchi la ligne, deux amis ..., donc elle ne la franchissait pas seule.|l'aidaient|l'ont aidée|l'ont aidée
tr|O çizgiyi geçtiğinde iki arkadaşı ona ..., yani çizgiyi tek başına geçmiyordu.|yardım ediyordu|yardım etti|yardım etmiş
hu|Amikor ő átlépte a vonalat, két barátja ... neki, így nem egyedül lépte át.|segített|segített|segített
E 36618 | B2 type 66 All Past Tenses | style slang | options 3 | SEL
en|Nah bro, those two ... her for like 200 metres by the time they hugged at the line.|had been aiding|were aiding|have been aiding
de|Nee Bro, die zwei ... ihr schon so 200 Meter lang, als sie sich im Ziel umarmten.|halfen|halfen gerade|helfen
ua|Та ні, бро, ті двоє ... їй метрів 200, поки вони не обнялися на фініші.|допомагали|допомагали|допомагають
