MEDIA 4415 | meaning: a remark expressing praise or admiration
E 37968 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
hu|A férfi éppen ... a hot dogokat, amikor egy lángfal csapott fel a grillből.|forgatta|megforgatta|megforgatta
E 39340 | B2 type 62 Articles advanced | style nerd | options 3 | SEL
en|The flame rose to ... almost instantly, which typically occurs when fat ignites.|waist height|the waist height|a waist height
de|Die Flamme stieg fast sofort auf ..., was typischerweise passiert, wenn sich Fett entzündet.|Hüfthöhe|die Hüfthöhe|eine Hüfthöhe
ua|Полум'я майже миттєво піднялося до ..., що зазвичай стається, коли займається жир.|рівня пояса|рівня пояса|рівня пояса
es|La llama subió hasta ... casi al instante, lo que suele ocurrir cuando la grasa se inflama.|la altura de la cintura|la altura de la cintura|una altura de la cintura
fr|La flamme est montée à ... presque instantanément, ce qui arrive généralement quand la graisse s'enflamme.|hauteur de taille|la hauteur de taille|une hauteur de taille
tr|Alev neredeyse anında ... hizasına çıktı; bu genellikle yağ tutuştuğunda olur.|bel|bel|bir bel
hu|A láng szinte azonnal ... magasságba csapott, ami jellemzően akkor történik, amikor a zsír meggyullad.|derék|a derék|egy derék
MEDIA 4555 | meaning: a coniferous tree with needles
E 41614 | B1 type 46 Used to, Would | style flirt | options 3 | SEL
en|Wait, you ... hate heights, and now you ride over pines like a pro? Respect.|used to|would|were used to
de|Warte, du ... früher Höhen, und jetzt fährst du wie ein Profi über die Kiefern? Respekt.|hasstest|hasstest|warst gewohnt zu hassen
ua|Стривай, ти ... висоту, а тепер катаєшся над соснами як профі? Респект.|колись ненавидів|колись ненавидів|звик ненавидіти
es|Espera, ¿tú ... odiar las alturas y ahora pasas por encima de los pinos como un pro? Respeto.|solías|solías|estabas acostumbrado a
fr|Attends, tu ... le vide, et maintenant tu passes au-dessus des pins comme un pro ? Respect.|détestais avant|détestais avant|avais l'habitude de détester
tr|Dur bir dakika, sen eskiden yükseklikten ... ve şimdi çamların üstünden profesyonel gibi mi geçiyorsun? Saygılar.|nefret ederdin|nefret ederdin|nefret etmeye alışkındın
hu|Várj, te régen ... a magasságot, most meg profi módjára suhansz a fenyők fölött? Respekt.|utáltad|utáltad|hozzá voltál szokva utálni
MEDIA 4556 | meaning: to express approval of someone
E 41804 | B1 type 49 So, Neither, Nor | style slang | options 3 | SEL
en|Bro, she praised his chart fr, and ...|so did the whole team.|so was the whole team.|neither did the whole team.
de|Bro, sie hat seine Grafik echt gelobt, und ...|das ganze Team auch.|das ganze Team war es auch.|das ganze Team auch nicht.
ua|Бро, вона реально похвалила його графік, і ...|уся команда теж.|уся команда теж була.|уся команда теж ні.
es|Bro, ella elogió su gráfico en serio, y ...|todo el equipo también.|todo el equipo también lo estaba.|todo el equipo tampoco.
fr|Frère, elle a vraiment complimenté son graphique, et ...|toute l'équipe aussi.|toute l'équipe l'était aussi.|toute l'équipe non plus.
tr|Kanka, o cidden onun grafiğini övdü ve ...|bütün ekip de.|bütün ekip de öyleydi.|bütün ekip de övmedi.
hu|Tesó, ő tényleg megdicsérte a grafikonját, és ...|az egész csapat is.|az egész csapat is az volt.|az egész csapat sem.
E 41807 | B2 type 52 Future Perfect Continuous | style nerd | options 3 | SEL
en|By the end of the day, the colleagues ... this chart for approximately eight hours.|will have been praising|will be praising|will have praised
de|Am Ende des Tages ... die Kollegen diese Grafik seit ungefähr acht Stunden.|loben|loben|lobten
ua|До кінця дня колеги ... цей графік приблизно вісім годин.|хвалитимуть|хвалитимуть|похвалять
es|Para el final del día, los colegas ... este gráfico durante aproximadamente ocho horas.|llevarán elogiando|estarán elogiando|habrán elogiado
fr|D'ici la fin de la journée, cela fera environ huit heures que les collègues ... ce graphique.|complimentent|complimentent|auront complimenté
tr|Gün sonuna kadar meslektaşlar bu grafiği yaklaşık sekiz saat boyunca ...|övüyor olacak|övüyor olacak|övmüş olacak
hu|A nap végére a kollégák nagyjából nyolc órája ... ezt a grafikont.|dicsérik|dicsérik|meg fogják dicsérni
MEDIA 4557 | meaning: the top of your thighs when you sit
E 40451 | B1 type 31 Past Continuous | style business | options 3 | SEL
en|He ... the evening's agenda over tea when a 30-kilogram dog took over his lap.|was reviewing|reviewed|has reviewed
de|Er ... gerade beim Tee die Tagesordnung für den Abend durch, als ein 30-Kilo-Hund seinen Schoß übernahm.|ging|ging|ging
ua|Він за чаєм ... план на вечір, коли 30-кілограмовий пес захопив його коліна.|переглядав|переглянув|переглянув
es|Él ... la agenda de la tarde con un té cuando un perro de 30 kilos se apoderó de su regazo.|estaba revisando|revisó|ha revisado
fr|Il ... le programme de la soirée autour d'un thé quand un chien de 30 kilos a pris possession de ses genoux.|passait en revue|a passé en revue|a passé en revue
tr|30 kiloluk bir köpek kucağını ele geçirdiğinde o çay eşliğinde akşamın gündemini ...|gözden geçiriyordu|gözden geçirdi|gözden geçirmiş
hu|Ő éppen ... az esti napirendet tea mellett, amikor egy 30 kilós kutya elfoglalta az ölét.|nézte át|átnézte|átnézte
E 40455 | B2 type 61 Relative clauses | style dramatic | options 3 | SEL
en|The old man, ... lap is completely buried under a huge dog, cannot move ever again!|whose|who|which
de|Der alte Mann, ... Schoß komplett unter einem riesigen Hund begraben ist, kann sich nie wieder bewegen!|dessen|der|welcher
ua|Старий, ... коліна повністю завалені величезним псом, більше ніколи не зможе поворухнутися!|чиї|який|що
es|¡El anciano, ... regazo está completamente sepultado bajo un perro enorme, no podrá volver a moverse jamás!|cuyo|que|el cual
fr|Le vieil homme, ... les genoux sont complètement ensevelis sous un énorme chien, ne pourra plus jamais bouger !|dont|qui|lequel
tr|Kucağı kocaman bir köpeğin altında tamamen gömülmüş ... yaşlı adam bir daha asla kıpırdayamayacak!|||
hu|Az idős férfi, ... ölét teljesen maga alá temeti egy hatalmas kutya, soha többé nem tud megmozdulni!|akinek az|aki|ami
MEDIA 4558 | meaning: help given to a person or cause
E 43809 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The friends ... him a lot of support after his bad news.|gave|were given|giving
de|Die Freunde ... ihm nach seinen schlechten Nachrichten viel Halt.|gaben|wurden gegeben|gebend
ua|Друзі ... йому багато підтримки після поганих новин.|дали|отримали|даючи
es|Los amigos le ... mucho apoyo después de sus malas noticias.|dieron|fueron dados|dando
fr|Ses amis lui ... beaucoup de soutien après sa mauvaise nouvelle.|ont apporté|ont été apportés|apportant
tr|Arkadaşları kötü haberden sonra ona çok destek ...|verdi|verildi|vererek
hu|A barátai ... neki sok támogatást a rossz hír után.|adtak|kaptak|adva
E 43811 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By midnight, his friends ... him support for five hours.|will have been giving|will give|are giving
de|Um Mitternacht ... seine Freunde ihm schon seit fünf Stunden Halt.|geben|geben|geben
ua|Опівночі його друзі ... йому підтримку вже п'ять годин.|даватимуть|дадуть|дають
es|A medianoche, sus amigos ... apoyo durante cinco horas.|le habrán estado dando|le darán|le están dando
fr|À minuit, cela fera cinq heures que ses amis lui ... du soutien.|apportent|apporteront|apportent
tr|Gece yarısına kadar arkadaşları ona beş saattir destek ...|veriyor olacak|verecek|veriyor
hu|Éjfélre a barátai már öt órája ... neki támogatást.|nyújtanak|nyújtani fognak|nyújtanak
MEDIA 4559 | meaning: to give emotional strength to someone sad
E 38014 | B1 type 49 So, Neither, Nor | style dramatic | options 3 | SEL
en|The worst night ever! She consoled him on the sofa, and ...|so did the others.|so were the others.|so do the others.
de|Schlimmste Nacht aller Zeiten! Sie tröstete ihn auf dem Sofa, und ...|die anderen auch.|die anderen waren es auch.|die anderen auch.
ua|Найгірша ніч у житті! Вона втішала його на дивані, і ...|інші теж.|інші теж були.|інші теж.
es|¡La peor noche de la historia! Ella lo consoló en el sofá, y ...|los demás también.|los demás también lo estaban.|los demás también.
fr|Pire nuit de tous les temps ! Elle l'a consolé sur le canapé, et ...|les autres aussi.|les autres l'étaient aussi.|les autres aussi.
tr|Gelmiş geçmiş en kötü gece! O onu kanepede teselli etti ve ...|diğerleri de.|diğerleri de öyleydi.|diğerleri de.
hu|Minden idők legrosszabb éjszakája! Ő vigasztalta a kanapén, és ...|a többiek is.|a többiek is azok voltak.|a többiek is.
E 38020 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|His friends ... consoled him earlier; he had been crying alone for hours.|should have|must have|can't have
de|Seine Freunde ... ihn früher trösten sollen; er hatte stundenlang allein geweint.|hätten|müssen|können nicht
ua|Його друзі ... втішити його раніше; він годинами плакав сам.|мали|мусили|не могли
es|Sus amigos ... consolado antes; él llevaba horas llorando solo.|deberían haberlo|debieron de haberlo|no pueden haberlo
fr|Ses amis ... le consoler plus tôt ; il pleurait seul depuis des heures.|auraient dû|ont dû|n'ont pas pu
tr|Arkadaşları onu daha önce ...; o saatlerdir tek başına ağlıyordu.|teselli etmeliydi|teselli etmiş olmalı|teselli etmiş olamaz
hu|A barátai ... korábban; ő órák óta egyedül sírt.|meg kellett volna, hogy vigasztalják|biztosan megvigasztalták|nem vigasztalhatták meg
MEDIA 4560 | meaning: the men and women who run a ship or aircraft
E 38264 | B1 type 33 Past Simple or Continuos | style gossip | options 3 | SEL
en|Guess what, I heard the crew was passing the willows when a rower ... a fist up.|punched|was punching|has punched
de|Rate mal, ich hab gehört, die Crew fuhr gerade an den Weiden vorbei, als ein Ruderer die Faust in die Luft ...|reckte|reckte gerade|hat gereckt
ua|Уяви, я чула, що екіпаж якраз пропливав повз верби, коли один веслувальник ... кулак угору.|викинув|викидав|викинув
es|Adivina, yo oí que la tripulación pasaba junto a los sauces cuando un remero ... el puño.|levantó|estaba levantando|ha levantado
fr|Devine quoi, j'ai entendu dire que l'équipage passait devant les saules quand un rameur ... le poing en l'air.|a levé|levait|a levé
tr|Bil bakalım, ben duydum ki ekip söğütlerin yanından geçerken bir kürekçi yumruğunu havaya ...|kaldırmış|kaldırıyormuş|kaldırmış
hu|Képzeld, én úgy hallottam, hogy a legénység épp a füzek mellett haladt el, amikor egy evezős a levegőbe ... az öklét.|emelte|emelte éppen|emelte
E 38268 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|The crew kept perfect time ... the cyclist passing on the towpath.|despite|although|because of
de|Die Crew hielt ... des Radfahrers auf dem Treidelpfad den perfekten Takt.|trotz|obwohl|wegen
ua|Екіпаж тримав ідеальний ритм ... велосипедиста, що проїжджав стежкою вздовж річки.|попри|хоча|через
es|La tripulación mantuvo el ritmo perfecto ... el ciclista que pasaba por el camino de sirga.|a pesar de|aunque|debido a
fr|L'équipage a gardé un rythme parfait ... le cycliste qui passait sur le chemin de halage.|malgré|bien que|à cause de
tr|Ekip, çekme yolundan geçen bisikletliye ... mükemmel ritmini korudu.|rağmen|gerçi|yüzünden
hu|A legénység tökéletes ütemben evezett a vontatóúton elhaladó biciklis ...|ellenére|bár|miatt
MEDIA 4561 | meaning: an instruction with authority to do something
E 37904 | B1 type 39 1. Conditional | style flirt | options 3 | SEL
en|If you shout one more command like that, the crew ... even faster, honestly.|will row|would row|rowed
de|Wenn du noch so ein Kommando rufst, ... die Crew noch schneller, ehrlich.|rudert|ruderte|ruderte
ua|Якщо ти крикнеш ще одну таку команду, екіпаж ... ще швидше, чесно.|веслуватиме|веслував би|веслував
es|Si tú gritas una orden más así, la tripulación ... todavía más rápido, en serio.|remará|remaría|remó
fr|Si tu cries encore un ordre comme ça, l'équipage ... encore plus vite, honnêtement.|ramera|ramerait|a ramé
tr|Sen böyle bir komut daha bağırırsan, ekip daha da hızlı ..., cidden.|kürek çekecek|kürek çekerdi|kürek çekti
hu|Ha te még egy ilyen vezényszót kiáltasz, a legénység még gyorsabban ..., komolyan.|fog evezni|evezne|evezett
E 37913 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Listen, word is she ... the commands on this boat since 2019.|has been giving|is giving|gives
de|Hör mal, angeblich ... sie seit 2019 die Kommandos auf diesem Boot.|gibt|gibt|gibt
ua|Слухай, кажуть, вона ... команди на цьому човні з 2019 року.|віддає|віддає|віддає
es|Oye, dicen que ella ... las órdenes en este barco desde 2019.|lleva dando|está dando|da
fr|Écoute, il paraît qu'elle ... les ordres sur ce bateau depuis 2019.|donne|donne|donne
tr|Dinle, dediklerine göre o 2019'dan beri bu teknede komutları ...|veriyor|veriyor|verir
hu|Figyelj, azt beszélik, hogy ő 2019 óta ... a vezényszavakat ezen a hajón.|adja|adja|adja
MEDIA 4563 | meaning: a legal document of rules for an activity
E 40500 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the law book weren't so heavy, she ... it with one hand.|would carry|will carry|carried
de|Wenn das Gesetzbuch nicht so schwer wäre, ... sie es mit einer Hand.|trüge|trägt|trug
ua|Якби книга законів не була такою важкою, вона ... її однією рукою.|несла б|понесе|несла
es|Si el libro de leyes no pesara tanto, ella lo ... con una mano.|llevaría|llevará|llevó
fr|Si le livre de lois n'était pas si lourd, elle le ... d'une seule main.|porterait|portera|a porté
tr|Kanun kitabı bu kadar ağır olmasaydı, o onu tek elle ...|taşırdı|taşıyacak|taşıdı
hu|Ha a törvénykönyv nem lenne ilyen nehéz, ő egy kézzel ...|vinné|fogja vinni|vitte
MEDIA 4564 | meaning: working together, joint action
E 38078 | B2 type 54 Mixed Conditional | style chill | options 3 | SEL
en|If the villagers hadn't shown such cooperation, the frame ... still on the grass now.|would be|would have been|will be
de|Hätten die Dorfbewohner nicht so viel Zusammenarbeit gezeigt, ... das Gerüst jetzt noch im Gras.|läge|hätte gelegen|wird liegen
ua|Якби селяни не показали такої співпраці, каркас ... досі на траві.|лежав би|лежав би|лежатиме
es|Si los aldeanos no hubieran mostrado tanta cooperación, la estructura ... todavía en la hierba ahora.|estaría|habría estado|estará
fr|Si les villageois n'avaient pas fait preuve d'une telle coopération, la charpente ... encore dans l'herbe maintenant.|serait|aurait été|sera
tr|Köylüler böyle bir iş birliği göstermeseydi, çatı iskeleti şu an hâlâ çimlerin üstünde ...|olurdu|olmuş olurdu|olacak
hu|Ha a falusiak nem mutattak volna ilyen együttműködést, a tetőszerkezet most is a füvön ...|feküdne|feküdt volna|fog feküdni
MEDIA 4566 | meaning: the top point of a mountain or hill
E 43772 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|She reached the summit at sunrise, and ...|so did her friend.|so was her friend.|so does her friend.
de|Sie hat bei Sonnenaufgang den Gipfel erreicht, und ...|ihre Freundin auch.|ihre Freundin war es auch.|ihre Freundin auch.
ua|Вона досягла вершини на світанку, і ...|її подруга теж.|її подруга теж була.|її подруга теж.
es|Ella llegó a la cumbre al amanecer, y ...|su amiga también.|su amiga también estaba.|su amiga también.
fr|Elle a atteint le sommet au lever du soleil, et ...|son amie aussi.|son amie l'était aussi.|son amie aussi.
tr|O zirveye gün doğarken ulaştı ve ...|arkadaşı da.|arkadaşı da öyleydi.|arkadaşı da.
hu|Ő napkeltekor ért fel a csúcsra, és ...|a barátnője is.|a barátnője is az volt.|a barátnője is.
MEDIA 4572 | meaning: to make something right
E 38107 | B1 type 36 Future Continuous | style flirt | options 3 | SEL
en|This time tomorrow you ... exam papers again. Your dedication is iconic.|will be correcting|will correct|are correcting
de|Morgen um diese Zeit ... du wieder Klausuren. Dein Einsatz ist ikonisch.|korrigierst gerade|korrigierst|korrigierst
ua|Завтра в цей час ти знову ... контрольні. Твоя відданість — культова.|перевірятимеш|перевіриш|перевіряєш
es|Mañana a esta hora tú ... exámenes otra vez. Tu dedicación es icónica.|estarás corrigiendo|corregirás|estás corrigiendo
fr|Demain à la même heure, tu ... encore des copies. Ton dévouement est iconique.|seras en train de corriger|corrigeras|es en train de corriger
tr|Yarın bu saatte sen yine sınav kâğıtlarını ...! Bu adanmışlığın efsane.|okuyor olacaksın|okuyacaksın|okuyorsun
hu|Holnap ilyenkor te megint ... a dolgozatokat. Az elhivatottságod ikonikus.|javítani fogod|kijavítod|javítod
E 38112 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By midnight, she ... every paper in the lecture theatre.|will have corrected|will correct|will be correcting
de|Bis Mitternacht hat sie jede Klausur im Hörsaal ...|korrigiert|korrigiert|korrigieren
ua|До півночі вона ... кожну роботу в аудиторії.|перевірить|перевірить|перевірятиме
es|Para medianoche, ella ... todos los exámenes del aula magna.|habrá corregido|corregirá|estará corrigiendo
fr|D'ici minuit, elle ... toutes les copies de l'amphithéâtre.|aura corrigé|corrigera|sera en train de corriger
tr|Gece yarısına kadar o amfideki her kâğıdı ...|okumuş olacak|okuyacak|okuyor olacak
hu|Éjfélre ő ... az előadóterem összes dolgozatát.|kijavítja|ki fogja javítani|javítani fogja
MEDIA 4573 | meaning: kept private, not open or public
E 42734 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|At this time next week, they ... another secret deal in the same booth.|will be making|made|make
de|Nächste Woche um diese Zeit ... sie in derselben Nische wieder einen geheimen Deal.|machen gerade|machten|machen
ua|Наступного тижня в цей час вони ... ще одну таємну угоду в тій самій кабінці.|укладатимуть|уклали|укладають
es|La semana que viene a esta hora, ellos ... otro trato secreto en el mismo reservado.|estarán cerrando|cerraron|cierran
fr|La semaine prochaine à la même heure, ils ... un autre accord secret dans le même box.|seront en train de conclure|ont conclu|concluent
tr|Gelecek hafta bu saatte onlar aynı bölmede başka bir gizli anlaşma ...|yapıyor olacak|yaptı|yapıyor
hu|Jövő héten ilyenkor ők ugyanabban a boxban ... egy újabb titkos üzletet.|fognak éppen kötni|kötöttek|kötnek
E 42739 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|They ... the cash secret for years before that tablecloth ruined everything!|had kept|have kept|keep
de|Sie ... das Geld jahrelang geheim gehalten, bevor diese Tischdecke alles ruiniert hat!|hatten|haben|halten
ua|Вони ... ці гроші в таємниці роками, поки та скатертина все не зіпсувала!|тримали|тримають|тримають
es|¡Ellos ... el dinero en secreto durante años antes de que ese mantel lo arruinara todo!|habían mantenido|han mantenido|mantienen
fr|Ils ... l'argent secret pendant des années avant que cette nappe gâche tout !|avaient gardé|ont gardé|gardent
tr|O masa örtüsü her şeyi mahvedene kadar onlar parayı yıllarca gizli ...!|tutmuşlardı|tuttular|tutuyorlar
hu|Ők évekig titokban ... a pénzt, mielőtt az az abrosz mindent tönkretett!|tartották|tartották|tartják
MEDIA 4578 | meaning: what plants yield in one growing season
E 38275 | B2 type 56 Reported speech | style chill | options 3 | SEL
en|The farmer warned the hiker not ... through the green crop below the hill.|to walk|walking|walked
de|Der Bauer warnte den Wanderer, nicht durch das grüne Getreide unterhalb des Hügels ...|zu laufen|laufend|lief
ua|Фермер попередив туриста не ... через зелений посів під пагорбом.|ходити|ходіння|ходив
es|El granjero advirtió al excursionista que no ... por el cultivo verde bajo la colina.|caminara|caminando|caminó
fr|Le fermier a averti le randonneur de ne pas ... dans la culture verte au pied de la colline.|marcher|marchant|marché
tr|Çiftçi yürüyüşçüyü tepenin altındaki yeşil ekinin içinden ... konusunda uyardı.|yürümemesi|yürümeyerek|yürümedi
hu|A gazda figyelmeztette a túrázót, hogy ne ... át a domb alatti zöld vetésen.|menjen|menve|ment
MEDIA 4580 | meaning: a meeting arranged in advance
E 38417 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|They ... planned this date in advance, because the heart balloon was already waiting.|must have|can't have|should have
de|Sie ... dieses Date im Voraus geplant haben, denn der Herzballon wartete schon.|müssen|können nicht|sollten
ua|Вони ... спланувати це побачення заздалегідь, бо кулька-серце вже чекала.|мусили|не могли|мали
es|Ellos ... planeado esta cita con antelación, porque el globo de corazón ya estaba esperando.|debieron de haber|no pueden haber|deberían haber
fr|Ils ... prévoir ce rendez-vous à l'avance, parce que le ballon en cœur attendait déjà.|ont dû|n'ont pas pu|auraient dû
tr|Onlar bu buluşmayı önceden ..., çünkü kalp balon zaten bekliyordu.|planlamış olmalı|planlamış olamaz|planlamalıydı
hu|Ők ... ezt a randit előre, mert a szív alakú lufi már várt.|biztosan megtervezték|nem tervezhették meg|meg kellett volna tervezniük
MEDIA 4582 | meaning: to find the size or measurements of something
E 40918 | B1 type 38 0 Conditional | style clueless | options 3 | SEL
en|If you measure a tall child, the child ... tall, because tall children are tall.|is|was|would be
de|Wenn du ein großes Kind misst, ... das Kind groß, weil große Kinder groß sind.|ist|war|wäre
ua|Якщо ти міряєш високу дитину, дитина ... високою, бо високі діти високі.|є|була|була б
es|Si tú mides a un niño alto, el niño ... alto, porque los niños altos son altos.|es|era|sería
fr|Si tu mesures un enfant grand, l'enfant ... grand, parce que les enfants grands sont grands.|est|était|serait
tr|Sen uzun boylu bir çocuğu ölçersen, çocuk uzun ..., çünkü uzun boylu çocuklar uzundur.||idi|olurdu
hu|Ha te megmérsz egy magas gyereket, a gyerek ... magas, mert a magas gyerekek magasak.||volt|lenne
E 40924 | B2 type 56 Reported speech | style ironic | options 3 | SEL
en|The girl insisted on ... again. A very calm competitor, obviously.|being measured|to be measured|be measured
de|Das Mädchen bestand darauf, noch einmal ... zu werden. Eine sehr ruhige Konkurrentin, offensichtlich.|gemessen|gemessen|gemessen
ua|Дівчинка наполягла, щоб її ... ще раз. Дуже спокійна суперниця, очевидно.|поміряли|поміряли|поміряли
es|La niña insistió en que la ... otra vez. Una rival muy tranquila, obviamente.|midieran|midieran|midieran
fr|La fille a insisté pour ... à nouveau. Une concurrente très calme, évidemment.|être mesurée|être mesurée|être mesurée
tr|Kız yeniden ... konusunda ısrar etti. Çok sakin bir rakip, belli ki.|ölçülmek|ölçülmek|ölçül
hu|A lány ragaszkodott ahhoz, hogy ... újra. Nagyon nyugodt versenyző, nyilván.|megmérjék|megmérjék|megmérjék
MEDIA 4583 | meaning: the thick muscle at the back of your lower leg
E 37488 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If the trainer stretches his calf, the player ... back on the pitch soon.|will be|would be|was
de|Wenn der Trainer seine Wade dehnt, ... der Spieler bald wieder auf dem Platz.|ist|wäre|war
ua|Якщо тренер розтягне йому литку, гравець скоро ... знову на полі.|буде|був би|був
es|Si el entrenador le estira la pantorrilla, el jugador ... de vuelta en el campo pronto.|estará|estaría|estaba
fr|Si l'entraîneur lui étire le mollet, le joueur ... bientôt de retour sur le terrain.|sera|serait|était
tr|Antrenör baldırını esnetirse, oyuncu yakında sahaya geri ...|dönecek|dönerdi|döndü
hu|Ha az edző megnyújtja a vádliját, a játékos hamarosan ... a pályán.|újra ott lesz|újra ott lenne|újra ott volt
E 37490 | B2 type 61 Relative clauses | style ironic | options 3 | SEL
en|The player, ... calf quit mid-sprint, is clearly having a great night.|whose|who|which
de|Der Spieler, ... Wade mitten im Sprint gestreikt hat, hat offensichtlich einen großartigen Abend.|dessen|der|welche
ua|Гравець, ... литка здалася посеред спринту, явно має чудовий вечір.|чия|який|яка
es|El jugador, ... pantorrilla dijo basta en pleno sprint, está pasando claramente una noche genial.|cuya|que|la cual
fr|Le joueur, ... le mollet a lâché en plein sprint, passe clairement une super soirée.|dont|qui|lequel
tr|Baldırı sprintin ortasında pes eden ... oyuncu belli ki harika bir gece geçiriyor.|||
hu|A játékos, ... vádlija sprint közben felmondta a szolgálatot, nyilvánvalóan remek estét tölt.|akinek a|aki|ami
MEDIA 4584 | meaning: a track or mark left by something passing
E 44216 | B1 type 39 1. Conditional | style dramatic | options 3 | SEL
en|If that wave comes any closer, it ... their little trail completely!|will destroy|would destroy|destroyed
de|Wenn die Welle noch näher kommt, ... sie ihre kleine Spur komplett!|zerstört|zerstörte|zerstörte
ua|Якщо ця хвиля підійде ще ближче, вона ... їхній маленький слід повністю!|знищить|знищила б|знищила
es|¡Si se acerca más, esa ola ... su pequeño rastro por completo!|destruirá|destruiría|destruyó
fr|Si cette vague s'approche encore, elle ... complètement leur petite trace !|détruira|détruirait|a détruit
tr|Biraz daha yaklaşırsa, o dalga onların küçük izini tamamen ...!|yok edecek|yok ederdi|yok etti
hu|Ha még közelebb jön, az a hullám teljesen ... a kis nyomukat!|el fogja tüntetni|eltüntetné|eltüntette
MEDIA 4585 | meaning: traveling across something
E 38286 | B1 type 47 Gerund vs Infinitive | style clueless | options 3 | SEL
en|She kept ... because a crossing is for crossing.|walking|to walk|walk
de|Sie ... einfach weiter, weil ein Überweg zum Überqueren da ist.|lief|zu laufen|laufen
ua|Вона продовжувала ..., бо перехід для того, щоб переходити.|йти|йти|йти
es|Ella siguió ..., porque un paso de peatones es para pasar.|caminando|a caminar|caminar
fr|Elle a continué à ..., parce qu'un passage, c'est fait pour passer.|marcher|marcher|marcher
tr|O ... devam etti, çünkü geçit geçmek içindir.|yürümeye|yürümek|yürü
hu|Ő tovább ..., mert az átkelő átkelésre való.|sétált|sétálni|sétál
E 38287 | B2 type 65 All Present Tenses | style nerd | options 3 | SEL
en|Pedestrians typically ... the crossing here only when the light is green.|make|are making|have made
de|Fußgänger ... den Überweg hier typischerweise nur, wenn die Ampel grün ist.|nutzen|nutzen gerade|haben genutzt
ua|Пішоходи тут зазвичай ... перехід лише тоді, коли горить зелений.|долають|долають|подолали
es|Los peatones normalmente ... el cruce aquí solo cuando el semáforo está en verde.|hacen|están haciendo|han hecho
fr|Les piétons ... généralement la traversée ici uniquement quand le feu est vert.|effectuent|sont en train d'effectuer|ont effectué
tr|Yayalar burada karşıya geçişi tipik olarak yalnızca ışık yeşilken ...|yapar|yapıyor|yaptı
hu|A gyalogosok itt jellemzően csak akkor ... az átkelést, amikor zöld a lámpa.|végzik el|végzik éppen|végezték el
MEDIA 4586 | meaning: a striped place on the road where people cross
E 38291 | B1 type 32 Present Perfect Continuous | style ironic | options 3 | SEL
en|She ... up and down this crosswalk for an hour. Clearly a very efficient shopping trip.|has been walking|is walking|walks
de|Sie ... seit einer Stunde auf diesem Zebrastreifen hin und her. Offensichtlich ein sehr effizienter Einkaufsbummel.|läuft|läuft|läuft
ua|Вона вже годину ... туди-сюди цим пішохідним переходом. Явно дуже ефективний шопінг.|ходить|ходить|ходить
es|Ella ... una hora arriba y abajo por este paso de cebra. Claramente, unas compras muy eficientes.|lleva caminando|está caminando|camina
fr|Elle ... sur ce passage piéton depuis une heure. Visiblement une virée shopping très efficace.|fait des allers-retours|fait des allers-retours|fait des allers-retours
tr|O, bu yaya geçidinde bir saattir bir aşağı bir yukarı ..., belli ki çok verimli bir alışveriş gezisi.|yürüyor|yürüyor|yürür
hu|Ő egy órája ... fel-alá ezen a zebrán. Nyilván nagyon hatékony bevásárlókörút.|sétál|sétál|sétál
MEDIA 4589 | meaning: a person walking in a street, not driving
E 41502 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
en|Remarkably, pedestrians ... across the junction in all directions since the light changed.|have been streaming|are streaming|stream
de|Bemerkenswerterweise ... Fußgänger seit dem Ampelwechsel in alle Richtungen über die Kreuzung.|strömen|strömen|strömten
ua|Примітно, що пішоходи ... через перехрестя в усіх напрямках, відколи змінилося світло.|сунуть|сунуть|сунули
es|Sorprendentemente, los peatones ... por el cruce en todas direcciones desde que cambió el semáforo.|llevan fluyendo|están fluyendo|fluyen
fr|Fait remarquable, les piétons ... à travers le carrefour dans toutes les directions depuis que le feu a changé.|affluent|affluent|affluent
tr|Dikkat çekici biçimde, ışık değiştiğinden beri yayalar kavşaktan her yöne ...|akıyor|akıyor|akar
hu|Figyelemre méltó módon a gyalogosok a lámpaváltás óta minden irányban ... át a kereszteződésen.|özönlenek|özönlenek|özönlöttek
E 41508 | B2 type 61 Relative clauses | style gossip | options 3 | SEL
en|Guess what, apparently the pedestrian, ... suit was coral, crossed before everyone else.|whose|who|which
de|Rate mal, angeblich ist die Fußgängerin, ... Anzug korallenrot war, vor allen anderen rübergegangen.|deren|die|welcher
ua|Уяви, кажуть, пішохідка, ... костюм був кораловим, перейшла раніше за всіх.|чий|яка|який
es|Adivina, al parecer la peatona, ... traje era coral, cruzó antes que nadie.|cuyo|que|el cual
