MEDIA 5029 | meaning: a motion of the hands or body to show a feeling
E 39783 | B2 type 58 Inversion basic | style chill | options 3 | SEL
ua|Чесно, ти ... передвиборчі плакати з 6 ранку, і твоя енергія неймовірна.|клеїш|клеїш|клеїш
es|Sinceramente, tú ... carteles de campaña desde las 6 de la mañana, y tu energía es una locura.|llevas pegando|estás pegando|pegas
fr|Honnêtement, tu ... des affiches de campagne depuis 6 h du matin, et ton énergie est dingue.|colles|colles|colles
tr|Açıkçası, sen sabah 6'dan beri seçim afişi ... ve enerjin inanılmaz.|yapıştırıyorsun|yapıştırıyorsun|yapıştırırsın
hu|Őszintén, te reggel 6 óta ... a kampányplakátokat, és elképesztő az energiád.|ragasztod|ragasztod|ragasztod
E 37545 | B2 type 67 All Future Tenses | style gossip | options 3 | SEL
en|Girl, I heard that by election day the campaign team ... ten thousand posters.|will have pasted|will paste|pastes
de|Girl, ich hab gehört, dass das Wahlkampfteam bis zum Wahltag zehntausend Plakate ...|geklebt haben wird|kleben wird|klebt
ua|Подруго, я чула, що до дня виборів команда кампанії ... десять тисяч плакатів.|наклеїть|клеїтиме|клеїть
es|Tía, yo oí que para el día de las elecciones el equipo de campaña ... diez mil carteles.|habrá pegado|pegará|pega
fr|Meuf, j'ai entendu que d'ici le jour de l'élection, l'équipe de campagne ... dix mille affiches.|aura collé|collera|colle
tr|Kızım, ben duydum ki seçim gününe kadar kampanya ekibi on bin afiş ...|yapıştırmış olacak|yapıştıracak|yapıştırıyor
hu|Csajszi, én úgy hallottam, hogy a választás napjára a kampánycsapat tízezer plakátot ...|kiragaszt|ki fog ragasztani|ragaszt
MEDIA 5165 | meaning: a material that can be molded into objects
E 41646 | B1 type 38 0 Conditional | style slang | options 3 | SEL
en|If plastic ... in a river, it just floats there for years, no cap, man.|ends up|ended up|will end up
de|Wenn Plastik in einem Fluss ..., treibt es da einfach jahrelang, ohne Witz, Mann.|landet|landete|landen wird
ua|Якщо пластик ... в річці, він просто плаває там роками, без жартів, чувак.|опиняється|опинився|опиниться
es|Si el plástico ... en un río, simplemente flota ahí durante años, sin mentir, tío.|acaba|acabó|acabará
fr|Si le plastique ... dans une rivière, il flotte juste là pendant des années, sans mentir, mec.|finit|a fini|finira
tr|Plastik bir nehre ..., orada yıllarca öylece yüzer, yalan yok, kanka.|düşerse|düştüyse|düşecekse
hu|Ha a műanyag egy folyóban ..., évekig csak úszik ott, komolyan, tesó.|köt ki|kötött ki|fog kikötni
E 41651 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By evening, she ... all the plastic near the bank.|will have collected|will collect|collects
de|Bis zum Abend ... sie das ganze Plastik am Ufer gesammelt haben.|wird|wird|sammelt
ua|До вечора вона ... весь пластик біля берега.|збере|збиратиме|збирає
es|Para la noche, ella ... todo el plástico cerca de la orilla.|habrá recogido|recogerá|recoge
fr|D'ici ce soir, elle ... tout le plastique près de la rive.|aura ramassé|ramassera|ramasse
tr|Akşama kadar o kıyıya yakın bütün plastiği ...|toplamış olacak|toplayacak|topluyor
hu|Estére ő ... az összes műanyagot a part mellett.|összeszedi|össze fogja szedni|szedi
MEDIA 5166 | meaning: the pair of rails that wheels run along
E 44195 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|The tram ... down the track when the young woman jumped off its step.|was rolling|rolled|has rolled
de|Die Straßenbahn ... gerade die Gleise hinunter, als die junge Frau von ihrer Stufe sprang.|rollte|rollte|ist gerollt
ua|Трамвай ... коліями вниз, коли молода жінка зістрибнула з його сходинки.|котився|скотився|скотився
es|El tranvía ... por la vía cuando la joven saltó de su escalón.|estaba bajando|bajó|ha bajado
fr|Le tram ... sur les rails quand la jeune femme a sauté de sa marche.|descendait|est descendu|est descendu
tr|Genç kadın basamağından atladığında tramvay raylardan aşağı ...|iniyordu|indi|indi
hu|A villamos éppen ... lefelé a síneken, amikor a fiatal nő leugrott a lépcsőjéről.|gurult|gurult|gurult
MEDIA 5167 | meaning: a flat square piece that covers a wall or floor
E 44089 | B1 type 49 So, Neither, Nor | style clueless | options 3 | SEL
en|He touched the tiles because they were right there, and ...|so did I.|so was I.|so do I.
de|Er hat die Fliesen angefasst, weil sie direkt da waren, und ...|ich auch.|ich auch.|ich auch.
ua|Він торкнувся плиток, бо вони були прямо там, і ...|я теж.|я теж.|я теж.
  ~soft: SEL: pronoun inside an option
es|Él tocó los azulejos porque estaban justo ahí, y ...|yo también.|yo también.|yo también.
  ~soft: SEL: pronoun inside an option
fr|Il a touché les carreaux parce qu'ils étaient juste là, et ...|moi aussi.|moi aussi.|moi aussi.
tr|O fayanslara dokundu çünkü tam oradaydılar, ve ...|ben de.|ben de.|ben de.
hu|Ő megérintette a csempéket, mert pont ott voltak, és ...|én is.|én is.|én is.
  ~soft: SEL: pronoun inside an option
E 44097 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|In general, ... painted by hand, like these blue ones, cost more than plain ones.|tiles|the tiles|a tiles
de|Im Allgemeinen kosten ..., die von Hand bemalt sind wie diese blauen, mehr als schlichte.|Fliesen|die Fliesen|eine Fliese
ua|Загалом ..., розписані вручну, як ці сині, коштують дорожче, ніж звичайні.|плитки|плитки|плитка
es|En general, ... pintados a mano, como estos azules, cuestan más que los lisos.|los azulejos|los azulejos|un azulejo
fr|En général, ... peints à la main, comme ces bleus, coûtent plus cher que les unis.|les carreaux|les carreaux|un carreau
tr|Genel olarak, bu mavi olanlar gibi elle boyanmış ... düz olanlardan daha pahalıdır.|fayanslar|fayanslar|bir fayans
hu|Általában a kézzel festett ..., mint ezek a kékek, többe kerülnek, mint a sima darabok.|csempék|csempék|egy csempe
MEDIA 5169 | meaning: to send something by the postal service
E 40804 | B1 type 35 Past Perfect Simple | style gossip | options 3 | SEL
en|Ok so apparently he ... the postcard before his friends even woke up.|had mailed|has mailed|mails
de|Ok also, angeblich ... er die Postkarte schon abgeschickt, bevor seine Freunde überhaupt aufgewacht sind.|hatte|hat|schickt
ua|Ок, отже, кажуть, він ... листівку ще до того, як його друзі взагалі прокинулися.|відправив|відправив|відправляє
es|Ok, pues al parecer él ... la postal antes de que sus amigos se despertaran.|había enviado|ha enviado|envía
fr|Ok donc apparemment il ... la carte postale avant même que ses amis se réveillent.|avait posté|a posté|poste
tr|Tamam yani, anlaşılan o arkadaşları daha uyanmadan kartpostalı ...|postalamıştı|postaladı|postalıyor
hu|Oké, szóval állítólag ő ... a képeslapot, mielőtt a barátai egyáltalán felébredtek.|feladta|feladta|feladja
E 40806 | B2 type 59 Causative HAVE/GET | style slang | options 3 | SEL
en|Nah, why didn't he get the cafe ... the postcard for him? Lowkey lazy idea.|to mail|mail|mailing
de|Nee, warum hat er die Postkarte nicht vom Café ... lassen? Irgendwie faule Idee.|abschicken|abschicken|abschicken
ua|Та ні, чому він не попросив кафе ... листівку за нього? Трохи лінива ідея.|відправити|відправити|відправлення
es|Qué va, ¿por qué él no le pidió a la cafetería que ... la postal? Idea medio vaga.|enviara|enviara|enviando
fr|Nan, pourquoi il n'a pas fait ... la carte postale par le café ? Idée un peu flemmarde.|envoyer|envoyer|envoyant
tr|Yok ya, o neden kartpostalı kafeye ...? Biraz tembel fikir.|postalatmadı|postalatmadı|postalatmadı
hu|Á, ő miért nem ... fel a képeslapot a kávézóval? Kicsit lusta ötlet.|adatta|adatta|adatta
MEDIA 5170 | meaning: a wrapped container you send or give
E 41333 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If the resident is not at home, the postman ... the package with a neighbour.|will leave|would leave|left
de|Wenn der Bewohner nicht zu Hause ist, ... der Postbote das Paket bei einem Nachbarn.|lässt|würde lassen|ließ
ua|Якщо мешканця немає вдома, листоноша ... посилку в сусіда.|залишить|залишив би|залишив
es|Si el residente no está en casa, el cartero ... el paquete con un vecino.|dejará|dejaría|dejó
fr|Si l'habitant n'est pas chez lui, le facteur ... le colis chez un voisin.|laissera|laisserait|a laissé
tr|Ev sahibi evde değilse, postacı paketi bir komşuya ...|bırakacak|bırakırdı|bıraktı
hu|Ha a lakó nincs otthon, a postás ... a csomagot egy szomszédnál.|hagyja|hagyná|hagyta
E 41343 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|Disaster! He ... on the door for ten minutes, and the package is still in his hands!|has been knocking|is knocking|knocks
de|Katastrophe! Er ... seit zehn Minuten an die Tür, und das Paket ist immer noch in seinen Händen!|klopft|klopft|klopft
ua|Катастрофа! Він ... у двері вже десять хвилин, а посилка досі в нього в руках!|стукає|стукає|стукає
es|¡Desastre! ¡Él ... a la puerta diez minutos y el paquete sigue en sus manos!|lleva llamando|está llamando|llama
fr|Catastrophe ! Il ... à la porte depuis dix minutes, et le colis est toujours dans ses mains !|frappe|frappe|frappe
tr|Felaket! O on dakikadır kapıyı ... ve paket hâlâ elinde!|çalıyor|çalıyor|çalar
hu|Katasztrófa! Ő tíz perce ... az ajtón, és a csomag még mindig a kezében van!|kopog|kopog|kopog
MEDIA 5172 | meaning: to hit something hard and violently
E 37072 | B1 type 42 Passive or Active | style nerd | options 3 | SEL
en|The dough ... repeatedly with a heavy rubber mallet, as observed on the floured table.|was banged|banged|banging
de|Der Teig ... wiederholt mit einem schweren Gummihammer geschlagen, wie auf dem bemehlten Tisch beobachtet.|wurde|schlug|schlagend
ua|Тісто ... раз у раз важким гумовим молотком, як було помічено на присипаному борошном столі.|відбивали|відбивало|відбиваючи
es|La masa ... repetidamente con un pesado mazo de goma, según se observó en la mesa enharinada.|fue golpeada|golpeó|golpeando
fr|La pâte ... à plusieurs reprises avec un lourd maillet en caoutchouc, comme observé sur la table farinée.|a été frappée|a frappé|frappant
tr|Unlu masada gözlemlendiği gibi, hamur ağır bir lastik tokmakla defalarca ...|dövüldü|dövdü|dövme
hu|A tésztát többször ... egy nehéz gumikalapáccsal, ahogy a lisztes asztalon megfigyelték.|megütötték|ütötte|ütve
E 37078 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|At the moment, the woman ... the drum hard with her palms.|is banging|bangs|has banged
de|Im Moment ... die Frau mit den Handflächen kräftig auf die Trommel.|schlägt|schlägt|hat geschlagen
ua|Зараз жінка щосили ... долонями по барабану.|б'є|б'є|вдарила
es|En este momento, la mujer ... el tambor con fuerza con las palmas.|está golpeando|golpea|ha golpeado
fr|En ce moment, la femme ... fort sur le tambour avec ses paumes.|tape|tape|a tapé
tr|Şu anda kadın avuçlarıyla davula sertçe ...|vuruyor|vurur|vurdu
hu|Épp most a nő erősen ... a dobot a tenyerével.|üti|üti|ütötte
MEDIA 5174 | meaning: bright and happy in a way that lifts your mood
E 37763 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If she pours one more glass that way, the table ... even more cheerful.|will get|would get|got
de|Wenn sie noch ein Glas so einschenkt, ... der Tisch noch fröhlicher.|wird|würde|wurde
ua|Якщо вона наллє ще одну склянку так, за столом ... ще веселіше.|стане|стало б|стало
es|Si ella sirve un vaso más así, la mesa ... aún más alegre.|se pondrá|se pondría|se puso
fr|Si elle verse un verre de plus comme ça, la tablée ... encore plus joyeuse.|deviendra|deviendrait|est devenue
tr|O bir bardak daha böyle doldurursa, masa daha da neşeli ...|olacak|olurdu|oldu
hu|Ha ő még egy poharat így tölt, az asztal még vidámabb ...|lesz|lenne|lett
MEDIA 5175 | meaning: the hair a man grows on his upper lip
E 41137 | B1 type 35 Past Perfect Simple | style dramatic | options 3 | SEL
en|By the time he lowered the pot, everyone staring at his moustache ... completely silent!|had gone|has gone|goes
de|Als er die Kanne senkte, ... alle, die auf seinen Schnurrbart starrten, völlig verstummt!|waren|sind|werden
ua|Коли він опустив чайник, усі, хто витріщався на його вуса, ... зовсім!|замовкли|замовкли|замовкають
es|¡Para cuando él bajó la tetera, todos los que miraban su bigote ... completamente callados!|se habían quedado|se han quedado|se quedan
fr|Quand il a baissé la théière, tous ceux qui fixaient sa moustache ... complètement silencieux !|étaient devenus|sont devenus|deviennent
tr|O demliği indirdiğinde, bıyığına bakan herkes tamamen ...!|susmuştu|sustu|susuyor
hu|Mire ő leengedte a kannát, mindenki, aki a bajuszát bámulta, teljesen ...!|elhallgatott|elhallgatott|elhallgat
E 41143 | B2 type 66 All Past Tenses | style flirt | options 3 | SEL
en|Respect: you ... that pour for years before tonight, and not one drop hit the moustache.|had been practising|have been practising|were practising
de|Respekt: Du ... diesen Guss schon jahrelang vor heute Abend geübt, und kein einziger Tropfen hat den Schnurrbart getroffen.|hattest|hast|warst
ua|Респект: ти ... це наливання роками до сьогоднішнього вечора, і жодна крапля не влучила у вуса.|тренував|тренуєш|тренував
es|Respeto: tú ... ese vertido durante años antes de esta noche, y ni una gota tocó el bigote.|habías estado practicando|has estado practicando|estabas practicando
fr|Respect : tu ... ce versement pendant des années avant ce soir, et pas une goutte n'a touché la moustache.|avais pratiqué|as pratiqué|pratiquais
tr|Saygılar: sen bu akşamdan önce yıllarca o dökmeyi ... ve tek bir damla bıyığa değmedi.|çalışmıştın|çalışıyorsun|çalışıyordun
hu|Respekt: te évekig ... ezt a töltést a ma este előtt, és egyetlen csepp sem ment a bajuszra.|gyakoroltad|gyakorlod|gyakoroltad
MEDIA 5178 | meaning: a piece of cloth worn wrapped around the head
E 39952 | B1 type 43 Modal verbs Probability | style slang | options 3 | SEL
en|Bro, she's wearing a headscarf right next to a hot oven, she ... be kinda warm.|must|can't|mustn't
de|Bro, sie trägt ein Kopftuch direkt neben einem heißen Ofen, ihr ... ziemlich warm sein.|muss|kann nicht|darf nicht
ua|Бро, вона в хустці прямо біля гарячої духовки, їй ... досить жарко.|мабуть|не може бути|не мусить бути
es|Bro, ella lleva un pañuelo justo al lado de un horno caliente, ... tener bastante calor.|debe de|no puede|no debe
fr|Frérot, elle porte un foulard juste à côté d'un four chaud, elle ... avoir assez chaud.|doit|ne peut pas|ne doit pas
tr|Kanka, o sıcak bir fırının hemen yanında başörtüsü takıyor, epey sıcaklamış ...|olmalı|olamaz|olmamalı
hu|Tesó, ő fejkendőt visel egy forró sütő mellett, ... elég melege van.|biztos|nem lehet|nem szabad
E 39960 | B2 type 51 Future Perfect Simple | style dramatic | options 3 | SEL
en|By 5 p.m., she ... every single cookie, and that headscarf will smell of it forever!|will have baked|will bake|will be baking
de|Bis 17 Uhr ... sie jeden einzelnen Keks gebacken haben, und das Kopftuch wird für immer danach riechen!|wird|wird|wird gerade
ua|До 17:00 вона ... кожне печиво, і та хустка пахнутиме ним назавжди!|спече|спече|пектиме
es|¡Para las 5 de la tarde, ella ... cada galleta, y ese pañuelo olerá a ellas para siempre!|habrá horneado|horneará|estará horneando
fr|D'ici 17 h, elle ... chaque cookie, et ce foulard en gardera l'odeur pour toujours !|aura cuit|cuira|sera en train de cuire
tr|Saat 17'ye kadar o her bir kurabiyeyi ... ve o başörtüsü sonsuza dek onun gibi kokacak!|pişirmiş olacak|pişirecek|pişiriyor olacak
hu|Délután 5-re ő ... minden egyes kekszet, és az a fejkendő örökre keksz illatú lesz!|megsüti|meg fogja sütni|sütni fogja
MEDIA 5179 | meaning: to move your arm forward to touch something
E 42095 | B2 type 52 Future Perfect Continuous | style slang | options 3 | SEL
en|Bro, by 6 p.m. she ... into that hot oven for two hours straight, no cap.|will have been reaching|will be reaching|will reach
de|Bro, bis 18 Uhr ... sie zwei Stunden am Stück in diesen heißen Ofen gegriffen haben, ohne Witz.|wird|wird|wird
ua|Бро, до 18:00 вона ... до тієї гарячої духовки вже дві години поспіль, без жартів.|тягтиметься|тягтиметься|потягнеться
es|Bro, para las 6 de la tarde, ella ... dentro de ese horno caliente dos horas seguidas, sin mentir.|habrá estado metiendo la mano|estará metiendo la mano|meterá la mano
fr|Frérot, à 18 h, ça fera deux heures d'affilée qu'elle ... dans ce four chaud, sans mentir.|plonge la main|plongera la main|plongera la main
tr|Kanka, saat 18'e kadar o iki saattir aralıksız o sıcak fırına ...|uzanıyor olacak|uzanıyor olacak|uzanacak
hu|Tesó, este 6-ra ő már két órája ... abba a forró sütőbe, komolyan.|nyúlkál|nyúlkálni fog|nyúl be
MEDIA 5181 | meaning: your name written in your own handwriting
E 43034 | B1 type 45 Reported speech | style clueless | options 3 | SEL
en|She said she ... her signature herself because it was her own name.|had written|has written|writes
de|Sie sagte, sie ... ihre Unterschrift selbst geschrieben, weil es ihr eigener Name war.|habe|hat|schreibt
ua|Вона сказала, що ... свій підпис сама, бо це було її власне ім'я.|написала|написала|пише
es|Ella dijo que ... su firma ella misma porque era su propio nombre.|había escrito|ha escrito|escribe
fr|Elle a dit qu'elle ... sa signature elle-même parce que c'était son propre nom.|avait écrit|a écrit|écrit
tr|O, imzasını kendisinin ... söyledi çünkü bu kendi adıydı.|attığını|attığını|attığını
hu|Ő azt mondta, hogy maga ... az aláírását, mert az a saját neve volt.|írta|írta|írja
MEDIA 5182 | meaning: the action of finishing something difficult
E 36563 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|She told a passer-by that she ... the mural the week before, her biggest achievement.|had started|has started|starts
de|Sie erzählte einem Passanten, dass sie das Wandbild in der Woche davor begonnen ..., ihre größte Leistung.|hatte|hat|beginnt
ua|Вона сказала перехожому, що ... настінний розпис тижнем раніше, її найбільше досягнення.|почала|почала|починає
es|Ella le dijo a un transeúnte que ... el mural la semana anterior, su mayor logro.|había empezado|ha empezado|empieza
fr|Elle a dit à un passant qu'elle ... la fresque la semaine d'avant, sa plus grande réussite.|avait commencé|a commencé|commence
tr|O, bir yoldan geçene duvar resmine bir hafta önce ... söyledi; en büyük başarısı.|başladığını|başladığını|başladığını
hu|Ő elmondta egy járókelőnek, hogy az előző héten ... a falfestményt, a legnagyobb eredményét.|kezdte el|kezdte el|kezdi el
E 36568 | B2 type 50 Past Perfect Continuous | style slang | options 3 | SEL
en|Bro, she ... on that wall all week, so that mural was a massive achievement, fr.|had been painting|has been painting|was painting
de|Bro, sie ... die ganze Woche an dieser Wand gemalt, also war das Wandbild eine riesige Leistung, echt.|hatte|hat|war
ua|Бро, вона ... на тій стіні цілий тиждень, тож той розпис був величезним досягненням, чесно.|малювала|малює|малювала
es|Bro, ella ... en esa pared toda la semana, así que ese mural fue un logro enorme, en serio.|había estado pintando|ha estado pintando|estaba pintando
fr|Frérot, elle ... sur ce mur toute la semaine, donc cette fresque était une énorme réussite, sérieux.|avait peint|a peint|peignait
tr|Kanka, o bütün hafta o duvarda resim ..., yani o duvar resmi dev bir başarıydı, cidden.|yapmıştı|yapıyor|yapıyordu
hu|Tesó, ő egész héten ... azon a falon, szóval az a falfestmény óriási eredmény volt, komolyan.|festett|fest|festett
MEDIA 5183 | meaning: showing very strong emotions
E 41440 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By the end of the lecture, the passionate professor ... the whole blackboard with arrows.|will have covered|will cover|covers
de|Bis zum Ende der Vorlesung ... der leidenschaftliche Professor die ganze Tafel mit Pfeilen vollgeschrieben haben.|wird|wird|schreibt
ua|До кінця лекції пристрасний професор ... всю дошку стрілками.|вкриє|вкриватиме|вкриває
es|Para el final de la clase, el apasionado profesor ... toda la pizarra de flechas.|habrá llenado|llenará|llena
fr|D'ici la fin du cours, le professeur passionné ... tout le tableau de flèches.|aura couvert|couvrira|couvre
tr|Dersin sonuna kadar tutkulu profesör bütün tahtayı oklarla ...|doldurmuş olacak|dolduracak|dolduruyor
hu|Az előadás végére a szenvedélyes professzor ... az egész táblát nyilakkal.|teleírja|tele fogja írni|írja tele
MEDIA 5184 | meaning: showing or stirring love and romance
E 42450 | B1 type 36 Future Continuous | style nerd | options 3 | SEL
en|At this time tomorrow, the pair ... the romantic news, as couples typically do.|will be celebrating|will celebrate|celebrate
de|Morgen um diese Zeit ... das Paar die romantische Neuigkeit feiern, wie Paare es typischerweise tun.|wird|wird|feiern
ua|Завтра в цей час пара ... романтичну новину, як зазвичай роблять пари.|святкуватиме|відсвяткує|святкують
es|Mañana a esta hora, la pareja ... la noticia romántica, como suelen hacer las parejas.|estará celebrando|celebrará|celebran
fr|Demain à cette heure-ci, le couple ... la nouvelle romantique, comme le font généralement les couples.|sera en train de fêter|fêtera|fêtent
tr|Yarın bu saatte çift, çiftlerin genelde yaptığı gibi romantik haberi ...|kutluyor olacak|kutlayacak|kutlarlar
hu|Holnap ilyenkor a pár ... a romantikus hírt, ahogy a párok általában teszik.|ünnepelni fogja|megünnepli|ünneplik
E 42454 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Right now, the crowd ... as the romantic couple hugs on the bridge.|is clapping|claps|has clapped
de|Gerade ... die Menge, während sich das romantische Paar auf der Brücke umarmt.|klatscht|klatscht|hat geklatscht
ua|Просто зараз натовп ..., поки романтична пара обіймається на мосту.|аплодує|аплодує|зааплодував
es|Ahora mismo, la multitud ... mientras la pareja romántica se abraza en el puente.|está aplaudiendo|aplaude|ha aplaudido
fr|En ce moment, la foule ... pendant que le couple romantique s'enlace sur le pont.|applaudit|applaudit|a applaudi
tr|Şu anda romantik çift köprüde sarılırken kalabalık ...|alkışlıyor|alkışlar|alkışladı
hu|Épp most a tömeg ..., miközben a romantikus pár ölelkezik a hídon.|tapsol|tapsol|tapsolt
MEDIA 5185 | meaning: being considerate and sympathetic to others
E 40373 | B1 type 31 Past Continuous | style slang | options 3 | SEL
en|Bro, it ... when that stranger showed the old man some real kindness, no cap.|was pouring|poured|has poured
de|Bro, es ... in Strömen, als dieser Fremde dem alten Mann echte Freundlichkeit zeigte, ohne Witz.|goss|goss|hat gegossen
ua|Бро, ... як з відра, коли той незнайомець проявив до старого справжню доброту, без жартів.|лило|лило|лило
es|Bro, ... a cántaros cuando ese desconocido mostró verdadera amabilidad al anciano, sin mentir.|estaba lloviendo|llovió|ha llovido
fr|Frérot, il ... des cordes quand cet inconnu a montré une vraie gentillesse au vieil homme, sans mentir.|pleuvait|a plu|a plu
tr|Kanka, o yabancı yaşlı adama gerçek bir iyilik gösterdiğinde bardaktan boşanırcasına yağmur ..., yalan yok.|yağıyordu|yağdı|yağdı
hu|Tesó, ... az eső, amikor az az idegen igazi kedvességet mutatott az öregúrnak, komolyan.|zuhogott|zuhogott|zuhogott
E 40380 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|... of the stranger with the yellow umbrella made the old man smile.|The kindness|A kindness|Kindness
de|... des Fremden mit dem gelben Regenschirm brachte den alten Mann zum Lächeln.|Die Freundlichkeit|Eine Freundlichkeit|Freundlichkeit
ua|... незнайомця з жовтою парасолькою змусила старого усміхнутися.|Доброта|Доброта|Доброта
es|... del desconocido del paraguas amarillo hizo sonreír al anciano.|La amabilidad|Una amabilidad|Amabilidad
fr|... de l'inconnu au parapluie jaune a fait sourire le vieil homme.|La gentillesse|Une gentillesse|Gentillesse
tr|Sarı şemsiyeli yabancının ... yaşlı adamı gülümsetti.|iyiliği|bir iyiliği|iyiliği
hu|A sárga esernyős idegen ... megmosolyogtatta az öregurat.|kedvessége|egy kedvessége|kedvessége
MEDIA 5187 | meaning: a wheeled vehicle pulled by a tractor or animal
E 44590 | B1 type 48 Question tags | style gossip | options 3 | SEL
en|Wait, I heard he pulled that wagon all the way here, ...?|didn't he?|wasn't he?|doesn't he?
de|Warte, ich hab gehört, er hat den Wagen bis hierher gezogen, ...?|oder|nicht wahr|oder
ua|Стривай, я чула, що він дотягнув той віз аж сюди, ...?|так|правда|так
es|Espera, yo oí que arrastró ese carro hasta aquí, ¿...?|verdad|no|verdad
fr|Attends, j'ai entendu qu'il a tiré ce chariot jusqu'ici, ... ?|non|hein|non
tr|Dur, ben duydum ki o arabayı buraya kadar çekmiş, ...?|değil mi|değil mi|değil mi
hu|Várj, én úgy hallottam, hogy idáig húzta azt a kocsit, ...?|ugye|nem|ugye
MEDIA 5188 | meaning: the feeling when your expectations are not met
E 38643 | B2 type 59 Causative HAVE/GET | style gossip | options 3 | SEL
en|Bestie, apparently he had his friend ... up with the net, and the disappointment was real.|run|to run|ran
de|Bestie, angeblich ließ er seinen Freund mit dem Kescher ..., und die Enttäuschung war echt.|herlaufen|herlaufen|lief her
ua|Подруго, кажуть, він змусив друга ... із сачком, і розчарування було справжнє.|прибігти|прибігти|прибіг
es|Amiga, al parecer él hizo que su amigo ... con la red, y la decepción fue real.|viniera corriendo|viniera corriendo|vino corriendo
fr|Bestie, apparemment il a fait ... son ami avec l'épuisette, et la déception était réelle.|accourir|accourir|accourait
tr|Kanka, anlaşılan o arkadaşını kepçeyle ..., ve hayal kırıklığı gerçekti.|koşturttu|koşturttu|koşturttu
hu|Csajszi, állítólag ő ... a barátját a merítőhálóval, és a csalódás valódi volt.|odafuttatta|odafuttatta|odafutott
MEDIA 5192 | meaning: the line where the sky and the earth seem to meet
E 40113 | B1 type 47 Gerund vs Infinitive | style flirt | options 3 | SEL
en|You keep ... that rope with the whole horizon behind you. Honestly, respect.|pulling|to pull|pull
de|Du ... weiter an diesem Seil, mit dem ganzen Horizont hinter dir. Ehrlich, Respekt.|ziehst|ziehst|ziehst
ua|Ти все ... ту мотузку, а позаду тебе весь горизонт. Чесно, респект.|тягнеш|тягнути|тягнеш
es|Tú sigues ... esa cuerda con todo el horizonte detrás de ti. De verdad, respeto.|tirando de|tirar de|tirar de
fr|Tu continues à ... cette corde avec tout l'horizon derrière toi. Franchement, respect.|tirer|tirer|tirer
tr|Sen arkanda koca ufukla o ipi ... duruyorsun. Açıkçası, saygılar.|çekip|çekmek|çek
hu|Te csak ... azt a kötelet, mögötted az egész horizonttal. Őszintén, respekt.|húzod|húzni|húzd
E 40114 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|Not ideal: the team ... here for an hour and the horizon still looks exactly the same.|has been standing|is standing|stands
de|Nicht ideal: Das Team ... seit einer Stunde hier, und der Horizont sieht immer noch genau gleich aus.|steht|steht|steht
ua|Не ідеально: команда ... тут уже годину, а горизонт досі виглядає так само.|стоїть|стоїть|стоїть
es|No es lo ideal: el equipo ... aquí una hora y el horizonte sigue exactamente igual.|lleva|está|está
fr|Pas idéal : l'équipe ... ici depuis une heure et l'horizon a toujours exactement le même aspect.|se tient|se tient|se tient
tr|Pek ideal değil: ekip bir saattir burada ... ve ufuk hâlâ tamamen aynı görünüyor.|duruyor|duruyor|durur
hu|Nem ideális: a csapat egy órája ... itt, és a horizont még mindig pontosan ugyanúgy néz ki.|áll|áll|áll
MEDIA 5193 | meaning: red itchy spots on the skin
E 42083 | B1 type 48 Question tags | style chill | options 3 | SEL
en|The cream on her rash stings, ...?|doesn't it?|isn't it?|does it?
de|Die Creme auf ihrem Ausschlag brennt, ...?|oder|nicht wahr|was
ua|Крем на її висипі пече, ...?|так|правда|пече
es|La crema en su sarpullido escuece, ¿...?|verdad|no|sí
fr|La crème sur son éruption pique, ... ?|non|hein|si
tr|Kızarıklığındaki krem yakıyor, ...?|değil mi|değil mi|öyle mi
hu|A krém a kiütésén csíp, ...?|ugye|nem|igen
E 42090 | B2 type 60 Wish clauses | style ironic | options 3 | SEL
en|She wishes she ... gloves this morning; the rash is only slightly annoying.|had worn|wore|would wear
de|Sie wünschte, sie ... heute Morgen Handschuhe getragen; der Ausschlag ist nur ein kleines bisschen nervig.|hätte|trug|würde
ua|Вона хотіла б, щоб зранку ... рукавички; висип лише трішки дратує.|вдягла|вдягала|вдягне
es|Ella desearía ... guantes esta mañana; el sarpullido solo es un poquito molesto.|haber llevado|llevar|llevar
fr|Elle aimerait ... des gants ce matin ; l'éruption n'est que légèrement agaçante.|avoir mis|mettre|mettre
tr|O bu sabah eldiven ... keşke diyor; kızarıklık sadece birazcık can sıkıcı.|takmış olsaydı|taksaydı|takacak olsa
hu|Ő azt kívánja, bárcsak ma reggel ... kesztyűt; a kiütés csak egy kicsit bosszantó.|vett volna fel|venne fel|venne fel
MEDIA 5196 | meaning: hair twisted into a round knot on the head
E 37417 | B1 type 42 Passive or Active | style chill | options 3 | SEL
