MEDIA 5374 | meaning: not deep, lacking much depth
E 42823 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
ua|Офіціант ... у формальну уніформу з чорним метеликом.|одягнений|одягається|одягаючись
es|El camarero ... con un uniforme formal y una pajarita negra.|va vestido|se viste|vistiéndose
fr|Le serveur ... d'un uniforme formel avec un nœud papillon noir.|est vêtu|se vêt|se vêtant
tr|Garson siyah papyonlu resmî bir üniforma ...|giymiş|giyiyor|giyerek
hu|A pincér hivatalos egyenruhába ... fekete csokornyakkendővel.|van öltözve|öltözik|öltözve
MEDIA 5469 | meaning: a person who travels on foot
E 44626 | B1 type 38 0 Conditional | style dramatic | options 3 | SEL
en|If a walker forgets her poles, the whole walk ... a total disaster!|becomes|will become|became
de|Wenn eine Walkerin ihre Stöcke vergisst, ... der ganze Spaziergang zur totalen Katastrophe!|wird|wird|wurde
ua|Якщо ходачка забуває палиці, уся прогулянка ... повною катастрофою!|стає|стане|стала
es|¡Si una caminante olvida sus bastones, todo el paseo ... un desastre total!|se convierte en|se convertirá en|se convirtió en
fr|Si une marcheuse oublie ses bâtons, toute la promenade ... un désastre total !|devient|deviendra|est devenue
tr|Bir yürüyüşçü batonlarını unutursa bütün yürüyüş tam bir felakete ...!|döner|dönecek|döndü
hu|Ha egy gyalogló otthon felejti a botjait, az egész séta totális katasztrófává ...!|válik|fog válni|vált
E 44628 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|The walker ... two poles, one in each hand, on every walk.|uses|is using|has used
de|Die Walkerin ... bei jedem Spaziergang zwei Stöcke, einen in jeder Hand.|benutzt|benutzt|hat benutzt
ua|Ходачка ... на кожній прогулянці дві палиці, по одній у кожній руці.|використовує|використовує|використала
es|La caminante ... dos bastones, uno en cada mano, en cada paseo.|usa|está usando|ha usado
fr|La marcheuse ... deux bâtons, un dans chaque main, à chaque promenade.|utilise|utilise|a utilisé
tr|Yürüyüşçü her yürüyüşte her elde bir tane olmak üzere iki baton ...|kullanır|kullanıyor|kullandı
hu|A gyalogló minden sétán két botot ..., mindkét kezében egyet.|használ|használ|használt
MEDIA 5470 | meaning: the central business area of a town or city
E 38791 | B1 type 40 2. Conditional | style dramatic | options 3 | SEL
en|If the hiker ever came downtown, he ... in absolute terror!|would panic|will panic|panicked
de|Wenn der Wanderer jemals in die Innenstadt käme, ... er vor lauter Angst in Panik!|geriete|gerät|geriet
ua|Якби турист колись приїхав у центр, він ... в абсолютному жаху!|запанікував би|запанікує|запанікував
es|¡Si el excursionista alguna vez viniera al centro, él ... presa del terror absoluto!|entraría en pánico|entrará en pánico|entró en pánico
fr|Si le randonneur venait un jour en centre-ville, il ... dans une terreur absolue !|paniquerait|paniquera|a paniqué
tr|Yürüyüşçü bir gün şehir merkezine gelse, o büyük bir dehşetle ...!|paniğe kapılırdı|paniğe kapılacak|paniğe kapıldı
hu|Ha a túrázó valaha bejönne a belvárosba, ő teljes rémületben ...!|pánikba esne|pánikba fog esni|pánikba esett
E 38795 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|At six o'clock tomorrow, crowds ... the big crossing downtown.|will be crossing|will have crossed|cross
de|Morgen um sechs ... Menschenmassen die große Kreuzung in der Innenstadt.|überqueren|überqueren|überqueren
ua|Завтра о шостій натовпи ... велике перехрестя в центрі.|переходитимуть|перейдуть|переходять
es|Mañana a las seis, las multitudes ... el gran cruce del centro.|estarán cruzando|habrán cruzado|cruzan
fr|Demain à six heures, les foules ... le grand carrefour du centre-ville.|seront en train de traverser|auront traversé|traversent
tr|Yarın saat altıda kalabalıklar şehir merkezindeki büyük geçidi ...|geçiyor olacak|geçmiş olacak|geçiyor
hu|Holnap hatkor tömegek ... a belvárosi nagy kereszteződésen.|fognak átkelni|már átkeltek|kelnek át
MEDIA 5471 | meaning: flat, with no part higher or lower
E 40592 | B1 type 44 Relative clauses | style flirt | options 3 | SEL
en|Honestly, the frame ... you made level looks really classy.|which|who|whose
de|Ehrlich, der Rahmen, ... du gerade ausgerichtet hast, sieht richtig edel aus.|den|wer|dessen
ua|Чесно, рамка, ... ти вирівняв, виглядає дуже стильно.|яку|хто|чию
es|Sinceramente, el marco ... tú nivelaste queda muy elegante.|que|quien|cuyo
fr|Franchement, le cadre ... tu as mis de niveau a vraiment la classe.|que|qui|dont
tr|Açıkçası ... senin düzelttiğin çerçeve çok şık duruyor.|||
hu|Őszintén, a keret, ... te vízszintbe tettél, nagyon elegáns.|amelyet|aki|amelynek
E 40596 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|Right now he ... the spirit level on the frame to see if it is level.|is placing|places|has placed
de|Gerade ... er die Wasserwaage auf den Rahmen, um zu sehen, ob er gerade ist.|legt|legt|hat gelegt
ua|Просто зараз він ... рівень на рамку, щоб перевірити, чи вона рівна.|кладе|кладе|поклав
es|Ahora mismo él ... el nivel sobre el marco para ver si está recto.|está colocando|coloca|ha colocado
fr|En ce moment, il ... le niveau à bulle sur le cadre pour voir s'il est droit.|pose|pose|a posé
tr|Şu anda o, düz olup olmadığını görmek için su terazisini çerçevenin üstüne ...|koyuyor|koyar|koydu
hu|Épp most ő ... a vízmértéket a keretre, hogy lássa, egyenes-e.|teszi|teszi|tette
MEDIA 5472 | meaning: a piece of paper money from a bank
E 37166 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The bills ... out of the open wallet onto the counter.|slide|are slid|sliding
de|Die Scheine ... aus dem offenen Portemonnaie auf die Theke.|rutschen|werden geschoben|rutschend
ua|Купюри ... з відкритого гаманця на прилавок.|вислизають|висуваються|вислизаючи
es|Los billetes ... de la cartera abierta al mostrador.|se deslizan|son deslizados|deslizándose
fr|Les billets ... du portefeuille ouvert sur le comptoir.|glissent|sont glissés|glissant
tr|Banknotlar açık cüzdandan tezgâha ...|kayıyor|kaydırılıyor|kayarak
hu|A bankjegyek ... a nyitott pénztárcából a pultra.|kicsúsznak|ki vannak csúsztatva|kicsúszva
MEDIA 5473 | meaning: having a lot of money and valuable things
E 44690 | B1 type 43 Modal verbs Probability | style ironic | options 3 | SEL
en|His wallet is empty, so he ... be very wealthy. What a surprise.|can't|must|should
de|Sein Portemonnaie ist leer, also ... er nicht sehr reich sein. Was für eine Überraschung.|kann|muss|sollte
ua|Його гаманець порожній, тож він ... бути дуже багатим. Який сюрприз.|не може|мусить|мав би
es|Su cartera está vacía, así que él ... ser muy rico. Qué sorpresa.|no puede|debe de|debería
fr|Son portefeuille est vide, donc il ... être très riche. Quelle surprise.|ne peut pas|doit|devrait
tr|Cüzdanı boş, yani o çok zengin ...; ne sürpriz.|olamaz|olmalı|olmalı
hu|A pénztárcája üres, szóval ő ... nagyon gazdag. Micsoda meglepetés.|biztosan nem|biztosan|elvileg
E 44697 | B2 type 50 Past Perfect Continuous | style flirt | options 3 | SEL
en|Not gonna lie, you ... your wallet for ages before you grinned like a wealthy man.|had been searching|have been searching|were searching
de|Ich lüg nicht, du ... ewig dein Portemonnaie, bevor du wie ein reicher Mann gegrinst hast.|durchsuchtest|durchsuchst|durchsuchtest
ua|Не брехатиму, ти ... свій гаманець цілу вічність, перш ніж усміхнувся, як багатій.|обшукував|обшукуєш|обшукував
es|No voy a mentir, tú ... en tu cartera una eternidad antes de sonreír como un hombre rico.|habías estado buscando|has estado buscando|estabas buscando
fr|Je vais pas mentir, tu ... ton portefeuille pendant une éternité avant de sourire comme un homme riche.|avais fouillé|as fouillé|fouillais
tr|Yalan yok, sen zengin bir adam gibi sırıtmadan önce cüzdanını uzun süre ...|karıştırmıştın|karıştırıyorsun|karıştırıyordun
hu|Nem hazudok, te egy örökkévalóságig ... a pénztárcádban, mielőtt úgy vigyorogtál, mint egy gazdag ember.|kutattál|kutatsz|kutattál
MEDIA 5475 | meaning: an armored military vehicle
E 43930 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The tank ... slowly through the smoke behind the running soldiers.|rolls|is rolled|rolling
de|Der Panzer ... langsam durch den Rauch hinter den rennenden Soldaten.|rollt|wird gerollt|rollend
ua|Танк повільно ... крізь дим позаду солдатів, що біжать.|котиться|котиться|котячись
es|El tanque ... lentamente entre el humo detrás de los soldados que corren.|rueda|es rodado|rodando
fr|Le char ... lentement dans la fumée derrière les soldats qui courent.|roule|est roulé|roulant
tr|Tank koşan askerlerin arkasında dumanın içinden yavaşça ...|ilerliyor|ilerletiliyor|ilerleyerek
hu|A tank lassan ... a füstön át a futó katonák mögött.|gördül|gördítik|gördülve
MEDIA 5477 | meaning: a strong defensive structure
E 39572 | B1 type 37 Future Simple or Continuos | style clueless | options 3 | SEL
en|I think the snow fort ... in spring, because it is made of snow.|will melt|will be melting|is melting
de|Ich glaube, die Schneeburg ... im Frühling, weil sie aus Schnee ist.|schmilzt|schmilzt|schmilzt
ua|Я думаю, що снігова фортеця навесні ..., бо вона зі снігу.|розтане|танутиме|тане
es|Yo creo que el fuerte de nieve ... en primavera, porque está hecho de nieve.|se derretirá|se estará derritiendo|se está derritiendo
fr|Je pense que le fort de neige ... au printemps, parce qu'il est fait de neige.|fondra|sera en train de fondre|fond
tr|Bence kardan kale baharda ..., çünkü kardan yapılmış.|eriyecek|eriyor olacak|eriyor
hu|Szerintem a hóvár tavasszal ..., mert hóból van.|elolvad|olvadni fog|olvad
E 39578 | B2 type 56 Reported speech | style ironic | options 3 | SEL
en|Obviously a peaceful afternoon: the red team denied ... the snowball war from their fort.|starting|to start|started
de|Offensichtlich ein friedlicher Nachmittag: Das rote Team bestritt, den Schneeballkrieg von seiner Burg aus ...|begonnen zu haben|zu beginnen|begonnen
ua|Очевидно, мирний день: червона команда заперечила, що ... снігову війну зі своєї фортеці.|почала|почне|почала
es|Obviamente una tarde tranquila: el equipo rojo negó ... la guerra de bolas de nieve desde su fuerte.|haber empezado|empezar|empezó
fr|Évidemment un après-midi paisible : l'équipe rouge a nié ... la bataille de boules de neige depuis son fort.|avoir lancé|lancer|a lancé
tr|Belli ki huzurlu bir öğleden sonra: kırmızı takım kartopu savaşını kalesinden ... inkâr etti.|başlattığını|başlatmayı|başlattı
hu|Nyilvánvalóan békés délután: a piros csapat tagadta, hogy ... a hógolyócsatát a várából.|elkezdte|elkezdeni|elkezdte
MEDIA 5478 | meaning: objects of all kinds, not named
E 43740 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|So much stuff falls out of her wardrobe, so she ... be very tidy.|can't|must|should
de|So viel Zeug fällt aus ihrem Schrank, also ... sie nicht sehr ordentlich sein.|kann|muss|sollte
ua|Стільки речей випадає з її шафи, тож вона ... бути дуже охайною.|не може|мусить|мала б
es|Se caen tantas cosas de su armario, así que ella ... ser muy ordenada.|no puede|debe de|debería
fr|Tellement de trucs tombent de son armoire, donc elle ... être très ordonnée.|ne peut pas|doit|devrait
tr|Dolabından o kadar çok eşya düşüyor ki o çok düzenli ...|olamaz|olmalı|olmalı
hu|Annyi cucc esik ki a szekrényéből, szóval ő ... nagyon rendes.|biztosan nem|biztosan|elvileg
MEDIA 5479 | meaning: a long loose piece of clothing
E 42394 | B2 type 52 Future Perfect Continuous | style chill | options 3 | SEL
en|By noon, she ... around the dressing room in her robe for two hours.|will have been walking|will be walking|will walk
de|Bis Mittag wird sie zwei Stunden lang im Bademantel durch das Ankleidezimmer ...|gelaufen sein|laufen|laufen
ua|До полудня вона вже дві години ... по гардеробній у халаті.|ходитиме|ходитиме|пройде
es|Para el mediodía, ella ... por el vestidor en bata durante dos horas.|habrá estado caminando|estará caminando|caminará
fr|À midi, elle ... dans le dressing en peignoir depuis deux heures.|aura déambulé|sera en train de déambuler|déambulera
tr|Öğlene kadar o, sabahlığıyla giyinme odasında iki saattir ...|dolaşıyor olacak|dolaşıyor olacak|dolaşacak
hu|Délre ő már két órája ... a gardróbszobában a köntösében.|járkál|járkálni fog|járkál majd
MEDIA 5483 | meaning: to examine something closely
E 42607 | B1 type 32 Present Perfect Continuous | style slang | options 3 | SEL
en|Dude, she ... the shore for ten minutes, what's she even lookin' for?|has been scanning|is scanning|scans
de|Alter, sie ... seit zehn Minuten das Ufer ab, was sucht sie überhaupt?|sucht|sucht|sucht
ua|Чувак, вона вже десять хвилин ... берег, що вона взагалі шукає?|розглядає|розглядає|розглядає
es|Tío, ella ... la orilla desde hace diez minutos; ¿qué está buscando siquiera?|ha estado rastreando|está rastreando|rastrea
fr|Mec, elle ... le rivage depuis dix minutes, elle cherche quoi au juste ?|scrute|scrute|scrute
tr|Kanka, o on dakikadır kıyıyı ..., ne arıyor ki?|tarıyor|tarıyor|tarar
hu|Tesó, ő tíz perce ... a partot, mit keres egyáltalán?|pásztázza|pásztázza|pásztázza
E 42616 | B2 type 67 All Future Tenses | style ironic | options 3 | SEL
en|At this rate, she ... the whole stadium by midnight. A quick job, obviously.|will have scanned|will scan|scans
de|Bei dem Tempo wird sie das ganze Stadion bis Mitternacht ...; ein schneller Job, logisch.|abgesucht haben|absuchen|absucht
ua|Такими темпами вона ... весь стадіон до півночі. Швидка робота, очевидно.|обдивиться|оглядатиме|оглядає
es|A este ritmo, ella ... todo el estadio para medianoche. Un trabajo rápido, obviamente.|habrá rastreado|rastreará|rastrea
fr|À ce rythme, elle ... tout le stade d'ici minuit. Un travail rapide, évidemment.|aura scruté|scrutera|scrute
tr|Bu gidişle o gece yarısına kadar bütün stadyumu ...; hızlı bir iş, tabii ki.|taramış olacak|tarayacak|tarıyor
hu|Ilyen tempóban ő éjfélre ... az egész stadiont. Gyors munka, nyilván.|végigpásztázza|végig fogja pásztázni|pásztázza
MEDIA 5484 | meaning: to look at something steadily for a long time
E 39746 | B1 type 33 Past Simple or Continuos | style gossip | options 3 | SEL
en|Listen, I heard they ... at the fireworks until the very last rocket.|gazed|were gazing|have gazed
de|Hör zu, ich hab gehört, sie ... bis zur allerletzten Rakete auf das Feuerwerk.|starrten|starrten|haben gestarrt
ua|Слухай, я чула, що вони ... на феєрверк до останньої ракети.|дивилися|дивилися|дивилися
es|Escucha, oí que ellos ... los fuegos artificiales hasta el último cohete.|contemplaron|estaban contemplando|han contemplado
fr|Écoute, j'ai entendu dire qu'ils ... le feu d'artifice jusqu'à la toute dernière fusée.|ont contemplé|contemplaient|ont contemplé
tr|Dinle, duydum ki onlar en son rokete kadar havai fişeklere ...|bakmışlar|bakıyorlarmış|bakmışlar
hu|Figyelj, azt hallottam, hogy ők az utolsó rakétáig ... a tűzijátékot.|bámulták|bámulták|bámulták
E 39753 | B2 type 63 Advanced linkers | style nerd | options 3 | SEL
en|... the noise, the three individuals continue to gaze at the sky without looking away.|Despite|Owing to|Provided
de|... des Lärms blicken die drei Individuen weiterhin in den Himmel, ohne wegzusehen.|Trotz|Aufgrund|Vorausgesetzt
ua|... шум, троє індивідів продовжують дивитися в небо, не відводячи погляду.|Попри|Через|За умови
es|... el ruido, los tres individuos siguen mirando el cielo sin apartar la vista.|A pesar de|Debido a|Siempre que
fr|... le bruit, les trois individus continuent de fixer le ciel sans détourner le regard.|Malgré|En raison de|Pourvu que
tr|Gürültüye ..., üç birey gözlerini ayırmadan gökyüzüne bakmaya devam ediyor.|rağmen|bağlı olarak|koşuluyla
hu|A zaj ..., a három egyén továbbra is az eget nézi, anélkül hogy elfordítaná a tekintetét.|ellenére|miatt|feltéve
MEDIA 5485 | meaning: a container with a spout for watering plants
E 44649 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The woman ... holds the watering can is smiling at her plants.|who|which|whose
de|Die Frau, ... die Gießkanne hält, lächelt ihre Pflanzen an.|die|welche|deren
ua|Жінка, ... тримає лійку, усміхається своїм рослинам.|яка|яка|чия
es|La mujer ... sostiene la regadera sonríe a sus plantas.|que|la cual|cuya
fr|La femme ... tient l'arrosoir sourit à ses plantes.|qui|laquelle|dont
tr|Sulama kabını ... tutan kadın bitkilerine gülümsüyor.|||
hu|A nő, ... a locsolókannát tartja, mosolyog a növényeire.|aki|amely|akinek
E 44653 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|She waters her plants with the watering can ... on her balcony.|at sunset|at the sunset|in a sunset
de|Sie gießt ihre Pflanzen ... mit der Gießkanne auf ihrem Balkon.|bei Sonnenuntergang|beim Sonnenuntergang|in einem Sonnenuntergang
ua|Вона поливає рослини з лійки ... на своєму балконі.|на заході сонця|на заході сонця|у заході сонця
es|Ella riega sus plantas con la regadera ... en su balcón.|al atardecer|en el atardecer|en un atardecer
fr|Elle arrose ses plantes avec l'arrosoir ... sur son balcon.|au coucher du soleil|au coucher du soleil|dans un coucher de soleil
tr|O, balkonunda bitkilerini sulama kabıyla ... suluyor.|gün batımında|gün batımında|bir gün batımında
hu|Ő ... meglocsolja a növényeit a locsolókannával az erkélyén.|naplementekor|a naplementekor|egy naplementében
MEDIA 5488 | meaning: an expression of goodwill at parting
E 39148 | B1 type 41 Passive | style clueless | options 3 | SEL
en|The farewell ... by the people on the quay, because they were the ones waving.|was given|gave|is giving
de|Der Abschied ... von den Leuten am Kai, weil sie diejenigen waren, die winkten.|wurde gegeben|gab|gibt
ua|Прощання ... людьми на набережній, бо саме вони махали.|було влаштоване|влаштувало|влаштовує
es|La despedida ... por la gente del muelle, porque eran ellos los que saludaban.|fue dada|dio|está dando
fr|L'adieu ... par les gens sur le quai, parce que c'étaient eux qui faisaient signe.|a été fait|a fait|fait
tr|Veda rıhtımdaki insanlar tarafından ..., çünkü el sallayanlar onlardı.|edildi|etti|ediyor
hu|A búcsút a rakparton álló emberek ..., mert ők voltak azok, akik integettek.|intették|intett|inti
E 39153 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Hold on, she told me they ... farewell to this ferry every Sunday.|wave|are waving|have waved
de|Moment, sie hat mir erzählt, dass sie dieser Fähre jeden Sonntag zum Abschied ...|winken|winken|gewinkt haben
ua|Стоп, вона сказала мені, що вони щонеділі ... цьому порому на прощання.|махають|махають|помахали
es|Espera, ella me dijo que ellos ... para despedir a este ferri cada domingo.|saludan|están saludando|han saludado
fr|Attends, elle m'a dit qu'ils ... d'adieu à ce ferry chaque dimanche.|font signe|font signe|ont fait signe
tr|Dur, o bana onların her pazar bu vapura veda için el ... söyledi.|salladıklarını|salladıklarını|salladıklarını
hu|Várj, ő azt mondta nekem, hogy minden vasárnap ... búcsút ennek a kompnak.|intenek|intenek|intettek
MEDIA 5490 | meaning: a plant that crowds out garden plants
E 44713 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If a weed has long roots, it ... hard to pull out.|is|will be|was
de|Wenn ein Unkraut lange Wurzeln hat, ... es schwer herauszuziehen.|ist|wird|war
ua|Якщо бур'ян має довге коріння, його ... важко виривати.||буде|було
es|Si tiene raíces largas, una mala hierba ... difícil de arrancar.|es|será|era
fr|Si une mauvaise herbe a de longues racines, elle ... difficile à arracher.|est|sera|était
tr|Yabani ot uzun köklüyse, onu sökmek zor ...|olur|olacak|oldu
hu|Ha egy gyomnak hosszú a gyökere, nehéz ... kihúzni.||lesz|volt
E 44723 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|He pulled ... weed in the whole bed out of the soil.|the biggest|a biggest|biggest
de|Er zog ... Unkraut im ganzen Beet aus der Erde.|das größte|ein größtes|größtes
ua|Він вирвав із землі ... бур'ян на всій грядці.|найбільший|найбільший|найбільший
es|Él arrancó de la tierra ... mala hierba de todo el bancal.|la mayor|una mayor|mayor
fr|Il a arraché du sol ... mauvaise herbe de tout le carré.|la plus grosse|une plus grosse|plus grosse
tr|O bütün tarhtaki ... yabani otu topraktan söktü.|en büyük|bir en büyük|en büyük
hu|Ő kihúzta a földből ... gyomot az egész ágyásban.|a legnagyobb|egy legnagyobb|legnagyobb
MEDIA 5491 | meaning: received with pleasure
E 44734 | B1 type 42 Passive or Active | style ironic | options 3 | SEL
en|The hosts ... him so warmly. He was obviously not welcome at all.|greeted|were greeted|greeting
de|Die Gastgeber ... ihn so herzlich. Er war offensichtlich überhaupt nicht willkommen.|begrüßten|wurden begrüßt|begrüßend
ua|Господарі ... його так тепло. Він, очевидно, був зовсім не бажаним гостем.|привітали|були привітані|вітаючи
es|Los anfitriones lo ... con tanto cariño. Obviamente, él no era nada bienvenido.|recibieron|fueron recibidos|recibiendo
fr|Les hôtes ... si chaleureusement. Il n'était évidemment pas du tout le bienvenu.|l'ont accueilli|ont été accueillis|l'accueillant
tr|Ev sahipleri onu çok sıcak ...; belli ki o hiç hoş karşılanmamıştı.|karşıladı|karşılandı|karşılayarak
hu|A házigazdák olyan melegen ... őt. Nyilvánvalóan egyáltalán nem volt szívesen látott vendég.|üdvözölték|üdvözölve lettek|üdvözölve
E 44735 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|He felt welcome ... he arrived at the carved wooden gate.|as soon as|in case|unless
de|Er fühlte sich willkommen, ... er am geschnitzten Holztor ankam.|sobald|falls|außer wenn
ua|Він відчув себе бажаним гостем, ... прибув до різьблених дерев'яних воріт.|щойно|на випадок, якщо|хіба що
es|Él se sintió bienvenido ... llegó a la puerta de madera tallada.|en cuanto|por si|a menos que
fr|Il s'est senti le bienvenu ... il est arrivé à la porte en bois sculpté.|dès l'instant où|au cas où|à moins que
tr|O oyma ahşap kapıya ... kendini hoş karşılanmış hissetti.|varır varmaz|varırsa diye|varmadıkça
hu|Ő szívesen látottnak érezte magát, ... megérkezett a faragott fa kapuhoz.|amint|arra az esetre, ha|hacsak nem
MEDIA 5493 | meaning: the central part of a wheel, around the axle
E 40151 | B1 type 44 Relative clauses | style gossip | options 3 | SEL
en|Hold on, I heard the guy ... filmed all those hubs works in a bike shop.|who|which|whose
de|Moment, ich hab gehört, der Typ, ... all die Naben gefilmt hat, arbeitet in einem Fahrradladen.|der|was|dessen
ua|Стоп, я чула, що хлопець, ... знімав усі ті втулки, працює у веломагазині.|який|котрий|чий
es|Espera, oí que el chico ... grabó todos esos bujes trabaja en una tienda de bicis.|que|el cual|cuyo
fr|Attends, j'ai entendu dire que le mec ... a filmé tous ces moyeux bosse dans un magasin de vélos.|qui|lequel|dont
tr|Dur, duydum ki bütün o göbekleri ... çeken adam bir bisiklet dükkânında çalışıyormuş.|||
hu|Várj, azt hallottam, hogy a srác, ... az összes kerékagyat lefilmezte, egy bicikliboltban dolgozik.|aki|amely|akinek
E 40157 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|A very ordinary day: he ... hubs for hours before he found the biggest one of all.|had been studying|was studying|has been studying
de|Ein ganz normaler Tag: Er ... stundenlang Naben, bevor er die größte von allen fand.|studierte|studierte|studiert
ua|Цілком звичайний день: він ... втулки годинами, поки не знайшов найбільшу з усіх.|вивчав|вивчав|вивчає
es|Un día de lo más normal: él ... bujes durante horas antes de encontrar el más grande de todos.|había estado estudiando|estaba estudiando|ha estado estudiando
fr|Une journée très ordinaire : il ... des moyeux pendant des heures avant de trouver le plus gros de tous.|avait étudié|étudiait|a étudié
tr|Çok sıradan bir gün: o en büyüğünü bulmadan önce saatlerce göbekleri ...|incelemişti|inceliyordu|inceledi
hu|Egy teljesen hétköznapi nap: ő órákig ... a kerékagyakat, mielőtt megtalálta a legnagyobbat.|tanulmányozta|tanulmányozta|tanulmányozza
MEDIA 5494 | meaning: not able to function because of injury or illness
E 38637 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The disabled man, ... pushes his own wheelchair, rolls fast along the leafy path.|who|which|whose
de|Der Mann mit Behinderung, ... seinen Rollstuhl selbst antreibt, rollt schnell den laubbedeckten Weg entlang.|der|welches|dessen
ua|Чоловік з інвалідністю, ... сам штовхає свій візок, швидко котиться стежкою в листі.|який|котре|чий
es|El hombre con discapacidad, ... empuja su propia silla de ruedas, rueda rápido por el camino lleno de hojas.|que|el cual|cuyo
fr|L'homme handicapé, ... pousse lui-même son fauteuil roulant, file sur le chemin couvert de feuilles.|qui|lequel|dont
tr|Kendi tekerlekli sandalyesini ... iten engelli adam, yapraklı yolda hızla ilerliyor.|||
hu|A mozgássérült férfi, ... maga hajtja a kerekesszékét, gyorsan gurul a leveles ösvényen.|aki|amely|akinek
MEDIA 5497 | meaning: a politician running for public office
E 37555 | B1 type 42 Passive or Active | style ironic | options 3 | SEL
en|Her team ... the candidate onto their shoulders. A very quiet night, obviously.|lifted|was lifted|lifting
de|Ihr Team ... die Kandidatin auf die Schultern. Eine sehr ruhige Nacht, logisch.|hob|wurde gehoben|hebend
ua|Її команда ... кандидатку на плечі. Дуже тиха ніч, очевидно.|підняла|була піднята|піднімаючи
es|Su equipo ... a la candidata a hombros. Una noche muy tranquila, obviamente.|levantó|fue levantado|levantando
fr|Son équipe ... la candidate sur ses épaules. Une nuit très calme, évidemment.|a porté|a été portée|portant
tr|Ekibi adayı omuzlarına ...; çok sakin bir gece, tabii ki.|kaldırdı|kaldırıldı|kaldırarak
hu|A csapata a vállára ... a jelöltet. Nagyon csendes éjszaka, nyilván.|emelte|emelve lett|emelve
MEDIA 5500 | meaning: wood cut and prepared for building
E 44101 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|He said he ... the timber into planks the day before.|had cut|has cut|cuts
de|Er sagte, dass er das Holz am Tag davor zu Brettern ...|gesägt hatte|gesägt hat|sägt
ua|Він сказав, що напередодні ... деревину на дошки.|розпиляв|розпиляв|пиляє
es|Él dijo que ... la madera en tablones el día anterior.|había cortado|ha cortado|corta
fr|Il a dit qu'il ... le bois en planches la veille.|avait coupé|a coupé|coupe
tr|O, keresteyi bir gün önce tahtalara ... söyledi.|kestiğini|kestiğini|kestiğini
hu|Ő azt mondta, hogy előző nap ... a fát deszkákra.|felvágta|felvágta|vágja
MEDIA 5501 | meaning: making goods and services to sell
E 40221 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|Those machines are huge, so this factory ... be part of heavy industry.|must|might|can't
de|Die Maschinen sind riesig, also ... diese Fabrik zur Schwerindustrie gehören.|muss|könnte|kann nicht
ua|Ті машини величезні, тож ця фабрика ... бути частиною важкої промисловості.|мусить|може|не може
es|Esas máquinas son enormes, así que esta fábrica ... formar parte de la industria pesada.|debe de|podría|no puede
fr|Ces machines sont énormes, donc cette usine ... faire partie de l'industrie lourde.|doit|pourrait|ne peut pas
tr|O makineler devasa, yani bu fabrika ağır sanayinin parçası ...|olmalı|olabilir|olamaz
hu|Azok a gépek hatalmasak, szóval ez a gyár ... a nehézipar része.|biztosan|talán|biztosan nem
MEDIA 5502 | meaning: the act of storing things somewhere
E 43618 | B1 type 35 Past Perfect Simple | style flirt | options 3 | SEL
en|Honestly, you ... every box on that pallet before you pulled it to storage.|had stacked|have stacked|stack
de|Ehrlich, du ... jede Kiste auf die Palette, bevor du sie ins Lager gezogen hast.|stapeltest|stapeltest|stapelst
ua|Чесно, ти ... кожну коробку на той піддон, перш ніж відтягнула його на склад.|склала|склала|складаєш
es|Sinceramente, tú ... cada caja en ese palé antes de llevarlo al almacén.|habías apilado|has apilado|apilas
fr|Franchement, tu ... chaque carton sur cette palette avant de la tirer jusqu'à l'entrepôt.|avais empilé|as empilé|empiles
tr|Açıkçası sen o paleti depoya çekmeden önce her kutuyu üstüne ...|dizmiştin|dizdin|diziyorsun
hu|Őszintén, te ... minden dobozt arra a raklapra, mielőtt a raktárba húztad.|felpakoltál|felpakoltál|pakolsz
E 43624 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|She ... the pallet in plastic film before she pulled it to storage.|had wrapped|has wrapped|was wrapping
de|Sie ... die Palette in Folie, bevor sie sie ins Lager zog.|wickelte|wickelte|wickelte gerade
ua|Вона ... піддон у плівку, перш ніж відтягнула його на склад.|обмотала|обмотала|обмотувала
es|Ella ... el palé en film plástico antes de llevarlo al almacén.|había envuelto|ha envuelto|estaba envolviendo
fr|Elle ... la palette de film plastique avant de la tirer jusqu'à l'entrepôt.|avait emballé|a emballé|emballait
tr|O paleti depoya çekmeden önce streç filme ...|sarmıştı|sardı|sarıyordu
