MEDIA 4817 | meaning: a long time with a shortage of rain
E 38824 | B2 type 64 Future in past | style chill | options 3 | SEL
fr|En ce moment, tu ... ton maquillage avec toute la skyline derrière toi. Iconique.|fais|fais|as fait
tr|Şu anda sen arkanda bütün şehir silüetiyle makyajını ...; efsane.|yapıyorsun|yaparsın|yaptın
hu|Te épp most ... a sminkedet, mögötted az egész városképpel. Ikonikus.|csinálod|csinálod|megcsináltad
MEDIA 4949 | meaning: the beautiful natural landscape you see around you
E 42633 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The walkers ... through this mountain scenery since early morning.|have been walking|are walking|walk
de|Die Wanderer ... seit dem frühen Morgen durch diese Berglandschaft.|laufen|laufen|laufen
ua|Туристи ... цими гірськими краєвидами з самого ранку.|ідуть|ідуть|ходять
es|Los excursionistas ... por este paisaje de montaña desde primera hora de la mañana.|han estado caminando|están caminando|caminan
fr|Les randonneurs ... dans ce paysage de montagne depuis tôt ce matin.|marchent|sont en train de marcher|marchent
tr|Yürüyüşçüler sabahın erken saatlerinden beri bu dağ manzarasında ...|yürüyor|yürüyor|yürür
hu|A túrázók kora reggel óta ... ebben a hegyvidéki tájban.|gyalogolnak|gyalogolnak|gyalogolnak
E 42638 | B2 type 60 Wish clauses | style dramatic | options 3 | SEL
en|I wish I ... my camera! Scenery like this, lost forever!|had brought|have brought|brought
de|Ich wünschte, ich ... meine Kamera mitgenommen! So eine Landschaft, für immer verloren!|hätte|habe|hatte
ua|Якби ж я ... свій фотоапарат! Такі краєвиди — назавжди втрачені!|взяв|взяв|взяв
es|¡Ojalá yo ... mi cámara! ¡Un paisaje así, perdido para siempre!|hubiera traído|he traído|traje
fr|J'aurais tellement voulu ... mon appareil photo ! Un paysage pareil, perdu à jamais !|avoir pris|avoir pris|prendre
tr|Keşke ben fotoğraf makinemi ...! Böyle bir manzara, sonsuza dek kayıp!|getirseydim|getirdim|getirdim
hu|Bárcsak én ... a fényképezőgépemet! Ilyen táj, örökre elveszett!|elhoztam volna|elhoztam|elhoztam
MEDIA 4950 | meaning: the part of the body below the waist
E 40040 | B2 type 62 Articles advanced | style gossip | options 3 | SEL
en|Guess what, she told me she practises the hip pose before ... every night.|bed|the bed|a bed
de|Rate mal, sie hat mir erzählt, dass sie die Hüftpose jeden Abend vor ... übt.|dem Schlafengehen|dem Bett|einem Bett
ua|Уяви, вона сказала мені, що щовечора перед ... тренує позу з руками на стегнах.|сном|ліжком|ліжком
es|Adivina qué, ella me dijo que practica la pose de cadera cada noche antes de ...|dormir|la cama|una cama
fr|Devine quoi, elle m'a dit qu'elle travaille la pose des hanches tous les soirs avant ...|d'aller au lit|le lit|un lit
tr|Bil bakalım, o bana her gece ... önce kalça pozunu çalıştığını söyledi.|yatmadan|yataktan|bir yataktan
hu|Képzeld, ő azt mondta nekem, hogy minden este ... előtt gyakorolja a csípőpózt.|lefekvés|az ágy|egy ágy
MEDIA 4953 | meaning: to wish for something and expect it to happen
E 40092 | B1 type 34 Present Perfect Simple or Continuos | style dramatic | options 3 | SEL
en|She ... for a sprout all week, and still nothing! Absolute nightmare!|has been hoping|has hoped|is hoping
de|Sie ... die ganze Woche auf einen Keimling, und immer noch nichts! Absoluter Albtraum!|hofft|hat gehofft|hofft
ua|Вона ... на паросток цілий тиждень, і досі нічого! Суцільний жах!|сподівається|сподівалася|сподівається
es|¡Ella ... un brote toda la semana, y todavía nada! ¡Una pesadilla absoluta!|ha estado esperando|ha esperado|está esperando
fr|Elle ... un germe depuis toute la semaine, et toujours rien ! Cauchemar absolu !|espère|a espéré|espère
tr|O bütün haftadır bir filiz çıkmasını ..., hâlâ hiçbir şey yok! Tam bir kâbus!|umuyor|umdu|umuyor
hu|Ő egész héten ... egy csírában, és még mindig semmi! Teljes rémálom!|reménykedik|reménykedett|reménykedik
E 40099 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By next week, the sprout she hoped for ... into a small plant.|will have grown|will grow|grows
de|Bis nächste Woche ... der Keimling, auf den sie gehofft hat, zu einer kleinen Pflanze herangewachsen sein.|wird|wird|wächst
ua|До наступного тижня паросток, на який вона сподівалася, ... в маленьку рослинку.|виросте|виросте|росте
es|Para la semana que viene, el brote que ella esperaba ... hasta ser una plantita.|habrá crecido|crecerá|crece
fr|D'ici la semaine prochaine, le germe qu'elle espérait ... en une petite plante.|aura poussé|poussera|pousse
tr|Gelecek haftaya kadar umduğu filiz küçük bir bitkiye ...|dönüşmüş olacak|dönüşecek|dönüşüyor
hu|Jövő hétre a csíra, amiben reménykedett, ... egy kis növénnyé.|megnő|meg fog nőni|nő
MEDIA 4955 | meaning: a storage box for your clothes and valuables
E 40684 | B2 type 55 Advanced Passive Voice | style chill | options 3 | SEL
en|The tall grey lockers are said ... by the hostel many years ago.|to have been bought|to buy|buying
de|Die hohen grauen Spinde sollen vor vielen Jahren vom Hostel ...|gekauft worden sein|kaufen|kaufend
ua|Кажуть, що високі сірі шафки ... хостелом багато років тому.|були куплені|купити|купуючи
es|Se dice que las altas taquillas grises ... por el albergue hace muchos años.|fueron compradas|comprar|comprando
fr|On dit que les grands casiers gris ... par l'auberge de jeunesse il y a de nombreuses années.|ont été achetés|acheter|achetant
tr|Uzun gri dolapların yıllar önce hostel tarafından ... söyleniyor.|satın alındığı|satın almak|satın alarak
hu|Állítólag a magas szürke szekrényeket a hosztel ... sok évvel ezelőtt.|vásárolta|vásárolni|vásárolva
MEDIA 4958 | meaning: a detached house in the suburbs
E 44544 | B1 type 43 Modal verbs Probability | style ironic | options 3 | SEL
en|Great deal, clearly: a villa with its own fountain ... be cheap.|can't|must|should
de|Klar ein super Deal: Eine Villa mit eigenem Brunnen ... billig sein.|kann nicht|muss|sollte
ua|Явно чудова угода: вілла з власним фонтаном ... бути дешевою.|не може|мусить|повинна
es|Un chollo, claramente: una villa con fuente propia ... ser barata.|no puede|debe de|debería
fr|Super affaire, clairement : une villa avec sa propre fontaine ... être bon marché.|ne peut pas|doit|devrait
tr|Belli ki harika bir fırsat: kendi çeşmesi olan bir villa ucuz ...|olamaz|olmalı|olması gerekir
hu|Nyilván szuper üzlet: egy saját szökőkutas villa ... olcsó.|nem lehet|biztos|kéne, hogy legyen
MEDIA 4959 | meaning: a small house with one floor
E 38149 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If the couple like the white cottage, they ... it this week.|will buy|would buy|bought
de|Wenn dem Paar das weiße Häuschen gefällt, ... sie es diese Woche.|kaufen|würden kaufen|kauften
ua|Якщо парі сподобається білий будиночок, вони ... його цього тижня.|куплять|купили б|купили
es|Si a la pareja le gusta la casita blanca, ellos la ... esta semana.|comprarán|comprarían|compraron
fr|Si le couple aime la petite maison blanche, ils ... cette semaine.|l'achèteront|l'achèteraient|l'achetèrent
tr|Çift beyaz kulübeyi beğenirse, onlar bu hafta onu ...|satın alacaklar|satın alırlardı|satın aldılar
hu|Ha a párnak tetszik a fehér házikó, ők ezen a héten ...|megveszik|megvennék|megvették
MEDIA 4960 | meaning: to hold someone close in your arms lovingly
E 38357 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The two women ... for five minutes now, and nobody wants to let go.|have been cuddling|are cuddling|cuddle
de|Die zwei Frauen ... sich schon seit fünf Minuten in den Armen, und keine will loslassen.|liegen|liegen|liegen
ua|Дві жінки ... вже п'ять хвилин, і ніхто не хоче відпускати.|обіймаються|обіймаються|обіймаються
es|Las dos mujeres ... desde hace cinco minutos y nadie quiere soltarse.|han estado abrazándose|se están abrazando|se abrazan
fr|Les deux femmes ... depuis cinq minutes, et personne ne veut lâcher.|se câlinent|sont en train de se câliner|se câlinent
tr|İki kadın beş dakikadır ... ve kimse bırakmak istemiyor.|sarılıyor|sarılıyor|sarılır
hu|A két nő már öt perce ..., és senki sem akarja elengedni a másikat.|ölelkezik|ölelkezik|ölelkezik
E 38365 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|They ... for ten minutes now and I literally cannot breathe!|have been cuddling|are cuddling|cuddle
de|Sie ... sich schon seit zehn Minuten in den Armen, und ich kann buchstäblich nicht atmen!|liegen|liegen|liegen
ua|Вони ... вже десять хвилин, а я буквально не можу дихати!|обіймаються|обіймаються|обіймаються
es|¡Ellas ... desde hace diez minutos y literalmente no puedo respirar!|han estado abrazándose|se están abrazando|se abrazan
fr|Elles ... depuis dix minutes et je n'arrive littéralement plus à respirer !|se câlinent|sont en train de se câliner|se câlinent
tr|Onlar on dakikadır ... ve ben resmen nefes alamıyorum!|sarılıyorlar|sarılıyorlar|sarılırlar
hu|Ők már tíz perce ..., és én szó szerint nem kapok levegőt!|ölelkeznek|ölelkeznek|ölelkeznek
MEDIA 4962 | meaning: double lenses you look through to see far away
E 37198 | B1 type 42 Passive or Active | style clueless | options 3 | SEL
en|He ... the binoculars to his eyes because binoculars are for eyes.|raises|is raised|raising
de|Er ... das Fernglas an die Augen, weil ein Fernglas für die Augen ist.|hebt|wird gehoben|hebend
ua|Він ... бінокль до очей, бо бінокль — для очей.|підносить|піднесений|підносячи
es|Él se ... los prismáticos a los ojos porque los prismáticos son para los ojos.|lleva|es llevado|llevando
fr|Il ... les jumelles à ses yeux parce que les jumelles, c'est pour les yeux.|porte|est porté|portant
tr|O dürbünü gözlerine ..., çünkü dürbün gözler içindir.|kaldırıyor|kaldırılıyor|kaldırarak
hu|Ő a szeméhez ... a távcsövet, mert a távcső a szemnek való.|emeli|emeltetik|emelve
MEDIA 4963 | meaning: any of the long parts on your hand, not the thumb
E 39259 | B2 type 55 Advanced Passive Voice | style dramatic | options 3 | SEL
en|Her poor finger is said ... in the flat-pack table! The absolute worst!|to have been caught|to catch|catching
de|Ihr armer Finger soll im Möbelbausatz-Tisch ... sein! Das absolut Schlimmste!|eingeklemmt worden|einklemmen|einklemmend
ua|Кажуть, її бідний палець ... в столі з коробки! Найгірше, що може бути!|затиснуло|затиснути|затискаючи
es|¡Dicen que su pobre dedo ... en la mesa de montar! ¡Lo peor de lo peor!|se quedó atrapado|atrapar|atrapando
fr|Son pauvre doigt se serait ... dans la table en kit ! Le pire du pire !|coincé|coincer|coinçant
tr|Zavallı parmağının kutudan çıkan masaya ... söyleniyor! Olabilecek en kötü şey!|sıkıştığı|sıkıştırmak|sıkıştırarak
hu|Szegény ujja állítólag ... a lapraszerelt asztalba! A lehető legrosszabb!|beszorult|beszorítani|beszorítva
MEDIA 4964 | meaning: to taste a little of something
E 43950 | B1 type 35 Past Perfect Simple | style gossip | options 3 | SEL
en|Between us, word is he ... the soup twice before he let her try it.|had tasted|has tasted|tastes
de|Unter uns, angeblich ... er die Suppe zweimal probiert, bevor er sie kosten ließ.|hatte|hat|probiert
ua|Між нами, кажуть, він ... суп двічі, перш ніж дав їй спробувати.|скуштував|скуштував|куштує
es|Entre nosotros, dicen que él ... la sopa dos veces antes de dejarla probarla.|había probado|ha probado|prueba
fr|Entre nous, il paraît qu'il ... la soupe deux fois avant de la lui faire goûter.|avait goûté|a goûté|goûte
tr|Aramızda kalsın, güya o ona tattırmadan önce çorbayı iki kez ...|tatmıştı|tattı|tadıyor
hu|Köztünk szólva, állítólag ő kétszer ... a levest, mielőtt hagyta, hogy a lány is megkóstolja.|megkóstolta|megkóstolta|kóstolja
E 43956 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|By the time she tasted the soup, he ... the flowers behind his back.|had hidden|hid|has hidden
de|Als sie die Suppe probierte, ... er die Blumen schon hinter seinem Rücken versteckt.|hatte|versteckte|hat
ua|Коли вона скуштувала суп, він уже ... квіти за спиною.|сховав|сховав|сховав
es|Para cuando probó la sopa, él ya ... las flores detrás de la espalda.|había escondido|escondió|ha escondido
fr|Quand elle a goûté la soupe, il ... déjà les fleurs derrière son dos.|avait caché|cacha|a caché
tr|O çorbayı tattığında, adam çiçekleri çoktan arkasına ...|saklamıştı|sakladı|sakladı
hu|Mire a lány megkóstolta a levest, ő már ... a virágokat a háta mögé.|elrejtette|elrejtette|elrejtette
MEDIA 4967 | meaning: the characteristics by which a person is known
E 40199 | B2 type 56 Reported speech | style chill | options 3 | SEL
en|The officer asked her if she ... her identity card with her.|had|has|did have
de|Der Beamte fragte sie, ob sie ihren Personalausweis dabei ...|hatte|hat|hätte
ua|Офіцер запитав її, чи ... вона при собі посвідчення особи.|має|має|мала
es|El agente le preguntó si ella ... su documento de identidad encima.|tenía|tiene|tuvo
fr|L'agent lui a demandé si elle ... sa carte d'identité sur elle.|avait|a|a eu
tr|Memur ona kimlik kartının yanında ... sordu.|olup olmadığını|olup olmadığını|olup olmadığını
hu|A tisztviselő megkérdezte tőle, hogy nála ... a személyi igazolványa.|van-e|van-e|volt-e
MEDIA 4971 | meaning: things that explode in the sky with bright colours
E 39267 | B1 type 31 Past Continuous | style clueless | options 3 | SEL
en|While the fireworks ... over the dome, the sky was bright because of the fireworks.|were bursting|burst|have burst
de|Während das Feuerwerk über der Kuppel ..., war der Himmel hell wegen des Feuerwerks.|explodierte|explodierte|ist explodiert
ua|Поки феєрверк ... над куполом, небо було яскравим через феєрверк.|вибухав|вибухнув|вибухнув
es|Mientras los fuegos artificiales ... sobre la cúpula, el cielo estaba brillante por los fuegos artificiales.|estallaban|estallaron|han estallado
fr|Pendant que le feu d'artifice ... au-dessus du dôme, le ciel était lumineux à cause du feu d'artifice.|éclatait|éclata|a éclaté
tr|Havai fişekler kubbenin üzerinde ..., gökyüzü havai fişekler yüzünden aydınlıktı.|patlarken|patladı|patlamış
hu|Amíg a tűzijáték ... a kupola fölött, az ég világos volt a tűzijáték miatt.|robbant|felrobbant|felrobbant
E 39273 | B2 type 63 Advanced linkers | style ironic | options 3 | SEL
en|... all the smoke, the fireworks were clearly visible. No notes.|Despite|Although|Due to
de|... des ganzen Rauchs war das Feuerwerk klar zu sehen. Keine Anmerkungen.|Trotz|Obwohl|Wegen
ua|... весь дим, феєрверк було чудово видно. Без зауважень.|Попри|Хоча|Через
es|... todo el humo, los fuegos artificiales se veían claramente. Sin comentarios.|A pesar de|Aunque|Debido a
fr|... toute la fumée, le feu d'artifice était bien visible. Rien à redire.|Malgré|Bien que|À cause de
tr|Bütün dumana ..., havai fişekler açıkça görünüyordu. Diyecek yok.|rağmen|gerçi|yüzünden
hu|Az egész füst ... a tűzijáték tisztán látszott. Nincs mit hozzátenni.|ellenére|bár|miatt
MEDIA 4972 | meaning: inspired by love for your country
E 41478 | B1 type 45 Reported speech | style slang | options 3 | SEL
en|Bro, she said she ... her cheeks again next year, 'cause she's so patriotic.|would paint|will paint|paints
de|Bro, sie meinte, sie ... sich nächstes Jahr wieder die Wangen bemalen, weil sie so patriotisch ist.|würde|wird|bemalt
ua|Бро, вона сказала, що наступного року знову ... щоки, бо вона така патріотична.|розмалює|розмалює|малює
es|Bro, ella dijo que se ... las mejillas otra vez el año que viene, porque es superpatriota.|pintaría|pintará|pinta
fr|Frère, elle a dit qu'elle se ... encore les joues l'année prochaine, parce qu'elle est trop patriote.|peindrait|peindra|peint
tr|Kanka, o seneye yine yanaklarını ... söyledi, çünkü çok vatansever.|boyayacağını|boyayacağını|boyadığını
hu|Tesó, ő azt mondta, jövőre megint ... az arcát, mert annyira hazafias.|kifesti|ki fogja festeni|festi
E 41482 | B2 type 66 All Past Tenses | style nerd | options 3 | SEL
en|Before the fireworks began, the crowd ... patriotic flags for approximately an hour.|had been waving|waved|was waving
de|Bevor das Feuerwerk begann, ... die Menge etwa eine Stunde lang patriotische Fahnen.|schwenkte|schwenkte|schwenkte
ua|Перш ніж почався феєрверк, натовп ... патріотичними прапорами приблизно годину.|махав|махав|махав
es|Antes de que empezaran los fuegos artificiales, la multitud ... banderas patrióticas durante aproximadamente una hora.|había estado ondeando|ondeó|estaba ondeando
fr|Avant le début du feu d'artifice, la foule ... des drapeaux patriotiques pendant environ une heure.|agitait|agita|agitait
tr|Havai fişekler başlamadan önce kalabalık yaklaşık bir saat boyunca vatansever bayraklar ...|sallıyordu|salladı|sallıyordu
hu|Mielőtt a tűzijáték elkezdődött, a tömeg körülbelül egy órán át ... a hazafias zászlókat.|lengette|lengette|lengette
MEDIA 4973 | meaning: a structure built to remember a person or event
E 41083 | B1 type 49 So, Neither, Nor | style ironic | options 3 | SEL
en|He loved the monument, and obviously ...|so did his camera.|so was his camera.|so does his camera.
de|Er liebte das Denkmal, und natürlich ...|seine Kamera auch.|seine Kamera auch.|seine Kamera auch.
ua|Він обожнював пам'ятник, і, звісно, ...|його камера теж.|його камера теж.|його камера теж.
es|Él adoraba el monumento y, obviamente, ...|su cámara también.|su cámara también.|su cámara también.
fr|Il a adoré le monument, et évidemment ...|son appareil photo aussi.|son appareil photo aussi.|son appareil photo aussi.
tr|O anıta bayıldı, tabii ki ...|kamerası da öyle.|kamerası da öyle.|kamerası da öyle.
hu|Ő imádta az emlékművet, és persze ...|a fényképezőgépe is.|a fényképezőgépe is.|a fényképezőgépe is.
E 41090 | B2 type 62 Articles advanced | style dramatic | options 3 | SEL
en|... in front of him was absolutely the most beautiful thing ever!|The monument|A monument|Monument
de|... vor ihm war absolut das Schönste überhaupt!|Das Denkmal|Ein Denkmal|Denkmal
ua|... перед ним був абсолютно найкрасивішим у світі!|Пам'ятник|Пам'ятник|Пам'ятник
es|¡... frente a él era absolutamente lo más bonito del mundo!|El monumento|Un monumento|Monumento
fr|... devant lui était absolument la plus belle chose au monde !|Le monument|Un monument|Monument
tr|Önündeki ... kesinlikle gelmiş geçmiş en güzel şeydi!|anıt|bir anıt|anıt
hu|... előtte egyszerűen a világ legszebb dolga volt!|Az emlékmű|Egy emlékmű|Emlékmű
MEDIA 4974 | meaning: someone who exchanges goods for money
E 42749 | B1 type 44 Relative clauses | style business | options 3 | SEL
en|The seller ... pours from 1 metre high meets his daily target.|who|which|whose
de|Der Verkäufer, ... aus 1 Meter Höhe einschenkt, erreicht sein Tagesziel.|der|das|dessen
ua|Продавець, ... наливає з висоти 1 метра, виконує свій денний план.|який|що|чий
es|El vendedor ... sirve desde 1 metro de altura cumple su objetivo diario.|que|el cual|cuyo
fr|Le vendeur ... verse de 1 mètre de haut atteint son objectif quotidien.|qui|que|dont
tr|1 metre yükseklikten ... döken satıcı günlük hedefini tutturuyor.|||
hu|Az az eladó, ... 1 méter magasról tölt, teljesíti a napi célját.|aki|ami|akinek a
E 42755 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|The seller ... tea for an hour before the young men started filming him.|had been pouring|has been pouring|was pouring
de|Der Verkäufer ... schon eine Stunde lang Tee ein, bevor die jungen Männer ihn filmten.|schenkte|schenkt|schenkte
ua|Продавець ... чай уже годину, коли молоді хлопці почали його знімати.|наливав|наливає|наливав
es|El vendedor ... té durante una hora antes de que los chicos empezaran a grabarlo.|había estado sirviendo|ha estado sirviendo|estaba sirviendo
fr|Le vendeur ... du thé depuis une heure quand les jeunes ont commencé à le filmer.|versait|verse|versait
tr|Gençler onu çekmeye başlamadan önce satıcı bir saattir çay ...|dolduruyordu|dolduruyor|dolduruyordu
hu|Az eladó már egy órája ... a teát, mire a fiatalok elkezdték filmezni.|töltötte|tölti|töltötte
MEDIA 4976 | meaning: to walk through shallow water
E 44577 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|The farmer keeps wading through the water ... the smoke rising from the volcano.|despite|although|because of
de|Der Bauer watet ... des aufsteigenden Rauchs aus dem Vulkan weiter durchs Wasser.|trotz|obwohl|wegen
ua|Фермер і далі бреде водою ... дим, що здіймається з вулкана.|попри|хоча|через
es|El campesino sigue vadeando el agua ... el humo que sale del volcán.|a pesar de|aunque|por
fr|Le paysan continue de patauger dans l'eau ... la fumée qui s'élève du volcan.|malgré|bien que|à cause de
tr|Çiftçi volkandan yükselen dumana ... sudan geçmeye devam ediyor.|rağmen|gerçi|yüzünden
hu|A földműves a vulkánból felszálló füst ... tovább gázol a vízben.|ellenére|bár|miatt
MEDIA 4981 | meaning: cells injected to protect you from a disease
E 44461 | B2 type 55 Advanced Passive Voice | style chill | options 3 | SEL
en|The vaccine is said ... tested on thousands of volunteers last year.|to have been|to be|being
de|Der Impfstoff soll letztes Jahr an Tausenden Freiwilligen getestet worden ...|sein|werden|seiend
ua|Кажуть, вакцину ... на тисячах добровольців торік.|було протестовано|тестують|тестуючи
es|Se dice que la vacuna ... probada en miles de voluntarios el año pasado.|fue|es|siendo
fr|Le vaccin aurait ... testé sur des milliers de volontaires l'an dernier.|été|être|étant
tr|Aşının geçen yıl binlerce gönüllü üzerinde test ... söyleniyor.|edildiği|edilmek|edilerek
hu|Állítólag a vakcinát tavaly több ezer önkéntesen ...|tesztelték|tesztelni|tesztelve
MEDIA 4984 | meaning: a stiff case with a handle for work papers
E 37384 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If he drops his briefcase, his papers ... all over the promenade.|will fly|would fly|flew
de|Wenn er seine Aktentasche fallen lässt, ... seine Papiere über die ganze Promenade.|fliegen|würden fliegen|flogen
ua|Якщо він упустить портфель, його папери ... по всій набережній.|розлетяться|розлетілися б|розлетілися
es|Si él deja caer el maletín, sus papeles ... por todo el paseo.|volarán|volarían|volaron
fr|S'il fait tomber sa mallette, ses papiers ... sur toute la promenade.|s'envoleront|s'envoleraient|s'envolèrent
tr|O çantasını düşürürse, kâğıtları bütün sahil yoluna ...|saçılacak|saçılırdı|saçıldı
hu|Ha ő elejti az aktatáskáját, a papírjai ... az egész sétányon.|szétrepülnek|szétrepülnének|szétrepültek
E 37393 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|The man ... on a skateboard with his briefcase at the moment.|is riding|rides|has ridden
de|Der Mann ... gerade mit seiner Aktentasche Skateboard.|fährt|fährt|ist gefahren
ua|Чоловік зараз ... на скейтборді з портфелем.|їде|їздить|проїхав
es|El hombre ... en monopatín con su maletín en este momento.|está yendo|va|ha ido
fr|L'homme ... du skateboard avec sa mallette en ce moment.|fait|fait|a fait
tr|Adam şu anda çantasıyla kaykay ...|sürüyor|sürer|sürdü
  ~soft: length ratio 0.58
hu|A férfi épp most ... gördeszkán az aktatáskájával.|gurul|gurul|gurult
MEDIA 4985 | meaning: to attach something firmly in place
E 39306 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|At ten tomorrow morning, they ... more screens to the office wall.|will be fixing|will fix|fix
de|Morgen um zehn ... sie weitere Bildschirme an der Bürowand.|montieren|montieren|montieren
ua|Завтра о десятій ранку вони ... нові екрани на стіну офісу.|кріпитимуть|закріплять|кріплять
es|Mañana a las diez, ellos ... más pantallas en la pared de la oficina.|estarán fijando|fijarán|fijan
fr|Demain à dix heures, ils ... d'autres écrans au mur du bureau.|seront en train de fixer|fixeront|fixent
tr|Yarın sabah onda onlar ofis duvarına daha fazla ekran ...|takıyor olacaklar|takacaklar|takıyorlar
hu|Holnap reggel tízkor ők ... további képernyőket az iroda falára.|szerelnek fel|fel fognak szerelni|szerelnek fel
E 39315 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|The office manager had the workers ... the screens to the wall.|fix|to fix|fixing
de|Die Büroleiterin ließ die Arbeiter die Bildschirme an der Wand ...|befestigen|befestigen|befestigen
ua|Офіс-менеджерка доручила працівникам ... екрани на стіну.|закріпити|закріпити|закріплення
es|La jefa de oficina hizo que los trabajadores ... las pantallas a la pared.|fijaran|fijaran|fijando
fr|La responsable du bureau a demandé aux ouvriers de ... les écrans au mur.|fixer|fixer|fixer
tr|Ofis müdürü ekranları duvara işçilere ...|taktırdı|taktırdı|taktırdı
hu|Az irodavezető ... a munkásokkal a képernyőket a falra.|felszereltette|felszereltette|felszereltette
MEDIA 4987 | meaning: to give an exhibition of work to an audience
E 41832 | B1 type 34 Present Perfect Simple or Continuos | style slang | options 3 | SEL
en|Bro, she ... three whole projects today and nobody's listening, fr.|has presented|has been presenting|is presenting
de|Bro, sie ... heute drei ganze Projekte präsentiert und keiner hört zu, echt jetzt.|hat|hat|präsentiert
ua|Бро, вона сьогодні ... три цілі проєкти, а ніхто не слухає, реально.|презентувала|презентувала|презентує
es|Bro, ella ... tres proyectos enteros hoy y nadie escucha, en serio.|ha presentado|ha estado presentando|está presentando
fr|Frère, elle ... trois projets entiers aujourd'hui et personne n'écoute, sérieux.|a présenté|a présenté|présente
tr|Kanka, o bugün koca üç proje ... ve kimse dinlemiyor, cidden.|sundu|sunuyordu|sunuyor
hu|Tesó, ő ma ... három teljes projektet, és senki sem figyel, komolyan.|bemutatott|mutatott be|mutat be
E 41839 | B2 type 67 All Future Tenses | style flirt | options 3 | SEL
en|By Friday, you ... this project to every team, and honestly, respect.|will have presented|will present|present
de|Bis Freitag ... du dieses Projekt jedem Team präsentiert haben, und ehrlich, Respekt.|wirst|wirst|präsentierst
ua|До п'ятниці ти ... цей проєкт кожній команді, і чесно, респект.|презентуєш|презентуєш|презентуєш
es|Para el viernes, tú ... este proyecto a todos los equipos y, sinceramente, respeto.|habrás presentado|presentarás|presentas
fr|D'ici vendredi, tu ... ce projet à chaque équipe, et franchement, respect.|auras présenté|présenteras|présentes
tr|Cumaya kadar sen bu projeyi her ekibe ... ve açıkçası, helal.|sunmuş olacaksın|sunacaksın|sunuyorsun
hu|Péntekre te ... ezt a projektet minden csapatnak, és őszintén, respekt.|bemutatod|be fogod mutatni|bemutatod
MEDIA 4991 | meaning: dirty and not in any order
E 40960 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The pile ... is on the bed looks very messy.|that|who|what
de|Der Haufen, ... auf dem Bett liegt, sieht sehr unordentlich aus.|der|wer|was
ua|Купа, ... лежить на ліжку, виглядає дуже неохайно.|яка|хто|що
es|El montón ... está en la cama se ve muy desordenado.|que|quien|lo que
fr|La pile ... est sur le lit a l'air très en désordre.|qui|qui|ce qui
tr|Yatakta ... duran yığın çok dağınık görünüyor.|||
hu|Az a kupac, ... az ágyon van, nagyon rendetlennek tűnik.|amely|aki|ami
E 40965 | B2 type 66 All Past Tenses | style flirt | options 3 | SEL
en|Before you ironed it, that shirt ... in the messy pile for days; honestly, great rescue.|had been lying|was lying|has lain
de|Bevor du es gebügelt hast, ... das Hemd tagelang im chaotischen Haufen; ehrlich, starke Rettung.|lag|lag|hat gelegen
ua|Поки ти її не випрасував, та сорочка ... в безладній купі кілька днів; чесно, класний порятунок.|лежала|лежала|лежала
es|Antes de que tú la plancharas, esa camisa ... días en el montón desordenado; sinceramente, gran rescate.|había estado|estaba|ha estado
fr|Avant que tu la repasses, cette chemise ... depuis des jours dans le tas en bazar ; franchement, beau sauvetage.|traînait|traînait|a traîné
tr|Sen onu ütülemeden önce o gömlek günlerce dağınık yığında ...; açıkçası, harika kurtarış.|duruyordu|duruyordu|durdu
hu|Mielőtt te kivasaltad, az az ing napokig ... a rendetlen kupacban; őszintén, szép mentés.|hevert|hevert|hevert
MEDIA 4995 | meaning: a three-dimensional work of art
E 42710 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|The man rides past the fountain ... stopping to look at its sculpture.|instead of|in spite of|as well as
de|Der Mann fährt am Brunnen vorbei, ... anzuhalten und sich die Skulptur anzusehen.|statt|trotz|sowie
ua|Чоловік проїжджає повз фонтан, ... зупинитися й подивитися на його скульптуру.|замість того щоб|попри те що|а також
es|El hombre pasa junto a la fuente ... pararse a mirar su escultura.|en vez de|a pesar de|además de
fr|L'homme passe devant la fontaine ... s'arrêter pour regarder sa sculpture.|au lieu de|malgré|en plus de
tr|Adam heykele bakmak için ... fıskiyenin yanından geçip gidiyor.|durmak yerine|durmasına rağmen|durmanın yanı sıra
hu|A férfi elhajt a szökőkút mellett, ... megállna megnézni a szobrát.|ahelyett, hogy|annak ellenére, hogy|valamint
MEDIA 4996 | meaning: any cone-shaped object you can hold
E 37994 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
