MEDIA 4617 | meaning: to be engaged in a fight
E 39185 | B1 type 33 Past Simple or Continuos | style gossip | options 3 | SEL
hu|Épp most a pék ... egy bagettbe, mintha telefon lenne. Igazi profi.|beszél|beszél|beszélt
MEDIA 4761 | meaning: salted and smoked meat from a pig's back
E 36981 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|He ... the bacon beside the egg in the black pan.|lays|is laid|laying
de|Er ... den Speck neben das Ei in die schwarze Pfanne.|legt|wird gelegt|legend
ua|Він ... бекон поруч із яйцем на чорну пательню.|кладе|кладеться|кладучи
es|Él ... el beicon junto al huevo en la sartén negra.|pone|es puesto|poniendo
fr|Il ... le bacon à côté de l'œuf dans la poêle noire.|pose|est posé|posant
tr|O pastırmayı siyah tavada yumurtanın yanına ...|koyuyor|konuyor|koyarak
hu|Ő a szalonnát a tojás mellé ... a fekete serpenyőbe.|teszi|van téve|téve
E 36987 | B2 type 65 All Present Tenses | style slang | options 3 | SEL
en|Bro, that bacon ... for like five minutes and it's still sizzling, no cap.|has been frying|is frying|fries
de|Bro, der Speck ... schon so fünf Minuten und brutzelt immer noch, kein Witz.|brät|brät|brät
ua|Бро, той бекон ... вже хвилин п'ять і досі шкварчить, без брехні.|смажиться|смажиться|смажиться
es|Bro, ese beicon ... desde hace como cinco minutos y sigue chisporroteando, sin mentir.|se ha estado friendo|se está friendo|se fríe
fr|Frère, ce bacon ... depuis genre cinq minutes et il grésille encore, sans mentir.|cuit|cuit|cuit
tr|Kanka, o pastırma beş dakikadır falan ... ve hâlâ cızırdıyor, yalan yok.|kızarıyor|kızarıyor|kızarır
hu|Tesó, az a szalonna már vagy öt perce ..., és még mindig serceg, nem kamu.|sül|sül|sül
MEDIA 4762 | meaning: a room where works of art are shown
E 39680 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|He ... around this gallery for two hours now.|has been walking|is walking|walks
de|Er ... schon seit zwei Stunden durch diese Galerie.|läuft|läuft|läuft
ua|Він ... цією галереєю вже дві години.|гуляє|гуляє|гуляє
es|Él ... por esta galería desde hace dos horas.|ha estado paseando|está paseando|pasea
fr|Il ... dans cette galerie depuis deux heures.|se promène|se promène|se promène
tr|O iki saattir bu galeride ...|dolaşıyor|dolaşıyor|dolaşır
hu|Ő már két órája ... ebben a galériában.|sétál|sétál|sétál
E 39684 | B2 type 59 Causative HAVE/GET | style ironic | options 3 | SEL
en|He's getting his briefcase ... at the gallery door, obviously a very relaxed visit.|checked|check|to check
de|Er lässt seine Aktentasche an der Galerietür ..., offensichtlich ein sehr entspannter Besuch.|kontrollieren|kontrollieren|kontrollieren
ua|Він дає ... свій портфель біля дверей галереї, очевидно, дуже розслаблений візит.|перевірити|перевірити|перевірити
es|Él está haciendo que le ... el maletín en la puerta de la galería, obviamente una visita muy relajada.|revisen|revisen|revisen
fr|Il fait ... sa mallette à la porte de la galerie, évidemment une visite très détendue.|contrôler|contrôler|contrôler
tr|O, galeri kapısında çantasını ..., belli ki çok rahat bir ziyaret.|kontrol ettiriyor|kontrol ettiriyor|kontrol ettiriyor
hu|Ő a galéria ajtajánál ... a táskáját, nyilván nagyon laza látogatás.|ellenőrizteti|ellenőrizteti|ellenőrizteti
MEDIA 4763 | meaning: a person who plays video games a lot
E 39702 | B1 type 46 Used to, Would | style dramatic | options 3 | SEL
en|She ... play for hours every night before she became a pro gamer! Absolutely obsessed!|would|used|was used to
de|Sie ... jede Nacht stundenlang, bevor sie Profi-Gamerin wurde! Total besessen!|spielte immer|spielte früher|war es gewohnt zu spielen
ua|Вона ... годинами щоночі, поки не стала професійною геймеркою! Повністю одержима!|грала|грала|звикла грати
es|¡Ella ... durante horas cada noche antes de convertirse en gamer profesional! ¡Totalmente obsesionada!|jugaba|solía jugar|estaba acostumbrada a jugar
fr|Elle ... pendant des heures chaque nuit avant de devenir gamer pro ! Complètement obsédée !|jouait|jouait|avait l'habitude de jouer
tr|O, profesyonel bir oyuncu olmadan önce her gece saatlerce ...! Tamamen takıntılıydı!|oynardı|oynardı|oynamaya alışkındı
hu|Ő minden éjjel órákig ..., mielőtt profi gamer lett! Teljesen megszállott!|játszott|játszott|hozzá volt szokva a játékhoz
MEDIA 4770 | meaning: getting on a plane or ship as a passenger
E 37286 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|The agent waves him through because ... has already started.|boarding|the boarding|a boarding
de|Die Mitarbeiterin winkt ihn durch, weil ... schon begonnen hat.|das Boarding|das Boarding|ein Boarding
ua|Працівник махає йому проходити, бо ... вже почалася.|посадка|посадка|посадка
es|El agente le hace señas para que pase porque ... ya ha empezado.|el embarque|el embarque|un embarque
fr|L'agent lui fait signe de passer parce que ... a déjà commencé.|l'embarquement|l'embarquement|un embarquement
tr|Görevli ona geçmesini işaret ediyor çünkü ... çoktan başladı.|biniş|biniş|bir biniş
hu|Az ügyintéző átinti, mert ... már elkezdődött.|a beszállás|a beszállás|egy beszállás
MEDIA 4772 | meaning: a group of birds flying together
E 39419 | B1 type 37 Future Simple or Continuos | style gossip | options 3 | SEL
en|Girl, she swears the flock ... back tomorrow at sunset.|will come|will be coming|is coming
de|Mädel, sie schwört, dass der Schwarm morgen bei Sonnenuntergang ...|zurückkommt|gerade zurückkommt|zurückkommt
ua|Дівчино, вона клянеться, що зграя ... завтра на заході сонця.|повернеться|повертатиметься|повертається
es|Tía, ella jura que la bandada ... mañana al atardecer.|volverá|estará volviendo|vuelve
fr|Meuf, elle jure que la nuée ... demain au coucher du soleil.|reviendra|sera en train de revenir|revient
tr|Kızım, o sürünün yarın gün batımında ... yemin ediyor.|döneceğine|dönüyor olacağına|döndüğüne
hu|Csajszi, ő esküszik, hogy a madárraj holnap naplementekor ...|visszajön|épp visszajön|visszajön
E 39423 | B2 type 66 All Past Tenses | style flirt | options 3 | SEL
en|You pointed at the flock before anyone else ... it, honestly impressive.|had noticed|has noticed|was noticing
de|Du hast auf den Schwarm gezeigt, bevor irgendjemand sonst ihn ..., ehrlich beeindruckend.|bemerkt hatte|bemerkt hat|bemerkte
ua|Ти показав на зграю раніше, ніж хтось інший її ..., чесно, вражає.|помітив|помітив|помічав
es|Tú señalaste la bandada antes de que nadie más la ..., sinceramente impresionante.|hubiera visto|haya visto|viera
fr|Tu as montré la nuée du doigt avant que quelqu'un d'autre l'..., franchement impressionnant.|ait remarquée|ait remarquée|remarque
tr|Sen sürüyü başka kimse ... önce gösterdin, açıkçası etkileyici.|fark etmeden|fark etmeden|fark etmeden
hu|Te a madárrajra mutattál, mielőtt bárki más ..., őszintén lenyűgöző.|észrevette volna|észrevette|észrevette
MEDIA 4773 | meaning: a group of people together in one place
E 39732 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If he played a sad song, the gathering ... smaller.|would get|will get|gets
de|Wenn er ein trauriges Lied spielte, ... die Menschenmenge.|schrumpfte|wird schrumpfen|schrumpft
ua|Якби він заграв сумну пісню, юрба ...|поменшала б|поменшає|меншає
es|Si tocara una canción triste, la multitud ...|se haría más pequeña|se hará más pequeña|se hace más pequeña
fr|S'il jouait une chanson triste, l'attroupement ...|rétrécirait|rétrécira|rétrécit
tr|O hüzünlü bir şarkı çalsaydı, kalabalık ...|küçülürdü|küçülecek|küçülüyor
hu|Ha szomorú dalt játszana, a tömeg ...|összezsugorodna|össze fog zsugorodni|összezsugorodik
MEDIA 4775 | meaning: born a very short time ago
E 41250 | B2 type 58 Inversion basic | style chill | options 3 | SEL
en|Never before ... so many people around one newborn baby.|had there been|there had been|had been there
de|Nie zuvor ... so viele Menschen um ein einziges Neugeborenes herum.|waren|waren|waren
ua|Ніколи раніше ... стільки людей навколо одного новонародженого малюка.|не було|не було|не було
es|Nunca antes ... tanta gente alrededor de un solo recién nacido.|había habido|había habido|había habido
fr|Jamais auparavant il n'y ... autant de monde autour d'un seul nouveau-né.|avait eu|avait eu|avait eu
tr|Daha önce hiç tek bir yeni doğmuş bebeğin etrafında bu kadar çok insan ...|olmamıştı|olmamıştı|olmamıştı
hu|Még soha ... ennyi ember egyetlen újszülött baba körül.|nem volt|nem volt|nem volt
MEDIA 4778 | meaning: a small workplace where things are made
E 44832 | B1 type 31 Past Continuous | style ironic | options 3 | SEL
en|While she ... the brass clock in the workshop, the cuckoo clock sang. Not ideal timing.|was fixing|fixed|has fixed
de|Während sie die Messinguhr in der Werkstatt ..., sang die Kuckucksuhr. Nicht ideales Timing.|reparierte|reparierte|repariert hat
ua|Поки вона ... латунний годинник у майстерні, заспівав годинник із зозулею. Не найкращий таймінг.|лагодила|полагодила|полагодила
es|Mientras ... el reloj de latón en el taller, el reloj de cuco cantó. No es el timing ideal.|arreglaba|arregló|ha arreglado
fr|Pendant qu'elle ... l'horloge en laiton dans l'atelier, le coucou a chanté. Pas le timing idéal.|réparait|a réparé|a réparé
tr|O atölyede pirinç saati ..., guguklu saat öttü. Pek ideal bir zamanlama değil.|tamir ederken|tamir ettiğinde|tamir etti
hu|Miközben ő ... a sárgaréz órát a műhelyben, megszólalt a kakukkos óra. Nem ideális időzítés.|javította|megjavította|megjavította
E 44839 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The workshop, ... walls are covered in tools, also holds a carved cuckoo clock.|whose|which|that
de|Die Werkstatt, ... Wände mit Werkzeug bedeckt sind, beherbergt auch eine geschnitzte Kuckucksuhr.|deren|die|welche
ua|Майстерня, ... стіни вкриті інструментами, також має різьблений годинник із зозулею.|чиї|яка|що
es|El taller, ... paredes están cubiertas de herramientas, también guarda un reloj de cuco tallado.|cuyas|que|el cual
fr|L'atelier, ... les murs sont couverts d'outils, abrite aussi une horloge à coucou sculptée.|dont|qui|que
tr|... duvarları aletlerle kaplı olan atölyede oymalı bir guguklu saat de var.|||
hu|A műhely, ... falait szerszámok borítják, egy faragott kakukkos órát is rejt.|amelynek a|amely|ami
MEDIA 4785 | meaning: a paved outdoor area next to a house
E 44023 | B1 type 44 Relative clauses | style gossip | options 3 | SEL
en|Girl, apparently the guy ... poured her juice on the terrace is her new boyfriend.|who|which|whose
de|Mädel, anscheinend ist der Typ, ... ihr auf der Terrasse Saft eingeschenkt hat, ihr neuer Freund.|der|das|dessen
ua|Дівчино, кажуть, хлопець, ... налив їй сік на терасі, — її новий хлопець.|який|що|чий
es|Tía, al parecer el chico ... le sirvió zumo en la terraza es su nuevo novio.|que|el cual|cuyo
fr|Meuf, apparemment le mec ... lui a servi du jus sur la terrasse est son nouveau copain.|qui|que|dont
tr|Kızım, güya ... terasta ona meyve suyu dolduran çocuk onun yeni sevgilisiymiş.|||
hu|Csajszi, állítólag a srác, ... a teraszon gyümölcslevet töltött neki, az új pasija.|aki|ami|akinek
E 44027 | B2 type 65 All Present Tenses | style flirt | options 3 | SEL
en|Honestly, your terrace ... such a charming view of the garden.|has|is having|has had
de|Ehrlich, deine Terrasse ... so einen charmanten Blick auf den Garten.|hat|hat|hatte
ua|Чесно, твоя тераса ... такий чарівний вид на сад.|має|має|мала
es|Sinceramente, tu terraza ... una vista tan encantadora del jardín.|tiene|está teniendo|ha tenido
fr|Franchement, ta terrasse ... une vue si charmante sur le jardin.|a|a|a eu
tr|Açıkçası, terasının bahçeye öyle büyüleyici bir manzarası ...|var|var|vardı
hu|Őszintén, a teraszodról olyan elbűvölő kilátás ... a kertre.|nyílik|nyílik|nyílt
MEDIA 4786 | meaning: to shine with many small flashes of light
E 43329 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|While she ... her fingers through the sand, tiny blue lights sparkled around her hand.|was dragging|dragged|has dragged
de|Während sie ihre Finger durch den Sand ..., funkelten winzige blaue Lichter um ihre Hand.|zog|zog|gezogen hat
ua|Поки вона ... пальцями по піску, навколо її руки мерехтіли крихітні сині вогники.|водила|провела|провела
es|Mientras ... los dedos por la arena, unas lucecitas azules brillaban alrededor de su mano.|arrastraba|arrastró|ha arrastrado
fr|Pendant qu'elle ... ses doigts dans le sable, de minuscules lumières bleues scintillaient autour de sa main.|passait|a passé|a passé
tr|O parmaklarını kumda ..., elinin etrafında minik mavi ışıklar parıldadı.|gezdirirken|gezdirdiğinde|gezdirdi
hu|Miközben ő ... az ujjait a homokban, apró kék fények szikráztak a keze körül.|húzta|végighúzta|végighúzta
E 43339 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The whole shore ... with blue light when she stepped back from the wave.|was sparkling|has sparkled|is sparkling
de|Das ganze Ufer ... in blauem Licht, als sie vor der Welle zurücktrat.|funkelte|hat gefunkelt|funkelt
ua|Увесь берег ... синім світлом, коли вона відступила від хвилі.|мерехтів|замерехтів|мерехтить
es|Toda la orilla ... de luz azul cuando ella retrocedió ante la ola.|estaba brillando|ha brillado|está brillando
fr|Tout le rivage ... de lumière bleue quand elle a reculé devant la vague.|scintillait|a scintillé|scintille
tr|O dalgadan geri çekildiğinde bütün kıyı mavi ışıkla ...|parıldıyordu|parıldadı|parıldıyor
hu|Az egész part kék fényben ..., amikor ő hátralépett a hullám elől.|szikrázott|szikrázott|szikrázik
MEDIA 4787 | meaning: worth a great amount of money or value
E 44470 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|The nuggets look valuable, so he will have them ... in town.|weighed|weigh|to weigh
de|Die Nuggets sehen wertvoll aus, also lässt er sie in der Stadt ...|wiegen|wiegen|wiegen
ua|Самородки виглядають цінними, тож він дасть їх ... у місті.|зважити|зважити|зважити
es|Las pepitas parecen valiosas, así que él las hará ... en el pueblo.|pesar|pesar|pesar
fr|Les pépites ont l'air précieuses, donc il va les faire ... en ville.|peser|peser|peser
tr|Külçeler değerli görünüyor, bu yüzden o onları kasabada ...|tarttıracak|tartacak|tartmak
hu|A rögök értékesnek tűnnek, ezért ő a városban ... őket.|lemérteti|lemér|lemérni
MEDIA 4789 | meaning: the power to give orders and make decisions
E 36911 | B1 type 38 0 Conditional | style flirt | options 3 | SEL
en|Honestly, when you ... that stamp, your authority is clear to everyone.|press|pressed|will press
de|Ehrlich, wenn du den Stempel ..., ist deine Autorität für alle klar.|drückst|drücktest|drücken wirst
ua|Чесно, коли ти ... ту печатку, твій авторитет усім зрозумілий.|ставиш|поставила|поставиш
es|Sinceramente, cuando ... ese sello, tu autoridad queda clara para todos.|pones|pusiste|pondrás
fr|Franchement, quand tu ... ce tampon, ton autorité est claire pour tout le monde.|appuies sur|as appuyé sur|appuieras sur
tr|Açıkçası, sen o mührü ..., otoriten herkes için net.|bastığında|bastığında|basacağında
hu|Őszintén, amikor ... azt a pecsétet, a tekintélyed mindenki számára világos.|lenyomod|lenyomtad|le fogod nyomni
E 36916 | B2 type 56 Reported speech | style slang | options 3 | SEL
en|Bro, the aide kinda admitted ... her authority, no cap.|having questioned|to question|questioned
de|Bro, der Assistent hat irgendwie zugegeben, ihre Autorität ..., kein Witz.|infrage gestellt zu haben|infrage zu stellen|stellte infrage
ua|Бро, помічник типу визнав, що ... її авторитет, без брехні.|ставив під сумнів|ставити під сумнів|поставив під сумнів
es|Bro, el asistente como que admitió ... su autoridad, sin mentir.|haber cuestionado|cuestionar|cuestionó
fr|Frère, l'assistant a genre avoué ... son autorité, sans mentir.|avoir remis en question|remettre en question|a remis en question
tr|Kanka, yardımcı resmen onun otoritesini ... itiraf etti, yalan yok.|sorguladığını|sorgulamayı|sorguladı
hu|Tesó, az asszisztens kábé beismerte, hogy ... a tekintélyét, nem kamu.|megkérdőjelezte|megkérdőjelezni|megkérdőjelezte
MEDIA 4790 | meaning: an open clash between two opposing sides
E 37997 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|The conflict at the table goes on ... the woman watching from the doorway.|despite|although|so that
de|Der Konflikt am Tisch geht weiter, ... der Frau, die von der Tür aus zusieht.|trotz|obwohl|damit
ua|Конфлікт за столом триває ... жінку, яка дивиться з дверей.|попри|хоча|щоб
es|El conflicto en la mesa continúa ... la mujer que mira desde la puerta.|a pesar de|aunque|para que
fr|Le conflit à la table continue ... la femme qui regarde depuis la porte.|malgré|bien que|pour que
tr|Masadaki çatışma, kapıdan izleyen kadına ... sürüyor.|rağmen|gerçi|diye
hu|Az asztalnál a konfliktus az ajtóból figyelő nő ... folytatódik.|ellenére|bár|hogy
MEDIA 4791 | meaning: official writing that gives you information
E 41398 | B2 type 54 Mixed Conditional | style chill | options 3 | SEL
en|If she hadn't brought the papers, the meeting ... on hold right now.|would be|would have been|will be
de|Wenn sie die Unterlagen nicht mitgebracht hätte, ... das Meeting jetzt auf Eis.|läge|hätte gelegen|wird liegen
ua|Якби вона не принесла документи, нарада зараз ... призупинена.|була б|була б|буде
es|Si no hubiera traído los papeles, la reunión ... en pausa ahora mismo.|estaría|habría estado|estará
fr|Si elle n'avait pas apporté les papiers, la réunion ... en suspens en ce moment.|serait|aurait été|sera
tr|O belgeleri getirmeseydi, toplantı şu anda askıya alınmış ...|olurdu|olmuş olurdu|olacak
hu|Ha nem hozta volna el az iratokat, a megbeszélés most ... szüneteltetve.|lenne|lett volna|lesz
MEDIA 4792 | meaning: to put seeds or young plants into the ground
E 41634 | B1 type 34 Present Perfect Simple or Continuos | style dramatic | options 3 | SEL
en|They ... twenty plants already, and the garden is completely transformed!|have planted|have been planting|planted
de|Sie ... schon zwanzig Pflanzen gepflanzt, und der Garten ist komplett verwandelt!|haben|haben|pflanzten
ua|Вони вже ... двадцять рослин, і сад повністю змінився!|посадили|садили|посадили
es|¡Ellos ya ... veinte plantas y el jardín está totalmente transformado!|han plantado|han estado plantando|plantaron
fr|Ils ... déjà vingt plantes, et le jardin est complètement transformé !|ont planté|plantent|ont planté
tr|Onlar şimdiden yirmi bitki ... ve bahçe tamamen değişti!|diktiler|dikiyorlar|diktiler
hu|Ők már húsz növényt ..., és a kert teljesen átalakult!|ültettek el|ültetnek|ültettek
E 41639 | B2 type 65 All Present Tenses | style slang | options 3 | SEL
en|Yo, the whole family ... flowers right now, kinda wholesome.|is planting|plants|has planted
de|Yo, die ganze Familie ... gerade Blumen, irgendwie süß.|pflanzt|pflanzt|hat gepflanzt
ua|Йо, вся родина зараз ... квіти, якось мило.|садить|садить|посадила
es|Oye, toda la familia ... flores ahora mismo, qué bonito.|está plantando|planta|ha plantado
fr|Yo, toute la famille ... des fleurs en ce moment, trop mignon.|plante|plante|a planté
tr|Yo, bütün aile şu anda çiçek ..., bayağı tatlı.|dikiyor|diker|dikti
hu|Figyu, az egész család épp virágot ..., elég cuki.|ültet|ültet|ültetett
MEDIA 4793 | meaning: to rub something smooth with sandpaper
E 42583 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The sandpaper ... he used to sand the roof was folded in half.|that|who|whose
de|Das Schleifpapier, ... er zum Schleifen des Dachs benutzte, war in der Mitte gefaltet.|das|der|dessen
ua|Наждачний папір, ... він шліфував дах, був складений навпіл.|яким|хто|чий
es|La lija ... usó para lijar el tejado estaba doblada por la mitad.|que|quien|cuya
fr|Le papier de verre ... il a utilisé pour poncer le toit était plié en deux.|qu'|qui|dont
tr|... çatıyı zımparalamak için kullandığı zımpara kâğıdı ikiye katlanmıştı.|||
hu|A csiszolópapír, ... a tetőt csiszolta, félbe volt hajtva.|amivel|aki|akinek
E 42589 | B2 type 50 Past Perfect Continuous | style nerd | options 3 | SEL
en|The craftsman ... the roof for approximately ten minutes before the surface was smooth.|had been sanding|has been sanding|was sanding
de|Der Handwerker ... das Dach etwa zehn Minuten lang geschliffen, bevor die Oberfläche glatt war.|hatte|hat|schliff
ua|Майстер ... дах приблизно десять хвилин, поки поверхня не стала гладкою.|шліфував|шліфує|шліфував
es|El artesano ... el tejado durante aproximadamente diez minutos antes de que la superficie quedara lisa.|había estado lijando|ha estado lijando|estaba lijando
fr|L'artisan ... le toit pendant environ dix minutes avant que la surface soit lisse.|avait poncé|a poncé|ponçait
tr|Zanaatkâr, yüzey pürüzsüz hale gelmeden önce çatıyı yaklaşık on dakika ...|zımparalamıştı|zımparalıyor|zımparalıyordu
hu|A mesterember körülbelül tíz percig ... a tetőt, mire a felület sima lett.|csiszolta|csiszolja|csiszolta
MEDIA 4796 | meaning: to bring something into balance so it is steady
E 37035 | B1 type 39 1. Conditional | style dramatic | options 3 | SEL
en|If someone sneezes, the cards he balanced ... completely!|will collapse|would collapse|collapsed
de|Wenn jemand niest, ... die Karten, die er ausbalanciert hat, komplett ein!|stürzen|stürzten|stürzten
ua|Якщо хтось чхне, карти, які він збалансував, ... повністю!|обваляться|обвалилися б|обвалилися
es|¡Si alguien estornuda, las cartas que él equilibró se ... por completo!|derrumbarán|derrumbarían|derrumbaron
fr|Si quelqu'un éternue, les cartes qu'il a équilibrées ... complètement !|s'effondreront|s'effondreraient|se sont effondrées
tr|Biri hapşırırsa, onun dengelediği kartlar tamamen ...!|çökecek|çökerdi|çöktü
hu|Ha valaki tüsszent, a kártyák, amiket ő egyensúlyba hozott, teljesen ...!|összeomlanak|összeomlanának|összeomlottak
E 37040 | B2 type 67 All Future Tenses | style ironic | options 3 | SEL
en|By dinner, he ... fifty cards into a castle. No big deal.|will have balanced|will balance|balances
de|Bis zum Abendessen ... er fünfzig Karten zu einem Schloss aufgebaut. Keine große Sache.|hat|wird|baut
ua|До вечері він ... п'ятдесят карт у замок. Нічого особливого.|складе|складе|складає
es|Para la cena, él ... cincuenta cartas en un castillo. Nada del otro mundo.|habrá equilibrado|equilibrará|equilibra
fr|D'ici le dîner, il ... cinquante cartes en château. Rien de fou.|aura équilibré|équilibrera|équilibre
tr|Akşam yemeğine kadar o elli kartı bir kale şeklinde ...! Çok da büyük olay değil.|dengelemiş olacak|dengeleyecek|dengeliyor
hu|Vacsorára ő ... egy várat ötven kártyából. Semmi különös.|felépíti|fel fogja építeni|építi
MEDIA 4799 | meaning: to fasten something with a cord or string
E 44085 | B2 type 60 Wish clauses | style chill | options 3 | SEL
en|He wishes he ... how to tie a bow tie before the big day.|had learned|learned|would learn
de|Er wünscht sich, dass er vor dem großen Tag ..., wie man eine Fliege bindet.|gelernt hätte|lernte|lernen würde
ua|Він шкодує, що не ... зав'язувати метелика до великого дня.|навчився|навчився|навчився б
es|Él desearía ... a atar una pajarita antes del gran día.|haber aprendido|aprender|aprendería
fr|Il aimerait ... à nouer un nœud papillon avant le grand jour.|avoir appris|apprendre|apprendrait
tr|O, büyük günden önce papyon bağlamayı ... diliyor.|öğrenmiş olmayı|öğrenmeyi|öğreneceğini
hu|Ő azt kívánja, bárcsak a nagy nap előtt ..., hogyan kell csokornyakkendőt kötni.|megtanulta volna|megtanulta|megtanulná
MEDIA 4800 | meaning: the man who is getting married at a wedding
E 39893 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|The groom finished ... his bow tie and walked out to the garden.|fixing|to fix|fix
de|Der Bräutigam war fertig damit, seine Fliege zu ..., und ging hinaus in den Garten.|richten|richten|richten
ua|Наречений закінчив ... метелика й вийшов у сад.|поправляти|поправити|поправити
es|El novio terminó de ... la pajarita y salió al jardín.|arreglarse|arreglarse|arreglarse
fr|Le marié a fini d'... son nœud papillon et est sorti dans le jardin.|ajuster|ajuster|ajuster
tr|Damat papyonunu ... bitirdi ve bahçeye çıktı.|düzeltmeyi|düzeltmeyi|düzeltmeyi
hu|A vőlegény befejezte a csokornyakkendője ..., és kiment a kertbe.|igazgatását|igazgatását|igazgatását
E 39896 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|The groom ... in front of the mirror for an hour before the wedding! A nightmare!|had been standing|has been standing|was standing
de|Der Bräutigam ... vor der Hochzeit eine Stunde lang vor dem Spiegel gestanden! Ein Albtraum!|hatte|hat|stand
ua|Наречений ... перед дзеркалом цілу годину перед весіллям! Жах!|стояв|стоїть|стояв
es|¡El novio ... una hora delante del espejo antes de la boda! ¡Una pesadilla!|había estado|ha estado|estaba
fr|Le marié ... devant le miroir pendant une heure avant le mariage ! Un cauchemar !|était resté|est resté|restait
tr|Damat düğünden önce bir saat boyunca aynanın karşısında ...! Tam bir kâbus!|durmuştu|duruyor|duruyordu
hu|A vőlegény egy órán át ... a tükör előtt az esküvő előtt! Rémálom!|állt|áll|állt
MEDIA 4803 | meaning: a bunch of flowers arranged and held together
E 37323 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The woman ... brought the bouquet also carries a bottle.|who|which|whose
de|Die Frau, ... den Blumenstrauß mitgebracht hat, trägt auch eine Flasche.|die|das|deren
ua|Жінка, ... принесла букет, несе й пляшку.|яка|що|чия
es|La mujer ... trajo el ramo también lleva una botella.|que|la cual|cuya
fr|La femme ... a apporté le bouquet porte aussi une bouteille.|qui|que|dont
tr|... buketi getiren kadın bir şişe de taşıyor.|||
hu|A nő, ... a csokrot hozta, egy üveget is visz.|aki|ami|akinek
E 37327 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Girl, apparently the host ... bouquets from her twice this year.|has received|receives|is receiving
de|Mädel, anscheinend hat der Gastgeber dieses Jahr schon zweimal Blumensträuße von ihr ...|bekommen|bekommen|bekommen
ua|Дівчино, кажуть, господар цього року вже двічі ... від неї букети.|отримав|отримує|отримує
es|Tía, al parecer el anfitrión ... ramos de ella dos veces este año.|ha recibido|recibe|está recibiendo
fr|Meuf, apparemment l'hôte ... des bouquets de sa part deux fois cette année.|a reçu|reçoit|reçoit
tr|Kızım, güya ev sahibi bu yıl ondan iki kez buket ...|almış|alıyor|alıyor
hu|Csajszi, állítólag a házigazda idén kétszer ... tőle csokrot.|kapott|kap|kap
MEDIA 4804 | meaning: to make a trip round a place to see it
E 44182 | B1 type 31 Past Continuous | style ironic | options 3 | SEL
en|While they ... the blue town, a donkey blocked the lane. A slightly unplanned stop.|were touring|toured|have toured
de|Während sie das blaue Städtchen ..., blockierte ein Esel die Gasse. Ein leicht ungeplanter Stopp.|besichtigten|besichtigten|besichtigt haben
ua|Поки вони ... синє містечко, віслюк перегородив провулок. Трохи незапланована зупинка.|оглядали|оглянули|оглянули
es|Mientras ... el pueblo azul, un burro bloqueó el callejón. Una parada un poco imprevista.|recorrían|recorrieron|han recorrido
fr|Pendant qu'ils ... la ville bleue, un âne a bloqué la ruelle. Un arrêt un peu imprévu.|visitaient|ont visité|ont visité
tr|Onlar mavi kasabayı ..., bir eşek ara sokağı kapattı. Biraz plansız bir mola.|gezerken|gezdiklerinde|gezdiler
hu|Miközben ők ... a kék városkát, egy szamár elállta a sikátort. Kicsit nem tervezett megálló.|járták|bejárták|bejárták
E 44184 | B2 type 53 3. Conditional | style slang | options 3 | SEL
en|Nah, if the donkey hadn't moved, we ... the square at all, bro.|wouldn't have toured|won't tour|didn't tour
de|Nee, wenn der Esel sich nicht bewegt hätte, ... wir den Platz überhaupt nicht besichtigt, Bro.|hätten|werden|haben
ua|Не, якби віслюк не зрушив, ми ... площу взагалі, бро.|не оглянули б|не оглянемо|не оглянули
es|Qué va, si el burro no se hubiera movido, nosotros no ... la plaza para nada, bro.|habríamos visto|veremos|vimos
fr|Nan, si l'âne n'avait pas bougé, on ... la place du tout, frère.|n'aurait pas visité|ne visitera pas|n'a pas visité
tr|Yok, eşek kıpırdamasaydı, biz meydanı hiç ..., kanka.|gezmezdik|gezmeyeceğiz|gezmedik
hu|Á, ha a szamár nem mozdult volna meg, mi egyáltalán nem ... a teret, tesó.|jártuk volna be|fogjuk bejárni|jártuk be
MEDIA 4806 | meaning: a round roof shaped like half a ball
E 38722 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If the sun ... the dome at sunset, it glows orange.|hits|hit|will hit
de|Wenn die Sonne beim Sonnenuntergang auf die Kuppel ..., leuchtet sie orange.|trifft|traf|treffen wird
ua|Коли сонце на заході ... на купол, він світиться помаранчевим.|падає|впало|впаде
es|Si el sol ... la cúpula al atardecer, esta brilla naranja.|toca|tocó|tocará
fr|Si le soleil ... le dôme au crépuscule, il brille d'orange.|frappe|a frappé|frappera
