MEDIA 5052 | meaning: having little physical weight, not heavy
E 33728 | A1 type 1 TO BE | style chill | options 3 | SEL
MEDIA 5288 | meaning: narrow runners used in pairs to glide on snow
E 35224 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The skier ... fast skis and ski poles.|has got|have got|has get
de|Der Skifahrer ... schnelle Skier und Skistöcke.|hat|haben|hat
ua|Лижник ... швидкі лижі й лижні палиці.|має|мати|має
es|El esquiador ... esquís rápidos y bastones.|tiene|tienen|tiene
fr|Le skieur ... des skis rapides et des bâtons.|a|ont|a
tr|Kayakçının hızlı kayakları ve kayak batonları ...|var|var|var
hu|A síelőnek gyors lécei és síbotjai ...|van|van|van
E 35228 | A2 type 21 There is, are | style business | options 3 | SEL
en|Report: there ... 200 pairs of skis on the slope today.|are|is|be
de|Bericht: Heute ... 200 Paar Skier auf der Piste.|sind|ist|sein
ua|Звіт: сьогодні на схилі ... 200 пар лиж.|є|є|бути
es|Informe: hoy ... 200 pares de esquís en la pista.|hay|hay|hay
fr|Rapport : aujourd'hui, ... 200 paires de skis sur la piste.|il y a|il y a|il y a
tr|Rapor: bugün pistte 200 çift kayak ...|var|var|olmak
hu|Jelentés: ma 200 pár síléc ... a pályán.|van|van|lenni
MEDIA 5293 | meaning: the handwear used to catch a baseball
E 32996 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The infielder ... a brown leather glove.|has got|have got|has get
de|Der Infielder ... einen braunen Lederhandschuh.|hat|haben|hat
ua|Інфілдер ... коричневу шкіряну рукавицю.|має|мати|має
es|El jugador de cuadro ... un guante de cuero marrón.|tiene|tienen|tiene
fr|Le joueur de champ intérieur ... un gant en cuir marron.|a|ont|a
tr|İç saha oyuncusunun kahverengi deri bir eldiveni ...|var|var|var
hu|A belső mezőnyjátékosnak ... egy barna bőrkesztyűje.|van|van|van
E 33001 | A2 type 23 Must, Have to... | style dramatic | options 3 | SEL
en|Coach's rule! The fielder ... wear his glove. Total disaster otherwise!|has to|must|should
de|Trainerregel! Der Feldspieler ... seinen Handschuh tragen. Sonst totale Katastrophe!|muss|muss|sollte
ua|Правило тренера! Гравець ... носити свою рукавицю. Інакше повна катастрофа!|має|мусить|мав би
es|¡Norma del entrenador! El jugador ... llevar su guante. ¡Si no, desastre total!|tiene que|debe|debería
fr|Règle du coach ! Le joueur ... porter son gant. Sinon, catastrophe totale !|doit|doit|devrait
tr|Koçun kuralı! Oyuncu eldivenini ..., yoksa tam bir felaket!|giymek zorunda|giymeli|giymeli
hu|Az edző szabálya! A játékosnak ... viselnie a kesztyűjét. Különben totális katasztrófa!|kell|kell|kellene
MEDIA 5294 | meaning: soft warm shoes worn inside the house
E 35250 | A1 type 7 This, That, These... | style flirt | options 3 | SEL
en|Honestly, ... sheep slippers on your feet are so charming.|these|this|that
de|Ehrlich, ... Schaf-Hausschuhe an deinen Füßen sind so süß.|diese|diese|jene
ua|Чесно, ... капці-овечки на твоїх ногах такі чарівні.|ці|ці|ті
es|Sinceramente, ... zapatillas de oveja en tus pies son monísimas.|estas|esta|esa
fr|Franchement, ... chaussons mouton à tes pieds sont trop charmants.|ces|ce|ce
tr|Açıkçası ayağındaki ... koyunlu terlikler çok tatlı.|bu|bu|şu
hu|Őszintén, ... a bárányos papucsok a lábadon nagyon cukik.|ezek|ez|az
MEDIA 5296 | meaning: done the old way, from tradition
E 36024 | A1 type 1 TO BE | style chill | options 3 | SEL
en|His hat and shirt ... traditional.|are|is|am
de|Sein Hut und sein Hemd ... traditionell.|sind|ist|bin
ua|Його капелюх і сорочка ... традиційні.|є|є|є
es|Su sombrero y su camisa ... tradicionales.|son|es|soy
fr|Son chapeau et sa chemise ... traditionnels.|sont|est|suis
tr|Onun şapkası ve gömleği geleneksel ...|||
hu|A kalapja és az inge ... hagyományos.|||vagyok
E 36027 | A2 type 14 Present Continuous | style gossip | options 3 | SEL
en|Guess what, I heard he ... a traditional dish right now.|is cooking|cooks|cooking
de|Rate mal, ich hab gehört, er ... gerade ein traditionelles Gericht.|kocht|kocht|kochend
ua|Вгадай що, я чула, що він зараз ... традиційну страву.|готує|готує|готуючи
es|Adivina qué, yo he oído que ahora mismo ... un plato tradicional.|está cocinando|cocina|cocinando
fr|Devine quoi, j'ai entendu qu'il ... un plat traditionnel en ce moment.|est en train de cuisiner|cuisine|cuisinant
tr|Bil bakalım, ben duydum ki şu an geleneksel bir yemek ...|pişiriyor|pişirir|pişirerek
hu|Találd ki, én azt hallottam, hogy most épp egy hagyományos ételt ...|főz|főz|főző
MEDIA 5299 | meaning: not allowed by law or the rules
E 33452 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... is in the bag? Illegal cheese and sausages.|What|Who|Where
de|... ist in der Tasche? Illegaler Käse und Würste.|Was|Wer|Wo
ua|... у сумці? Нелегальний сир і ковбаси.|Що|Хто|Де
es|¿... hay en la bolsa? Queso y salchichas ilegales.|Qué|Quién|Dónde
fr|... est dans le sac ? Du fromage et des saucisses illégaux.|Qu'est-ce qui|Qui|Où
tr|Çantada ... var? Yasadışı peynir ve sucuklar.|ne|kim|nerede
hu|... van a táskában? Illegális sajt és kolbászok.|Mi|Ki|Hol
  ~soft: SEL: pronoun inside an option
E 33456 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|He usually scans bags, but now he ... this illegal food.|is checking|checks|
de|Er scannt sonst Taschen, aber jetzt ... er dieses illegale Essen.|kontrolliert|kontrolliert|
ua|Він зазвичай сканує сумки, але зараз ... цю нелегальну їжу.|перевіряє|перевіряє|
es|Normalmente él escanea bolsas, pero ahora ... esta comida ilegal.|está revisando|revisa|
fr|D'habitude il scanne les sacs, mais maintenant il ... cette nourriture illégale.|est en train de contrôler|contrôle|
tr|O genelde çanta tarar ama şimdi bu yasadışı yiyecekleri ...|kontrol ediyor|kontrol eder|
hu|Ő általában táskákat szkennel, de most ezt az illegális ételt ...|ellenőrzi|ellenőrzi|
MEDIA 5303 | meaning: a single small ice crystal that falls as snow
E 35311 | A1 type 11 Cardinal numbers | style flirt | options 3 | SEL
en|Honestly impressive: you count to ten, and snowflake number ... lands.|ten|tenth|tens
de|Ehrlich beeindruckend: Du zählst bis zehn, und Schneeflocke Nummer ... landet.|zehn|zehnte|Zehnen
ua|Чесно, вражає: ти рахуєш до десяти, і сніжинка номер ... приземляється.|десять|десята|десятки
es|Sinceramente impresionante: tú cuentas hasta diez y el copo número ... aterriza.|diez|décimo|diez
fr|Franchement impressionnant : tu comptes jusqu'à dix, et le flocon numéro ... atterrit.|dix|dixième|dix
tr|Açıkçası etkileyici: sen ona kadar sayıyorsun ve ... numaralı kar tanesi konuyor.|on|onuncu|onlar
hu|Őszintén lenyűgöző: te elszámolsz tízig, és leszáll a hópehely, amelynek a száma ...|tíz|tizedik|tízesek
E 35317 | A2 type 23 Must, Have to... | style flirt | options 3 | SEL
en|Honestly, your own plan is cool: you ... catch one more snowflake.|must|have to|should
de|Ehrlich, dein eigener Plan ist cool: Du ... noch eine Schneeflocke fangen.|musst|musst|solltest
ua|Чесно, твій власний план крутий: ти ... впіймати ще одну сніжинку.|мусиш|маєш|мала б
es|Sinceramente, tu propio plan es guay: tú ... atrapar un copo más.|debes|tienes que|deberías
fr|Franchement, ton propre plan est cool : tu ... attraper encore un flocon.|dois|dois|devrais
tr|Açıkçası kendi planın havalı: sen bir kar tanesi daha ...|yakalamalısın|yakalamak zorundasın|yakalamalısın
hu|Őszintén, a saját terved menő: neked még egy hópelyhet ... elkapnod.|kell|kell|kellene
MEDIA 5305 | meaning: a large social group with its own culture
E 35329 | A2 type 26 Basic conjunctions | style chill | options 3 | SEL
en|Everyone in this society has a job, ... the town works well.|so|but|because
de|Jeder in dieser Gesellschaft hat einen Job, ... funktioniert die Stadt gut.|also|aber|weil
ua|Кожен у цьому суспільстві має роботу, ... місто добре працює.|тому|але|бо
es|Todos en esta sociedad tienen trabajo, ... la ciudad funciona bien.|así que|pero|porque
fr|Tout le monde dans cette société a un travail, ... la ville fonctionne bien.|donc|mais|parce que
tr|Bu toplumda herkesin bir işi var, ... kasaba iyi işliyor.|bu yüzden|ama|çünkü
hu|Ebben a társadalomban mindenkinek van munkája, ... a város jól működik.|ezért|de|mert
MEDIA 5308 | meaning: a very tall flower with a big round yellow head
E 35656 | A1 type 4 Modal verb CAN | style flirt | options 3 | SEL
en|Honestly, you ... carry ten sunflowers in two arms. Impressive.|can|cans|are
de|Ehrlich, du ... zehn Sonnenblumen in zwei Armen tragen. Beeindruckend.|kannst|kannst|bist
ua|Чесно, ти ... нести десять соняшників у двох руках. Вражає.|можеш|можеш|є
es|Sinceramente, tú ... llevar diez girasoles en los dos brazos. Impresionante.|puedes|puedes|estás
fr|Franchement, tu ... porter dix tournesols dans tes deux bras. Impressionnant.|peux|peux|es
tr|Açıkçası sen iki kolunla on ayçiçeği ..., etkileyici.|taşıyabilirsin|taşıyabilirsin|
hu|Őszintén, te ... tíz napraforgót vinni két kézben. Lenyűgöző.|tudsz|tudsz|vagy
MEDIA 5309 | meaning: a short written record
E 34088 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|She finds the note ... Monday morning.|on|in|at
de|Sie findet die Notiz ... Montagmorgen.|am|im|um
ua|Вона знаходить записку ... понеділок уранці.|у|у|о
es|Ella encuentra la nota ... el lunes por la mañana.||en|a
fr|Elle trouve le mot ... lundi matin.||dans|à
tr|O notu pazartesi sabahı ... buluyor.|||
hu|Ő ... reggel találja meg a cetlit.|hétfőn|hétfőben|hétfőkor
E 34092 | A2 type 18 Going to or Will | style gossip | options 2 | SEL
en|Bestie, she's up with the note, so apparently she ... ask everyone.|is going to|will|
de|Bestie, sie ist mit dem Zettel aufgestanden, also ... sie anscheinend alle fragen.|wird|wird|
ua|Подруго, вона встала з запискою, тож, кажуть, ...|збирається спитати всіх|спитає всіх|
es|Amiga, ella se ha levantado con la nota, así que al parecer ... preguntar a todo el mundo.|va a||
fr|Ma belle, elle s'est levée avec le mot, donc apparemment elle ... demander à tout le monde.|va||
tr|Kankam, o notla ayağa kalktı, yani anlaşılan herkese ...|soracak|soracak|
hu|Csajszi, ő felállt a cetlivel, szóval állítólag mindenkit meg ... kérdezni.|fog|fog|
MEDIA 5310 | meaning: a male child of his parents
E 35359 | A1 type 11 Cardinal numbers | style clueless | options 3 | SEL
en|They have got ... son, because one boy is one son.|one|first|once
de|Sie haben ... Sohn, weil ein Junge ein Sohn ist.|einen|ersten|einmal
ua|Вони мають ... сина, бо один хлопчик — це один син.|одного|першого|раз
es|Ellos tienen ... hijo, porque un niño es un hijo.|un|primer|una vez
fr|Ils ont ... fils, parce qu'un garçon, c'est un fils.|un|premier|une fois
tr|Onların ... oğlu var, çünkü bir oğlan bir oğuldur.|bir|birinci|bir kez
hu|Nekik ... fiuk van, mert egy fiú az egy fiú.|egy|első|egyszer
E 35365 | A2 type 17 Future BE GOING TO | style slang | options 3 | SEL
en|Yo, dad and son ... play football after this, fr.|are going to|is going to|are go to
de|Yo, Vater und Sohn ... danach Fußball spielen, echt.|werden|wird|werden
ua|Йо, тато й син ... потім грати у футбол, реально.|збираються|збирається|збираються
es|Eh, padre e hijo ... jugar al fútbol después de esto, en serio.|van a|va a|van a
fr|Yo, le père et le fils ... jouer au foot après ça, grave.|vont|va|vont
tr|Kanka, baba oğul bundan sonra futbol ..., cidden.|oynayacaklar|oynayacak|oynayacaklar
hu|Figyu, apa és fia ez után focizni ..., komolyan.|fognak|fog|fognak
MEDIA 5315 | meaning: a card with a picture you write on and send
E 34487 | A1 type 3 Present Simple | style slang | options 3 | SEL
en|Yo, she ... her postcards out 'cause she's proud.|fans|fan|fanning
de|Yo, sie ... ihre Postkarten wie einen Fächer aus, weil sie stolz ist.|breitet|ausbreiten|ausbreitend
ua|Йо, вона ... свої листівки віялом, бо пишається.|розкладає|розкладати|розкладаючи
es|Eh, ella ... sus postales en abanico porque está orgullosa.|despliega|desplegar|desplegando
fr|Yo, elle ... ses cartes postales en éventail parce qu'elle est fière.|étale|étaler|étalant
tr|Kanka, o kartpostallarını yelpaze gibi ... çünkü gururlu.|açar|açmak|açarak
hu|Figyu, ő legyezőszerűen ... a képeslapjait, mert büszke.|szétteríti|szétteríteni|szétterítő
E 34492 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|She ... write her postcards before she flies home.|should|shoulds|should to
de|Sie ... ihre Postkarten schreiben, bevor sie nach Hause fliegt.|sollte|sollte|sollte
ua|Вона ... написати свої листівки, перш ніж полетить додому.|мала б|мала б|мала б
es|Ella ... escribir sus postales antes de volar a casa.|debería|debería|debería
fr|Elle ... écrire ses cartes postales avant de rentrer en avion.|devrait|devrait|devrait
tr|O eve uçmadan önce kartpostallarını ...|yazmalı|yazmalı|yazmalı
hu|Neki ... megírnia a képeslapjait, mielőtt hazarepül.|kellene|kellene|kellene
MEDIA 5318 | meaning: to express something in speech
E 35394 | A1 type 3 Present Simple | style dramatic | options 3 | SEL
en|She ... to the crowd, and they scream!|speaks|speak|speaking
de|Sie ... zur Menge, und sie schreien!|spricht|sprechen|sprechend
ua|Вона ... до натовпу, і вони кричать!|говорить|говорити|говорячи
es|¡Ella ... a la multitud y gritan!|habla|hablar|hablando
fr|Elle ... à la foule, et ils crient !|parle|parler|parlant
tr|O kalabalığa ..., onlar da çığlık atıyor!|konuşur|konuşmak|konuşarak
hu|Ő ... a tömeghez, és azok sikítanak!|beszél|beszélni|beszélő
E 35397 | A2 type 12 Past Simple | style chill | options 3 | SEL
en|Yesterday she ... to a big crowd in the square.|spoke|speaks|speaked
de|Gestern ... sie zu einer großen Menge auf dem Platz.|sprach|spricht|sprach
ua|Учора вона ... до великого натовпу на площі.|говорила|говорить|говорила
es|Ayer ella ... a una gran multitud en la plaza.|habló|habla|habló
fr|Hier, elle ... à une grande foule sur la place.|a parlé|parle|a parlé
tr|Dün o meydanda büyük bir kalabalığa ...|konuştu|konuşur|konuştu
hu|Tegnap ő ... egy nagy tömeghez a téren.|beszélt|beszél|beszélt
MEDIA 5319 | meaning: a network formed by weaving threads
E 36315 | A2 type 26 Basic conjunctions | style chill | options 3 | SEL
en|The spider hangs under the web ... it waits for food.|because|but|so
de|Die Spinne hängt unter dem Netz, ... sie auf Futter wartet.|weil|aber|also
ua|Павук висить під павутиною, ... чекає на їжу.|бо|але|тому
es|La araña cuelga bajo la telaraña ... espera comida.|porque|pero|así que
fr|L'araignée est suspendue sous la toile ... elle attend de la nourriture.|parce qu'|mais|donc
tr|Örümcek ağın altında asılı duruyor ... yiyecek bekliyor.|çünkü|ama|bu yüzden
hu|A pók a háló alatt lóg, ... élelemre vár.|mert|de|ezért
MEDIA 5321 | meaning: to glide over ice wearing ice skates
E 35217 | A2 type 15 Present Continuous or Simple | style flirt | options 2 | SEL
en|You usually skate fast, but now you ... slowly. So smooth, honestly.|are skating|skate|
de|Du läufst sonst schnell Schlittschuh, aber jetzt ... du langsam Schlittschuh. So elegant, ehrlich.|läufst|läufst|
ua|Ти зазвичай катаєшся швидко, але зараз ти ... повільно. Так плавно, чесно.|катаєшся|катаєшся|
es|Normalmente tú patinas rápido, pero ahora ... despacio. Qué estilo, de verdad.|estás patinando|patinas|
fr|D'habitude tu patines vite, mais là tu ... lentement. Trop fluide, franchement.|es en train de patiner|patines|
tr|Sen genelde hızlı paten kayarsın ama şimdi yavaş ..., çok akıcı, açıkçası.|kayıyorsun|kayarsın|
hu|Te általában gyorsan korcsolyázol, de most lassan ..., olyan elegáns, őszintén.|korcsolyázol|korcsolyázol|
MEDIA 5323 | meaning: a lump or mass of hard rock
E 35532 | A1 type 8 My, Your, His,... | style dramatic | options 3 | SEL
en|Disaster! He throws ... stone into the lake! It's gone forever!|his|her|their
de|Katastrophe! Er wirft ... Stein in den See! Er ist für immer weg!|seinen|ihren|ihren
ua|Катастрофа! Він кидає ... камінь в озеро! Він зник назавжди!|свій|свій|свій
es|¡Desastre! ¡Él tira ... piedra al lago! ¡Se ha ido para siempre!|su|su|su
fr|Catastrophe ! Il jette ... pierre dans le lac ! Elle est partie pour toujours !|sa|sa|leur
tr|Felaket! O ... taşını göle atıyor! Sonsuza dek gitti!|onun|onun|onların
hu|Katasztrófa! Ő bedobja a ... a tóba! Örökre eltűnt!|kövét|kövét|kövüket
E 35535 | A2 type 21 There is, are | style ironic | options 3 | SEL
en|A tiny pebble, obviously: there ... one huge stone in his hands.|is|are|be
de|Ein winziges Kieselsteinchen, klar: In seinen Händen ... ein riesiger Stein.|ist|sind|sein
ua|Крихітний камінчик, звісно: у його руках ... один величезний камінь.|є|є|бути
es|Un guijarro diminuto, obviamente: ... una piedra enorme en sus manos.|hay|hay|hay
fr|Un minuscule caillou, évidemment : ... une énorme pierre dans ses mains.|il y a|il y a|il y a
tr|Minicik bir çakıl taşı tabii: ellerinde kocaman bir taş ...|var|var|olmak
hu|Apró kavics, persze: a kezében egy hatalmas kő ...|van|vannak|lenni
