MEDIA 4233 | meaning: rock cut into blocks for building
E 35541 | A2 type 20 Much, Many, Some... | style dramatic | options 3 | SEL
hu|Hamarosan ez a rovar pillangóvá ...|fog válni|válik|vált
MEDIA 4503 | meaning: to hope for something
E 36420 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does she wish for? A trip to Japan.|What|Who|Where
de|... wünscht sie sich? Eine Reise nach Japan.|Was|Wer|Wo
ua|... вона бажає? Подорож до Японії.|Чого|Хто|Де
es|¿... desea ella? Un viaje a Japón.|Qué|Quién|Dónde
fr|... souhaite-t-elle ? Un voyage au Japon.|Que|Qui|Où
tr|O ... diliyor? Japonya'ya bir gezi.|ne|kim|nerede
hu|... kíván ő? Egy japán utat.|Mit|Ki|Hol
E 36423 | A2 type 23 Must, Have to... | style slang | options 3 | SEL
en|Bro, she's like: I ... make the best wish ever, no cap.|must|have to|should
de|Alter, sie so: Ich ... den besten Wunsch aller Zeiten machen, ohne Witz.|muss|muss|sollte
ua|Бро, вона така: я ... загадати найкраще бажання в житті, без жартів.|мушу|маю|мала б
es|Tío, ella en plan: yo ... pedir el mejor deseo de la historia, en serio.|debo|tengo que|debería
fr|Frérot, elle est genre : je ... faire le meilleur vœu de tous les temps, sans mentir.|dois|dois|devrais
tr|Kanka, o resmen şöyle: Ben şimdiye kadarki en iyi dileği ..., cidden.|dilemeliyim|dilemek zorundayım|dilemeliyim
hu|Tesó, ő olyan, hogy: nekem minden idők legjobb kívánságát ... kívánnom, komolyan.|kell|kell|kellene
MEDIA 4504 | meaning: an event that achieves its intended purpose
E 35621 | A1 type 8 My, Your, His,... | style slang | options 3 | SEL
en|Yo, she throws up ... arms, 'cause the success is so big.|her|his|its
de|Yo, sie reißt ... Arme hoch, weil der Erfolg so groß ist.|ihre|seine|seine
ua|Йо, вона підкидає ... руки вгору, бо успіх такий великий.|свої|свої|свої
es|Ey, ella levanta ... brazos porque el éxito es enorme.|sus|sus|sus
fr|Yo, elle lève ... bras, parce que le succès est énorme.|ses|ses|ses
tr|Hey, o ... kollarını havaya kaldırıyor çünkü başarı çok büyük.|onun|onun|onun
hu|Hé, ő a magasba lendíti a ..., mert a siker hatalmas.|karjait|karjait|karjait
E 35625 | A2 type 21 There is, are | style dramatic | options 3 | SEL
en|There ... balloons everywhere! This success is completely crazy!|are|is|be
de|Überall ... Luftballons! Dieser Erfolg ist komplett verrückt!|sind|ist|sein
ua|Всюди ... повітряні кульки! Цей успіх просто божевільний!|є|є|бути
es|¡... globos por todas partes! ¡Este éxito es una locura total!|Hay|Hay|Hay
fr|... des ballons partout ! Ce succès est complètement fou !|Il y a|Il y a|Il y a
tr|Her yerde balon ...! Bu başarı tamamen çılgınca!|var|var|olmak
hu|Mindenhol lufik ...! Ez a siker teljesen őrült!|vannak|van|lenni
MEDIA 4509 | meaning: to have a certain weight
E 36326 | A2 type 12 Past Simple | style gossip | options 3 | SEL
en|Listen, apparently his bag ... 12.95 kilos yesterday.|weighed|weighs|weighted
de|Hör zu, angeblich ... seine Tasche gestern 12,95 Kilo.|wog|wiegt|wog
ua|Слухай, кажуть, його сумка вчора ... 12,95 кіло.|важила|важить|важила
es|Oye, al parecer su bolsa ... 12,95 kilos ayer.|pesó|pesa|pesó
fr|Écoute, apparemment son sac ... 12,95 kilos hier.|a pesé|pèse|a pesé
tr|Dinle, güya onun çantası dün 12,95 kilo ...|geldi|gelir|geldi
hu|Figyelj, állítólag a táskája tegnap 12,95 kilót ...|nyomott|nyom|nyomott
MEDIA 4512 | meaning: an ordered set of names or items
E 33741 | A1 type 6 A, AN, THE | style chill | options 3 | SEL
en|He has got a list. ... list has twenty boxes.|The|A|An
de|Er hat eine Liste. ... Liste hat zwanzig Kästchen.|Die|Eine|Eine
ua|Він має список. ... список має двадцять клітинок.|||
es|Él tiene una lista. ... lista tiene veinte casillas.|La|Una|Una
fr|Il a une liste. ... liste a vingt cases.|La|Une|Une
tr|Onun bir listesi var. ... listede yirmi kutucuk var.||Bir|Bir
  ~soft: no diacritics at all
hu|Neki van egy listája. ... listán húsz négyzet van.|A|Egy|Egy
E 33744 | A2 type 19 Countable and uncountable | style dramatic | options 3 | SEL
en|The worst day! His list has so much ... on it!|information|informations|an information
de|Der schlimmste Tag! Auf seiner Liste stehen so viele ...!|Informationen|Informationen|eine Information
ua|Найгірший день! У його списку стільки ...!|інформації|інформації|інформації
es|¡El peor día! ¡Su lista tiene tanta ...!|información|información|una información
fr|Le pire jour ! Sa liste contient tellement d'... !|informations|informations|une information
tr|En kötü gün! Onun listesinde o kadar çok ... var ki!|bilgi|bilgiler|bir bilgi
hu|A legrosszabb nap! Annyi ... van a listáján!|információ|információ|egy információ
MEDIA 4513 | meaning: a large case with a handle for carrying clothes
E 35629 | A1 type 6 A, AN, THE | style dramatic | options 3 | SEL
en|She has a suitcase! Oh no, ... suitcase is completely empty!|the|a|an
de|Sie hat einen Koffer! Oh nein, ... Koffer ist komplett leer!|der|ein|ein
ua|Вона має валізу! О ні, ... валіза абсолютно порожня!|||
es|¡Ella tiene una maleta! ¡Oh, no, ... maleta está completamente vacía!|la|una|una
fr|Elle a une valise ! Oh non, ... valise est complètement vide !|la|une|une
tr|Onun bir bavulu var! Olamaz, ... bavul tamamen boş!||bir|bir
hu|Neki van egy bőröndje! Jaj ne, ... bőrönd teljesen üres!|a|egy|egy
E 35634 | A2 type 21 There is, are | style chill | options 3 | SEL
en|There ... a suitcase next to the woman.|is|are|be
de|Da ... ein Koffer neben der Frau.|ist|sind|sein
ua|Поруч із жінкою ... валіза.|є|є|бути
es|... una maleta al lado de la mujer.|Hay|Hay|Hay
fr|... une valise à côté de la femme.|Il y a|Il y a|Il y a
tr|Kadının yanında bir bavul ...|var|var|olmak
hu|A nő mellett ... egy bőrönd.|van|vannak|lenni
MEDIA 4514 | meaning: an ability you gain by training
E 35233 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... has great skill with the pan? The chef in the middle.|Who|What|Where
de|... hat großes Geschick mit der Pfanne? Der Koch in der Mitte.|Wer|Was|Wo
ua|... має чудову вправність зі сковородою? Шеф-кухар посередині.|Хто|Що|Де
es|¿... tiene gran habilidad con la sartén? El chef del medio.|Quién|Qué|Dónde
fr|... a un grand talent avec la poêle ? Le chef au milieu.|Qui|Que|Où
tr|Tavayı ... çok ustaca kullanıyor? Ortadaki şef.|kim|ne|nerede
hu|... ügyes nagyon a serpenyővel? A középen álló séf.|Ki|Mi|Hol
  ~soft: SEL: pronoun inside an option
MEDIA 4515 | meaning: to be the winner in a contest
E 36382 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|He ... a medal after the race.|wins|win|winning
de|Er ... nach dem Rennen eine Medaille.|gewinnt|gewinnen|gewinnend
ua|Він ... медаль після забігу.|здобуває|здобувати|здобуваючи
es|Él ... una medalla después de la carrera.|gana|ganar|ganando
fr|Il ... une médaille après la course.|gagne|gagner|gagnant
tr|O yarıştan sonra bir madalya ...|kazanır|kazanmak|kazanarak
hu|Ő ... egy érmet a verseny után.|nyer|nyerni|nyerő
E 36386 | A2 type 14 Present Continuous | style business | options 3 | SEL
en|Runner 299 ... a medal right now, on target.|is winning|wins|is win
de|Läufer 299 ... gerade eine Medaille, voll im Plan.|gewinnt|gewinnt|gewinnt
ua|Бігун 299 саме зараз ... медаль, за планом.|виграє|виграє|виграє
es|El corredor 299 ... una medalla ahora mismo, según lo previsto.|está ganando|gana|está ganando
fr|Le coureur 299 ... une médaille en ce moment, objectif atteint.|est en train de gagner|gagne|est en train de gagner
tr|299 numaralı koşucu şu an bir madalya ..., hedefe uygun.|kazanıyor|kazanır|kazanıyor
hu|A 299-es futó most épp egy érmet ..., a terv szerint.|nyer|nyer|nyer
MEDIA 4522 | meaning: a journey all the way around a place
E 35964 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|On her tour, she eats dumplings ... night.|at|in|on
de|Auf ihrer Tour isst sie ... Nacht Dumplings.|in der|in der|an der
ua|Під час своєї подорожі вона їсть дамплінги ... ночі.|у|у|на
es|En su viaje, ella come dumplings ... noche.|por la|en la|sobre la
fr|Pendant son tour, elle mange des dumplings ... la nuit.||dans|sur
tr|Gezisinde o gece ... dumpling yiyor.|||
hu|Az útján ő ... dumplingot eszik.|éjszaka|éjszakában|éjszakán
E 35966 | A2 type 19 Countable and uncountable | style ironic | options 3 | SEL
en|A boring tour, obviously. She had so little ... there.|fun|funs|games
de|Eine langweilige Tour, klar. Sie hatte dort so wenig ...|Spaß|Spaß|Spiele
ua|Нудна подорож, звісно. Вона мала там так мало ...|задоволення|задоволення|ігор
es|Un viaje aburrido, claro. Ella tuvo tan poca ... allí.|diversión|diversión|juegos
fr|Un tour ennuyeux, évidemment. Elle a eu si peu de ... là-bas.|plaisir|plaisir|jeux
tr|Sıkıcı bir gezi, belli ki. O orada çok az ... yaşadı.|eğlence|eğlenceler|oyunlar
hu|Unalmas út, nyilván. Neki olyan kevés ... volt ott.|móka|móka|játék
MEDIA 4525 | meaning: to give help or assistance to someone
E 33276 | A1 type 4 Modal verb CAN | style flirt | options 3 | SEL
en|Respect, you ... help people so fast.|can|cans|can to
de|Respekt, du ... Leuten so schnell helfen.|kannst|kannst|kannst
ua|Респект, ти ... допомагати людям так швидко.|можеш|можеш|можеш
es|Respeto, tú ... ayudar a la gente tan rápido.|puedes|puedes|puedes
fr|Respect, tu ... aider les gens si vite.|peux|peux|peux
tr|Helal, sen insanlara çok hızlı ...|yardım edebilirsin|yardım edebilirsin|yardım edebilirsin
hu|Respekt, te ... ilyen gyorsan segíteni az embereknek.|tudsz|tudsz|tudsz
E 33278 | A2 type 12 Past Simple | style ironic | options 3 | SEL
en|Perfect croissant, clearly. She ... him breathe again.|helped|helps|helpt
de|Perfektes Croissant, klar. Sie ... ihm, wieder zu atmen.|half|hilft|half
ua|Ідеальний круасан, ясно. Вона ... йому знову дихати.|допомогла|допомагає|допомогла
es|Cruasán perfecto, claro. Ella le ... a respirar otra vez.|ayudó|ayuda|ayudó
fr|Croissant parfait, clairement. Elle ... à respirer de nouveau.|l'a aidé|l'aide|l'a aidé
tr|Mükemmel kruvasan, belli ki. O adamın yeniden nefes almasına ...|yardım etti|yardım eder|yardım etti
hu|Tökéletes croissant, egyértelműen. Ő ... neki újra levegőt venni.|segített|segít|segített
MEDIA 4527 | meaning: a plant part you eat, like roots, leaves or stems
E 36176 | A1 type 8 My, Your, His,... | style chill | options 3 | SEL
en|The cook cuts the vegetables with ... cleaver.|his|her|its
de|Der Koch schneidet das Gemüse mit ... Hackbeil.|seinem|ihrem|seinem
ua|Кухар ріже овочі ... тесаком.|своїм|її|його
es|El cocinero corta las verduras con ... cuchillo de carnicero.|su|su|su
fr|Le cuisinier coupe les légumes avec ... couperet.|son|son|son
tr|Aşçı sebzeleri ... satırıyla doğruyor.|onun|onun|onun
hu|A szakács a ... vágja a zöldséget.|bárdjával|bárdjával|bárdjával
E 36179 | A2 type 19 Countable and uncountable | style flirt | options 3 | SEL
en|Not gonna lie, you chop so many ... in seconds.|vegetables|vegetable|food
de|Ich lüg nicht, du schneidest in Sekunden so viel ...|Gemüse|Gemüse|Essen
ua|Не брешу, ти нарізаєш стільки ... за лічені секунди.|овочів|овоча|їжі
es|No voy a mentir, tú picas tantas ... en segundos.|verduras|verdura|comida
fr|Je vais pas mentir, tu coupes tellement de ... en quelques secondes.|légumes|légume|nourriture
tr|Yalan yok, sen saniyeler içinde o kadar çok ... doğruyorsun ki.|sebzeler|sebze|yiyecek
hu|Nem hazudok, te másodpercek alatt annyi ... aprítasz fel.|zöldséget|zöldséget|ételt
MEDIA 4530 | meaning: a story told with moving pictures and sound
E 32712 | A2 type 17 Future BE GOING TO | style chill | options 3 | SEL
en|He loves the film. He ... it again tomorrow.|is going to watch|going to watch|is going watch
de|Er liebt den Film. Er ... ihn morgen noch mal anschauen.|wird|wird|wird
ua|Він обожнює цей фільм. Він ... його знову завтра.|збирається подивитися|збирається подивитися|збирається подивитися
es|Le encanta la película. Él ... otra vez mañana.|la va a ver|la va a ver|la va a ver
fr|Il adore le film. Il ... demain.|va le revoir|va le revoir|va le revoir
tr|O filme bayılıyor. Yarın onu yeniden ...|izleyecek|izleyecek|izleyecek
hu|Ő imádja a filmet. Holnap újra meg ... nézni.|fogja|fogja|fogja
MEDIA 4531 | meaning: corn heated until it bursts into white pieces
E 34477 | A1 type 2 HAVE GOT | style slang | options 3 | SEL
en|Yo, she ... a huge tub of popcorn, bro.|has got|have got|has get
de|Yo, sie ... einen riesigen Eimer Popcorn, Bro.|hat|haben|hat
ua|Йо, вона ... величезне відро попкорну, бро.|має|мати|має
es|Ey, ella ... un cubo enorme de palomitas, tío.|tiene|tienen|tiene
fr|Yo, elle ... un énorme pot de pop-corn, frérot.|a|ont|a
tr|Hey, onun kocaman bir kova patlamış mısırı ..., kanka.|var|var|var
hu|Hé, neki ... egy hatalmas vödör popcornja, tesó.|van|van|van
E 34483 | A2 type 20 Much, Many, Some... | style chill | options 3 | SEL
en|There is ... popcorn in her tub, so she is happy.|a lot of|many|a few
de|In ihrem Eimer ist ... Popcorn, also ist sie glücklich.|eine Menge|viele|ein paar
ua|У її відрі ... попкорну, тож вона щаслива.|багато|багато|кілька
es|Hay ... palomitas en su cubo, así que ella está feliz.|un montón de|muchas|unas pocas
fr|Il y a ... pop-corn dans son pot, donc elle est contente.|plein de|beaucoup de|quelques
tr|Onun kovasında ... patlamış mısır var, bu yüzden o mutlu.|çok|çok|birkaç
hu|A vödrében ... popcorn van, ezért ő boldog.|rengeteg|sok|pár
