MEDIA 4535 | meaning: a unit of instruction
E 33713 | A1 type 10 Prepositions of place/time | style clueless | options 3 | SEL
de|Tolle Arbeit: so viel ... auf dem Boden des Schulhofs.|Kreide|Kreide|eine Kreide
ua|Чудова робота: стільки ... на підлозі майданчика.|крейди|крейди|крейди
es|Buen trabajo: tanta ... en el suelo del patio.|tiza|tiza|una tiza
fr|Beau travail : tellement de ... sur le sol de la cour.|craie|craie|une craie
tr|Harika iş: oyun alanının zemininde o kadar çok ... var.|tebeşir|tebeşirler|bir tebeşir
hu|Szép munka: annyi ... a játszótér talaján.|kréta|kréta|egy kréta
MEDIA 4784 | meaning: to cause someone to have something
E 32985 | A1 type 9 Wh- questions | style slang | options 3 | SEL
en|Bro, ... gives grandma cookies? Dunno, some lady in flowers.|Who|What|Where
de|Digga, ... gibt Oma Kekse? Keine Ahnung, irgendeine Frau mit Blumen.|wer|was|wo
ua|Бро, ... дає бабусі печиво? Хз, якась пані у квіточках.|хто|що|де
es|Tío, ¿... le da galletas a la abuela? Ni idea, una señora de flores.|quién|qué|dónde
fr|Frérot, ... donne des cookies à mamie ? Sais pas, une dame à fleurs.|qui|que|où
tr|Kanka, büyükanneye ... kurabiye veriyor? Bilmem, çiçekli bir kadın.|kim|ne|nerede
hu|Tesó, ... ad kekszet a mamának? Passz, valami virágos néni.|ki|mi|hol
  ~soft: SEL: pronoun inside an option
E 32987 | A2 type 13 Present or Past Simple | style business | options 2 | SEL
en|Report: they usually give cards, but yesterday they ... her 12 gifts.|gave|give|
de|Bericht: Normalerweise schenken sie Karten, aber gestern ... sie ihr 12 Geschenke.|gaben|geben|
ua|Звіт: вони зазвичай дарують листівки, але вчора ... їй 12 подарунків.|подарували|дарують|
es|Informe: ellos suelen regalar tarjetas, pero ayer le ... 12 regalos.|dieron|dan|
fr|Rapport : d'habitude ils offrent des cartes, mais hier ils lui ... 12 cadeaux.|ont donné|donnent|
tr|Rapor: onlar genelde kart verir ama dün ona 12 hediye ...|verdi|verir|
hu|Jelentés: ők általában képeslapot adnak, de tegnap 12 ajándékot ... neki.|adtak|adnak|
MEDIA 4788 | meaning: very surprised and upset by something bad
E 35079 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... is the client shocked? Because of the stylist's news.|Why|Where|Who
de|... ist die Kundin geschockt? Wegen der Neuigkeit der Friseurin.|Warum|Wo|Wer
ua|... клієнтка шокована? Через новину від перукарки.|Чому|Де|Хто
es|¿... está la clienta en shock? Por la noticia de la peluquera.|Por qué|Dónde|Quién
fr|... la cliente est-elle choquée ? À cause de la nouvelle de la coiffeuse.|Pourquoi|Où|Qui
tr|Müşteri ... şokta? Kuaförün haberi yüzünden.|neden|nerede|kim
hu|... sokkos a vendég? A fodrász híre miatt.|Miért|Hol|Ki
E 35082 | A2 type 25 Adverb formation | style dramatic | options 3 | SEL
en|Shocked women stare ... at the worst haircut ever!|silently|silent|silence
de|Geschockte Frauen starren ... auf den schlimmsten Haarschnitt aller Zeiten!|schweigend|schweigend|Schweigen
ua|Шоковані жінки ... дивляться на найгіршу стрижку в історії!|мовчки|мовчазний|мовчання
es|¡Mujeres en shock miran ... al peor corte de pelo de la historia!|silenciosamente|silencioso|silencio
fr|Des femmes choquées fixent ... la pire coupe de tous les temps !|silencieusement|silencieux|silence
tr|Şokta kadınlar gelmiş geçmiş en kötü saç kesimine ... bakıyor!|sessizce|sessiz|sessizlik
hu|Sokkolt nők ... bámulják minden idők legrosszabb frizuráját!|némán|néma|némaság
MEDIA 4794 | meaning: the mother of your mother or father
E 33034 | A1 type 6 A, AN, THE | style slang | options 3 | SEL
en|Bro, she's gotta be ... best grandmother in the world.|the|a|an
de|Digga, sie muss ... beste Oma der Welt sein.|die|eine|eine
ua|Бро, вона точно ... найкраща бабуся у світі.|||
es|Tío, ella tiene que ser ... mejor abuela del mundo.|la|una|una
fr|Frérot, elle doit être ... meilleure grand-mère du monde.|la|une|une
tr|Kanka, o kesin dünyanın ... en iyi büyükannesi.||bir|bir
hu|Tesó, ő biztos ... legjobb nagyi a világon.|a|egy|egy
E 33039 | A2 type 14 Present Continuous | style chill | options 3 | SEL
en|Now the grandmother ... a picture book to the girls.|is reading|reads|is read
de|Jetzt ... die Oma den Mädchen ein Bilderbuch vor.|liest|liest|liest
ua|Тепер бабуся ... дівчаткам книжку з картинками.|читає|читає|читає
es|Ahora la abuela les ... un libro ilustrado a las niñas.|está leyendo|lee|está leyendo
fr|Maintenant, la grand-mère ... un livre d'images aux filles.|est en train de lire|lit|est en train de lire
tr|Şimdi büyükanne kızlara resimli bir kitap ...|okuyor|okur|okuyor
hu|Most a nagymama egy képeskönyvet ... fel a lányoknak.|olvas|olvas|olvas
MEDIA 4797 | meaning: below average in number or quantity
E 33757 | A1 type 1 TO BE | style business | options 3 | SEL
en|The target ... a little cheese, but the plate has got 2 kilos.|is|are|am
de|Das Ziel ... ein bisschen Käse, aber auf dem Teller sind 2 Kilo.|ist|sind|bin
ua|Ціль ... трохи сиру, але на тарілці 2 кілограми.|є|є|є
es|El objetivo ... un poco de queso, pero el plato tiene 2 kilos.|es|son|soy
fr|L'objectif ... un peu de fromage, mais l'assiette en a 2 kilos.|est|sont|suis
tr|Hedef biraz peynir ... ama tabakta 2 kilo var.|||
  ~soft: no diacritics at all
hu|A cél ... egy kis sajt, de a tányéron 2 kiló van.|||vagyok
E 33761 | A2 type 18 Going to or Will | style chill | options 2 | SEL
en|Only a little pasta shows now. The cheese ... cover it all.|is going to|will|
de|Nur noch ein bisschen Pasta ist zu sehen. Der Käse ... alles bedecken.|wird|wird|
ua|Зараз видно лише трохи пасти. Сир ... накрити її всю.|збирається|буде|
es|Ahora solo se ve un poco de pasta. El queso ... cubrirla toda.|va a||
fr|On ne voit plus qu'un peu de pâtes. Le fromage ... tout recouvrir.|va||
tr|Artık sadece biraz makarna görünüyor. Peynir hepsini ...|kaplayacak|kaplayacak|
hu|Most már csak egy kis tészta látszik. A sajt az egészet be ... takarni.|fogja|fogja|
MEDIA 4798 | meaning: a building where people go to worship
E 35836 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|... columns of the temple are very tall.|These|This|That
de|... Säulen des Tempels sind sehr hoch.|Diese|Diese|Jene
ua|... колони храму дуже високі.|Ці|Ця|Та
es|... columnas del templo son muy altas.|Estas|Esta|Esa
fr|... colonnes du temple sont très hautes.|Ces|Cette|Cette
tr|Tapınağın ... sütunları çok yüksek.|bu|bu|şu
hu|... a templom oszlopai nagyon magasak.|Ezek|Ez|Az
E 35838 | A2 type 19 Countable and uncountable | style slang | options 3 | SEL
en|Bro, there's not much ... at the temple, kinda iconic.|shade|shades|trees
de|Digga, beim Tempel gibt's nicht viel ..., irgendwie ikonisch.|Schatten|Schatten|Bäume
ua|Бро, біля храму не надто багато ..., трохи культово.|тіні|тіні|дерев
es|Tío, no hay mucha ... en el templo, bastante icónico.|sombra|sombra|árboles
fr|Frérot, il n'y a pas beaucoup d'... au temple, plutôt iconique.|ombre|ombre|arbres
tr|Kanka, tapınakta pek ... yok, baya ikonik.|gölge|gölgeler|ağaçlar
hu|Tesó, nincs sok ... a templomnál, elég ikonikus.|árnyék|árnyék|fa
MEDIA 4801 | meaning: great in height, from the ground up
E 35764 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The sunflower ... very tall.|is|are|am
de|Die Sonnenblume ... sehr hoch.|ist|sind|bin
ua|Соняшник ... дуже високий.|є|є|є
es|El girasol ... muy alto.|es|son|soy
fr|Le tournesol ... très grand.|est|sont|suis
tr|Ayçiçeği çok uzun ...|||
hu|A napraforgó ... nagyon magas.|||vagyok
E 35770 | A2 type 22 Adjective comparison | style ironic | options 3 | SEL
en|A tiny flower, clearly. It is ... than the woman.|taller|more tall|tallest
de|Eine winzige Blume, ganz klar. Sie ist ... als die Frau.|größer|größer|am größten
ua|Крихітна квітка, звісно. Вона ... за жінку.|вища|більш висока|найвища
es|Una flor diminuta, claramente. Ella es ... que la mujer.|más alta|más alta|la más alta
fr|Une fleur minuscule, clairement. Elle est ... que la femme.|plus grande|plus grande|la plus grande
tr|Minicik bir çiçek, belli. O kadından ...|daha uzun|daha uzun|en uzun
hu|Egy apró virág, egyértelműen. Ő ..., mint a nő.|magasabb|magasabb|legmagasabb
MEDIA 4802 | meaning: a building for displaying valuable old objects
E 34023 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|The guard ... through the museum every day.|walks|walk|walking
de|Der Wachmann ... jeden Tag durch das Museum.|geht|gehen|gehend
ua|Охоронець щодня ... музеєм.|ходить|ходити|ходячи
es|El vigilante ... por el museo todos los días.|camina|caminar|caminando
fr|Le gardien ... dans le musée tous les jours.|marche|marcher|marchant
tr|Bekçi her gün müzede ...|yürür|yürümek|yürüyerek
hu|Az őr minden nap ... a múzeumban.|sétál|sétálni|sétáló
E 34028 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|Visitors ... walk carefully in the museum.|should|ought|shoulds
de|Besucher ... im Museum vorsichtig gehen.|sollten|sollten|sollten
ua|Відвідувачі ... обережно ходити в музеї.|мали б|мали б|мали б
es|Los visitantes ... caminar con cuidado en el museo.|deberían|deberían|deberían
fr|Les visiteurs ... marcher prudemment dans le musée.|devraient|devraient|devraient
tr|Ziyaretçiler müzede dikkatli ...|yürümeli|yürümeli|yürümeli
hu|A látogatóknak óvatosan ... járniuk a múzeumban.|kellene|kellene|kellene
MEDIA 4807 | meaning: having the color between red and yellow
E 34166 | A1 type 1 TO BE | style slang | options 3 | SEL
en|Bro, his top ... so orange, gonna need sunglasses.|is|are|am
de|Digga, sein Shirt ... so orange, ich brauch gleich eine Sonnenbrille.|ist|sind|bin
ua|Бро, його майка ... така помаранчева, треба буде сонцезахисні окуляри.|є|є|є
es|Tío, su camiseta ... tan naranja que voy a necesitar gafas de sol.|es|son|soy
fr|Frérot, son haut ... tellement orange, je vais avoir besoin de lunettes de soleil.|est|sont|suis
tr|Kanka, onun üstü o kadar turuncu ... ki güneş gözlüğü lazım olacak.|||
hu|Tesó, a felsője ... annyira narancssárga, napszemüveg kell majd.|||vagyok
E 34171 | A2 type 15 Present Continuous or Simple | style dramatic | options 2 | SEL
en|Disaster! He always drinks one glass, but now he ... the orange jug!|is emptying|empties|
de|Katastrophe! Er trinkt immer ein Glas, aber jetzt ... er den orangen Krug!|leert|leert|
ua|Катастрофа! Він завжди п'є одну склянку, а тепер ... помаранчевий глечик!|спорожнює|спорожнює|
es|¡Desastre! ¡Él siempre bebe un vaso, pero ahora ... la jarra naranja!|está vaciando|vacía|
fr|Catastrophe ! Il boit toujours un verre, mais là il ... la carafe orange !|est en train de vider|vide|
tr|Felaket! O hep bir bardak içer ama şimdi turuncu sürahiyi ...!|boşaltıyor|boşaltır|
hu|Katasztrófa! Ő mindig egy pohárral iszik, de most ... a narancssárga kancsót!|üríti|üríti|
MEDIA 4814 | meaning: to look for and gather things by hand
E 34382 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|He ... pick the red tomatoes, not the green ones.|can|cans|can to
de|Er ... die roten Tomaten pflücken, nicht die grünen.|kann|kann|kann
ua|Він ... зривати червоні помідори, а не зелені.|може|може|може
es|Él ... recoger los tomates rojos, no los verdes.|puede|puede|puede
fr|Il ... cueillir les tomates rouges, pas les vertes.|peut|peut|peut
tr|O kırmızı domatesleri ..., yeşilleri değil.|toplayabilir|toplayabilir|toplayabilir
hu|Ő a piros paradicsomokat ..., nem a zöldeket.|szedheti|szedheti|szedheti
E 34386 | A2 type 23 Must, Have to... | style clueless | options 3 | SEL
en|Tomatoes grow on plants, so he ... pick them off the plant.|has to|must|should
de|Tomaten wachsen an Pflanzen, also ... er sie von der Pflanze pflücken.|muss|muss|sollte
ua|Помідори ростуть на рослинах, тож він ... зривати їх з рослини.|має|мусить|мав би
es|Los tomates crecen en plantas, así que él ... arrancarlos de la planta.|tiene que|debe|debería
fr|Les tomates poussent sur des plants, donc il ... les cueillir sur le plant.|doit|doit|devrait
tr|Domatesler bitkide yetişir, bu yüzden o onları bitkiden ...|koparmak zorunda|koparmalı|koparmalı
hu|A paradicsom növényen nő, ezért neki le ... szednie őket a növényről.|kell|kell|kellene
MEDIA 4816 | meaning: the muscular organ in your chest
E 33252 | A1 type 8 My, Your, His,... | style dramatic | options 3 | SEL
en|Her hand is on ... heart! The worst day ever!|her|his|its
de|Ihre Hand liegt auf ... Herz! Der schlimmste Tag überhaupt!|ihrem|seinem|seinem
ua|Її рука на ... серці! Найгірший день в історії!|її|його|його
es|¡Su mano está sobre ... corazón! ¡El peor día de la historia!|su|su|su
fr|Sa main est sur ... cœur ! Le pire jour de tous !|son|son|son
tr|Eli ... kalbinin üstünde! Gelmiş geçmiş en kötü gün!|onun|onun|onun
hu|A keze a ... van! A valaha volt legrosszabb nap!|szívén|szívén|szívén
  ~soft: no diacritics at all
E 33255 | A2 type 19 Countable and uncountable | style gossip | options 3 | SEL
en|Bestie, apparently her heart needs so much ... after that game.|air|airs|an air
de|Bestie, anscheinend braucht ihr Herz nach dem Spiel so viel ...|Luft|Luft|eine Luft
ua|Бесті, кажуть, її серцю після тієї гри треба стільки ...|повітря|повітря|повітря
es|Bestie, al parecer su corazón necesita tanto ... después de ese partido.|aire|aire|un aire
fr|Bestie, apparemment son cœur a besoin de tellement ... après ce match.|d'air|d'air|d'un air
tr|Kanka, görünüşe göre o maçtan sonra kalbinin çok fazla ... ihtiyacı var.|havaya|havalara|bir havaya
hu|Csajszi, állítólag a szívének annyi ... kell a meccs után.|levegő|levegő|egy levegő
MEDIA 4819 | meaning: feeling or showing thanks to someone
E 33041 | A2 type 22 Adjective comparison | style chill | options 3 | SEL
en|The woman is ... than ever for the boy's umbrella.|more grateful|gratefuller|most grateful
de|Die Frau ist für den Schirm des Jungen ... als je zuvor.|dankbarer|dankbarer|am dankbarsten
ua|Жінка ... за парасольку хлопчика, ніж будь-коли.|більш вдячна|вдячніша|найвдячніша
es|La mujer está ... que nunca por el paraguas del chico.|más agradecida|más agradecida|la más agradecida
fr|La femme est ... que jamais pour le parapluie du garçon.|plus reconnaissante|plus reconnaissante|la plus reconnaissante
tr|Kadın, çocuğun şemsiyesi için her zamankinden ...|daha minnettar|daha minnettar|en minnettar
hu|A nő a fiú esernyőjéért ..., mint valaha.|hálásabb|hálásabb|leghálásabb
MEDIA 4820 | meaning: the same one, not a different one
E 34905 | A1 type 1 TO BE | style flirt | options 3 | SEL
en|You two ... in the same dress, and honestly, iconic.|are|is|am
de|Ihr zwei ... im selben Kleid, und ehrlich, ikonisch.|seid|ist|bin
ua|Ви двоє ... в однаковій сукні, і чесно, культово.|є|є|є
es|Vosotras dos ... con el mismo vestido, y en serio, icónico.|estáis|está|estoy
fr|Vous deux ... dans la même robe, et franchement, iconique.|êtes|est|suis
tr|Siz ikiniz aynı elbiseyle ..., ve açıkçası efsane.|||
hu|Ti ketten ugyanabban a ruhában ..., és őszintén, ikonikus.|vagytok|van|vagyok
E 34912 | A2 type 26 Basic conjunctions | style gossip | options 3 | SEL
en|Listen, she said they have the same dress, ... they are still friends.|but|so|because
de|Hör zu, sie hat gesagt, dass sie das gleiche Kleid haben, ... sie sind immer noch Freundinnen.|aber|also|weil
ua|Слухай, вона сказала, що в них однакова сукня, ... вони досі подруги.|але|тому|бо
es|Oye, ella dijo que tienen el mismo vestido, ... siguen siendo amigas.|pero|así que|porque
fr|Écoute, elle a dit qu'elles ont la même robe, ... elles sont toujours amies.|mais|donc|parce que
tr|Dinle, o aynı elbiseleri olduğunu söyledi, ... hâlâ arkadaşlar.|ama|bu yüzden|çünkü
hu|Figyelj, ő azt mondta, hogy ugyanolyan ruhájuk van, ... még mindig barátnők.|de|ezért|mert
MEDIA 4822 | meaning: a short written or spoken communication
E 33933 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|She reads ... messages on her phone again and again.|these|this|that
de|Sie liest ... Nachrichten auf ihrem Handy immer wieder.|diese|diese|jene
ua|Вона знову й знову перечитує ... повідомлення в телефоні.|ці|це|те
es|Ella lee ... mensajes en su móvil una y otra vez.|estos|este|ese
fr|Elle lit ... messages sur son téléphone encore et encore.|ces|ce|ce
tr|O telefonundaki ... mesajları tekrar tekrar okuyor.|bu|bu|şu
hu|Ő újra meg újra elolvassa ... az üzeneteket a telefonján.|ezeket|ezt|azt
E 33937 | A2 type 21 There is, are | style gossip | options 3 | SEL
en|Wait, apparently there ... ten new messages on her phone.|are|is|be
de|Warte, anscheinend ... zehn neue Nachrichten auf ihrem Handy.|sind|ist|sein
ua|Чекай, кажуть, у її телефоні ... десять нових повідомлень.|є|є|бути
es|Espera, al parecer ... diez mensajes nuevos en su móvil.|hay|hay|hay
fr|Attends, apparemment ... dix nouveaux messages sur son téléphone.|il y a|il y a|il y a
tr|Bekle, görünüşe göre telefonunda on yeni mesaj ...|var|var|olmak
hu|Várj, állítólag tíz új üzenet ... a telefonján.|van|van|lenni
